leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8.0,1000.0,0.0,0.4,3.0,0.816,0.6187,0.1956
4.0,700.0,0.0,0.2,3.0,0.8155,0.6134,0.1956
4.0,900.0,0.0,0.11,3.0,0.815,0.6117,0.1956
6.0,1400.0,0.0,0.4,3.0,0.8161,0.6099,0.1956
4.0,600.0,0.0,0.4,3.0,0.8159,0.606,0.1956
6.0,300.0,0.0,0.6,3.0,0.8157,0.6027,0.1956
6.0,700.0,0.0,0.05,3.0,0.8079,0.5951,0.1956
6.0,300.0,0.0,0.15,3.0,0.8108,0.5884,0.1956
8.0,900.0,0.0,0.6,3.0,0.816,0.5834,0.1956
6.0,60.0,0.0,0.09,3.0,0.7662,0.5824,0.1956
4.0,500.0,0.0,0.8,3.0,0.816,0.5769,0.1956
8.0,100.0,0.0,0.05,3.0,0.7638,0.5726,0.1956
8.0,600.0,0.0,0.8,3.0,0.816,0.545,0.1956
4.0,1400.0,0.0,0.6,3.0,0.8161,0.4977,0.1956
10.0,20.0,0.0,0.03,3.0,0.4755,0.3395,0.1956
4.0,700.0,0.0,0.11,2.0,0.8234,0.1021,0.373
6.0,900.0,0.0,0.03,2.0,0.81,0.0917,0.373
10.0,900.0,0.0,0.09,2.0,0.8231,0.0309,0.373
10.0,1000.0,0.0,0.09,2.0,0.8239,0.0261,0.373
4.0,1000.0,0.0,0.15,2.0,0.8259,0.0171,0.373
10.0,1400.0,0.0,0.07,2.0,0.8241,0.0085,0.373
10.0,500.0,0.0,0.05,2.0,0.8073,-0.013,0.373
6.0,400.0,0.0,0.2,2.0,0.824,-0.0211,0.373
8.0,1000.0,0.0,0.11,2.0,0.8245,-0.0237,0.373
10.0,500.0,0.0,0.2,2.0,0.825,-0.0273,0.373
10.0,500.0,0.0,0.2,2.0,0.825,-0.0273,0.373
6.0,800.0,0.0,0.11,2.0,0.8238,-0.0544,0.373
10.0,60.0,0.0,0.11,2.0,0.7692,-0.0592,0.373
10.0,300.0,0.0,0.11,2.0,0.8143,-0.0607,0.373
6.0,1200.0,0.0,0.11,2.0,0.8253,-0.0987,0.373
4.0,100.0,0.0,0.05,1.0,0.7865,-0.2695,0.2727
4.0,100.0,0.0,0.05,1.0,0.7865,-0.2695,0.2727
4.0,300.0,0.0,0.6,2.0,0.8267,-0.2799,0.373
4.0,500.0,0.0,0.6,2.0,0.8271,-0.2875,0.373
10.0,100.0,0.0,0.8,2.0,0.824,-0.3391,0.373
10.0,300.0,0.0,0.6,2.0,0.8265,-0.354,0.373
6.0,500.0,0.0,0.03,1.0,0.8189,-0.3877,0.2727
8.0,700.0,0.0,0.07,1.0,0.8393,-0.5583,0.2727
8.0,900.0,0.0,0.07,1.0,0.8414,-0.6115,0.2727
8.0,300.0,0.0,0.8,2.0,0.8269,-0.6192,0.373
8.0,600.0,0.0,0.8,2.0,0.8272,-0.6356,0.373
8.0,1400.0,0.0,0.09,1.0,0.8444,-0.674,0.2727
8.0,1400.0,0.0,0.15,1.0,0.845,-0.7045,0.2727
6.0,800.0,0.0,0.4,1.0,0.8452,-0.7079,0.2727
4.0,1000.0,0.0,0.2,1.0,0.8449,-0.7135,0.2727
4.0,1000.0,0.0,0.4,1.0,0.8453,-0.7311,0.2727
10.0,1400.0,0.0,0.15,1.0,0.8449,-0.7346,0.2727
6.0,200.0,0.0,0.6,1.0,0.8441,-0.7574,0.2727
4.0,800.0,0.0,0.6,1.0,0.8453,-0.7884,0.2727
8.0,200.0,0.0,0.8,1.0,0.8446,-0.9467,0.2727
