leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_test_size
6.0,700.0,3.0,0.01,0.7719730191933715,0.5818732564751294,0.1956
9.0,80.0,3.0,0.3,0.8028839866072082,0.5806391884170906,0.1956
10.0,150.0,3.0,0.07,0.7816120580383269,0.5797024885097721,0.1956
5.0,40.0,3.0,0.2,0.772846649460806,0.5774013021947922,0.1956
8.0,20.0,3.0,0.8,0.78804753751297,0.5711927970766232,0.1956
9.0,150.0,3.0,0.3,0.8101748249999117,0.5643890996203094,0.1956
10.0,350.0,3.0,0.6,0.8158167857800885,0.5634448180920361,0.1956
9.0,250.0,3.0,0.3,0.8135640956848653,0.5630594980740209,0.1956
8.0,500.0,3.0,0.7,0.8160135369312591,0.5604742299513342,0.1956
8.0,300.0,3.0,0.7,0.8158595319534333,0.5591912641941473,0.1956
8.0,100.0,3.0,0.3,0.8055450682727165,0.556624556060686,0.1956
9.0,40.0,3.0,0.08,0.7499707848776089,0.5547567226602217,0.1956
7.0,60.0,3.0,0.05,0.7456400981054855,0.5539600869075874,0.1956
7.0,20.0,3.0,0.12,0.7297534151415455,0.5498243210550191,0.1956
5.0,250.0,3.0,0.01,0.73212847536998,0.546924502090911,0.1956
7.0,40.0,3.0,0.6,0.8003446462271677,0.5454611999692914,0.1956
5.0,400.0,3.0,0.5,0.8158611826855237,0.5453525246975954,0.1956
8.0,800.0,3.0,0.8,0.816063246780521,0.5451431187537967,0.1956
6.0,200.0,3.0,0.7,0.815403622215448,0.5431068245015631,0.1956
9.0,20.0,3.0,0.1,0.7166428658615845,0.5329628512629476,0.1956
4.0,200.0,3.0,0.01,0.7127683156634098,0.5329553238211122,0.1956
10.0,40.0,3.0,0.05,0.7139699480262616,0.5268721615595362,0.1956
7.0,20.0,3.0,0.09,0.7032071982423322,0.5237058479732795,0.1956
9.0,40.0,3.0,0.04,0.6842805963836194,0.5029005304527775,0.1956
9.0,20.0,3.0,0.08,0.6856258559299677,0.49844900267042913,0.1956
4.0,150.0,3.0,0.6,0.814600226026306,0.48303266325751015,0.1956
9.0,60.0,3.0,0.02,0.6355717175884188,0.47070882416577353,0.1956
7.0,20.0,3.0,0.04,0.5466274629279614,0.40052280776645044,0.1956
7.0,40.0,3.0,0.01,0.3682176732921726,0.2744795058604871,0.1956
8.0,20.0,1.0,0.03,0.47722202544096437,0.23473430375622273,0.2727
4.0,100.0,2.0,0.11,0.7852380741371364,0.12348618857771809,0.373
4.0,250.0,2.0,0.11,0.8106422984991658,0.1132128960513622,0.373
4.0,250.0,2.0,0.11,0.8106422984991658,0.1132128960513622,0.373
9.0,80.0,2.0,0.09,0.7712045153998466,0.08538296078486396,0.373
5.0,500.0,2.0,0.08,0.8159133746750757,0.08039696327765367,0.373
7.0,300.0,2.0,0.12,0.8153090328466703,0.07742400328858334,0.373
6.0,20.0,2.0,0.14,0.7290666755240152,0.062322517483914375,0.373
7.0,400.0,2.0,0.02,0.7751573677129634,0.06183486851416431,0.373
5.0,100.0,2.0,0.03,0.7378363027820533,0.05773630911812,0.373
4.0,500.0,2.0,0.06,0.8117335020048877,0.0554182564137492,0.373
6.0,40.0,2.0,0.12,0.7616025811711149,0.04602320405798421,0.373
4.0,80.0,2.0,0.1,0.774711370465701,0.04403475519219302,0.373
4.0,150.0,2.0,0.13,0.8018104304746388,0.04316382863231483,0.373
5.0,400.0,2.0,0.02,0.7736016839527947,0.04269228071582298,0.373
9.0,60.0,2.0,0.12,0.7723314569421514,0.038120219594616644,0.373
5.0,300.0,2.0,0.02,0.7654078158453148,0.03716846756055314,0.373
6.0,600.0,2.0,0.05,0.811033484194929,0.036031749338663044,0.373
7.0,40.0,2.0,0.14,0.7609736232128583,0.03328879477819657,0.373
4.0,80.0,2.0,0.03,0.7193972958765547,0.03239283728652842,0.373
7.0,80.0,2.0,0.02,0.6723715473966563,0.030641858625150342,0.373
10.0,60.0,2.0,0.09,0.7635215293887155,0.028993377868953618,0.373
7.0,80.0,2.0,0.15,0.7859347339219949,0.026458919875315456,0.373
7.0,200.0,2.0,0.04,0.7749880078565055,0.02144927242235406,0.373
5.0,300.0,2.0,0.13,0.8154269660236545,0.020711282551759247,0.373
4.0,350.0,2.0,0.12,0.8173984050568902,0.0203781084276754,0.373
6.0,150.0,2.0,0.09,0.7923245948952125,0.010560048025255231,0.373
5.0,600.0,2.0,0.12,0.8229711878505865,0.009384434915637452,0.373
6.0,600.0,2.0,0.07,0.8168967620426201,0.007353924056055616,0.373
6.0,80.0,2.0,0.07,0.7667247178763302,0.007087855878161298,0.373
6.0,80.0,2.0,0.13,0.7806359652132756,0.006228658422478106,0.373
7.0,1000.0,2.0,0.1,0.8242375412267395,0.004044728677200404,0.373
8.0,900.0,2.0,0.12,0.8247993602648815,0.0034599953232467007,0.373
5.0,800.0,2.0,0.12,0.8243532208655766,0.0005308332101225943,0.373
6.0,600.0,2.0,0.13,0.8229133679032821,-0.0009208208743662905,0.373
5.0,40.0,2.0,0.07,0.7352087210828009,-0.005135777385397722,0.373
7.0,150.0,2.0,0.2,0.8135632581034481,-0.008851015760461545,0.373
9.0,400.0,2.0,0.06,0.8078457086203595,-0.009590902070725882,0.373
7.0,20.0,2.0,0.09,0.6899591536370268,-0.013000896596859102,0.373
8.0,350.0,2.0,0.2,0.8232986887993698,-0.014012576852808545,0.373
9.0,600.0,2.0,0.08,0.8196851806194969,-0.018679965907414386,0.373
4.0,100.0,2.0,0.01,0.5802839316377699,-0.02196616481578051,0.373
4.0,900.0,2.0,0.12,0.8247494680549432,-0.022480345960850245,0.373
8.0,350.0,2.0,0.05,0.8003219836835017,-0.02877045803051237,0.373
9.0,350.0,2.0,0.05,0.7998504744445054,-0.0323044131449044,0.373
9.0,400.0,2.0,0.07,0.8103261690613733,-0.03830071831328752,0.373
8.0,80.0,2.0,0.05,0.75266856903852,-0.04700267925833912,0.373
10.0,400.0,2.0,0.08,0.8129648994874508,-0.04805146399976534,0.373
6.0,700.0,2.0,0.2,0.825927129217509,-0.057637833441506414,0.373
4.0,100.0,2.0,0.3,0.814810162616447,-0.05914811479118165,0.373
6.0,900.0,2.0,0.11,0.8242967223362083,-0.06602409745015736,0.373
10.0,600.0,2.0,0.04,0.8083686292870487,-0.0661384141201915,0.373
4.0,250.0,2.0,0.3,0.8239852646966958,-0.07840721578147036,0.373
10.0,200.0,2.0,0.12,0.807875680032968,-0.0815875353797546,0.373
10.0,40.0,2.0,0.04,0.6720785090808595,-0.08549723122218178,0.373
6.0,800.0,2.0,0.15,0.8252880113000559,-0.08620550875501087,0.373
6.0,60.0,1.0,0.05,0.7652841403048187,-0.10209854435910026,0.2727
5.0,600.0,2.0,0.4,0.8267961172092955,-0.12269650221643569,0.373
5.0,350.0,2.0,0.15,0.8192404292969971,-0.12489554418521465,0.373
9.0,400.0,2.0,0.4,0.8260501221446703,-0.12946925990912717,0.373
8.0,500.0,2.0,0.15,0.8231858234503658,-0.13806396111977692,0.373
9.0,20.0,1.0,0.14,0.7567534055983021,-0.14280544028476339,0.2727
6.0,40.0,2.0,0.3,0.790905139859243,-0.14633031714412126,0.373
4.0,80.0,1.0,0.04,0.7691833009616238,-0.14874008513397086,0.2727
10.0,80.0,2.0,0.3,0.8107867521883743,-0.18008528163478688,0.373
7.0,800.0,2.0,0.3,0.8267842669334251,-0.21424907739487664,0.373
9.0,80.0,1.0,0.05,0.7801963686653963,-0.2272564326166282,0.2727
5.0,80.0,2.0,0.6,0.8209757653220947,-0.25006539212169265,0.373
7.0,40.0,2.0,0.5,0.8038282114733325,-0.2582561896840214,0.373
9.0,400.0,2.0,0.6,0.8267849499891937,-0.27349728943516793,0.373
9.0,800.0,2.0,0.6,0.8271861054158015,-0.2814842561369859,0.373
9.0,700.0,2.0,0.6,0.8271488508569192,-0.2815138946343403,0.373
4.0,40.0,1.0,0.2,0.79826990283157,-0.29214372497556096,0.2727
10.0,80.0,2.0,0.5,0.8193045889331817,-0.29298753487816587,0.373
4.0,1000.0,2.0,0.6,0.827310391435238,-0.2938550998457241,0.373
8.0,350.0,2.0,0.4,0.8259463546703119,-0.29388658405287993,0.373
9.0,40.0,1.0,0.2,0.7993245210567024,-0.3147318408097144,0.2727
10.0,200.0,2.0,0.6,0.8258498308355816,-0.3364336846604612,0.373
4.0,350.0,1.0,0.02,0.797188385641167,-0.3428979281688873,0.2727
5.0,350.0,1.0,0.03,0.8073784521908559,-0.3565847529446551,0.2727
5.0,80.0,1.0,0.12,0.8004057339577242,-0.3574794820560543,0.2727
7.0,350.0,2.0,0.8,0.8269906518274968,-0.37439753324225644,0.373
4.0,900.0,1.0,0.01,0.8030783137071024,-0.3755127265849936,0.2727
9.0,600.0,1.0,0.02,0.8132214620510284,-0.3916027275830498,0.2727
9.0,150.0,1.0,0.08,0.8129144997583577,-0.40084161546631947,0.2727
10.0,500.0,2.0,0.5,0.8268764927186321,-0.40562915895233,0.373
9.0,800.0,1.0,0.02,0.820871281920336,-0.40654005605396204,0.2727
10.0,100.0,1.0,0.13,0.815537079912009,-0.41483608830968044,0.2727
5.0,700.0,1.0,0.03,0.82705413387322,-0.43182898907754974,0.2727
9.0,350.0,1.0,0.06,0.8276704623143155,-0.4439944781061407,0.2727
5.0,80.0,2.0,0.8,0.8226540903002378,-0.44928379212998903,0.373
4.0,250.0,1.0,0.12,0.833905727646197,-0.4600330569319877,0.2727
5.0,400.0,1.0,0.05,0.8262930813356626,-0.468044276123633,0.2727
9.0,700.0,2.0,0.5,0.8269068138773037,-0.4893125280725026,0.373
5.0,800.0,2.0,0.8,0.8273276842139172,-0.4907125944531825,0.373
5.0,250.0,1.0,0.11,0.8321335763970665,-0.5058501433685871,0.2727
8.0,200.0,1.0,0.15,0.8333927584747971,-0.5076946848295161,0.2727
7.0,400.0,1.0,0.08,0.8342186176967028,-0.5228335917379554,0.2727
4.0,400.0,1.0,0.1,0.8380327845739468,-0.5513884474526849,0.2727
8.0,900.0,1.0,0.06,0.8404795091799946,-0.5663455343423209,0.2727
10.0,800.0,1.0,0.06,0.8394855100563909,-0.5683759636634047,0.2727
6.0,300.0,1.0,0.12,0.8366508938804808,-0.5766793941038089,0.2727
6.0,350.0,1.0,0.15,0.8406727984555377,-0.5775204608193167,0.2727
7.0,400.0,1.0,0.13,0.8402244325831651,-0.5809102652429685,0.2727
7.0,500.0,1.0,0.1,0.8391471457866472,-0.5821860016021507,0.2727
9.0,400.0,1.0,0.12,0.8394048259615363,-0.593909669013069,0.2727
10.0,600.0,1.0,0.12,0.8422566101309631,-0.6069876925412345,0.2727
10.0,300.0,1.0,0.2,0.8414919628264826,-0.6133756462478603,0.2727
8.0,250.0,2.0,0.8,0.8267233224649662,-0.6160472102602197,0.373
8.0,800.0,1.0,0.12,0.8435494021539045,-0.6367869299714912,0.2727
7.0,900.0,1.0,0.15,0.8444385573343135,-0.6505479494454915,0.2727
4.0,60.0,1.0,0.6,0.8378890442351122,-0.6521126941942494,0.2727
8.0,700.0,1.0,0.3,0.845016366788534,-0.7295882993500633,0.2727
6.0,900.0,1.0,0.2,0.8449040307596838,-0.7299139256626417,0.2727
10.0,350.0,1.0,0.3,0.8437876998278879,-0.7684795493953123,0.2727
5.0,1000.0,1.0,0.4,0.8452553338535793,-0.7701360170774063,0.2727
4.0,350.0,1.0,0.6,0.8450669558584064,-0.77052895779007,0.2727
4.0,600.0,1.0,0.6,0.8452472096343692,-0.7824446005597139,0.2727
6.0,250.0,1.0,0.6,0.844537182644666,-0.7856916765141981,0.2727
9.0,500.0,1.0,0.5,0.8450631122942409,-0.7859995245727731,0.2727
4.0,300.0,1.0,0.7,0.8450182779346463,-0.7880764866969598,0.2727
9.0,900.0,1.0,0.5,0.845254959021201,-0.800420369726982,0.2727
6.0,400.0,1.0,0.6,0.8450251386778648,-0.8117332947694949,0.2727
10.0,400.0,1.0,0.8,0.8450351641039155,-0.8266093910433723,0.2727
9.0,600.0,1.0,0.6,0.8451699359273266,-0.9045154797697581,0.2727
9.0,300.0,1.0,0.8,0.8449076037451017,-0.9624518909075153,0.2727
