leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4.0,60.0,0.0,0.6,3.0,0.8446,0.2312,0.177
6.0,100.0,0.0,0.09,3.0,0.761,0.2157,0.177
10.0,1000.0,0.0,0.01,3.0,0.7642,0.1893,0.177
8.0,300.0,0.0,0.07,3.0,0.819,0.186,0.177
6.0,100.0,0.0,0.03,3.0,0.696,0.185,0.177
8.0,600.0,0.0,0.01,3.0,0.7385,0.1741,0.177
4.0,100.0,0.0,0.2,3.0,0.818,0.1637,0.177
8.0,700.0,0.0,0.11,3.0,0.8702,0.1572,0.177
4.0,1000.0,0.0,0.01,3.0,0.7642,0.1553,0.177
4.0,700.0,0.0,0.01,3.0,0.745,0.1531,0.177
6.0,900.0,0.0,0.05,3.0,0.8559,0.1519,0.177
8.0,900.0,0.0,0.05,3.0,0.8554,0.1499,0.177
10.0,100.0,0.0,0.4,3.0,0.8492,0.1462,0.177
10.0,20.0,0.0,0.13,1.0,0.6692,0.1432,0.3127
6.0,300.0,0.0,0.01,1.0,0.6839,0.1349,0.3127
6.0,60.0,0.0,0.15,1.0,0.7489,0.1243,0.3127
6.0,700.0,0.0,0.03,1.0,0.8122,0.1181,0.3127
4.0,1000.0,0.0,0.11,3.0,0.8777,0.1142,0.177
8.0,20.0,0.0,0.15,1.0,0.6859,0.0911,0.3127
10.0,1200.0,0.0,0.2,3.0,0.8861,0.0826,0.177
4.0,1000.0,0.0,0.13,1.0,0.8853,0.0338,0.3127
10.0,500.0,0.0,0.15,3.0,0.8705,0.0216,0.177
6.0,1200.0,0.0,0.11,1.0,0.885,0.019,0.3127
8.0,60.0,0.0,0.2,2.0,0.792,0.0128,0.1657
10.0,900.0,0.0,0.07,3.0,0.8658,-0.0081,0.177
8.0,1000.0,0.0,0.2,2.0,0.8994,-0.0341,0.1657
6.0,600.0,0.0,0.4,1.0,0.8921,-0.0511,0.3127
10.0,600.0,0.0,0.01,2.0,0.7445,-0.0875,0.1657
10.0,900.0,0.0,0.07,2.0,0.8817,-0.088,0.1657
6.0,900.0,0.0,0.05,2.0,0.8699,-0.0882,0.1657
10.0,400.0,0.0,0.11,2.0,0.87,-0.0964,0.1657
6.0,800.0,0.0,0.01,2.0,0.7617,-0.0967,0.1657
6.0,500.0,0.0,0.6,1.0,0.8931,-0.1,0.3127
10.0,400.0,0.0,0.07,2.0,0.8491,-0.1009,0.1657
6.0,1200.0,0.0,0.01,2.0,0.7834,-0.1046,0.1657
10.0,800.0,0.0,0.03,2.0,0.8389,-0.1178,0.1657
6.0,700.0,0.0,0.8,1.0,0.8957,-0.1202,0.3127
8.0,1000.0,0.0,0.07,2.0,0.8827,-0.1259,0.1657
4.0,500.0,0.0,0.03,2.0,0.8042,-0.1284,0.1657
6.0,100.0,0.0,0.8,1.0,0.868,-0.1357,0.3127
10.0,700.0,0.0,0.6,3.0,0.8882,-0.1545,0.177
6.0,600.0,0.0,0.15,2.0,0.8882,-0.1555,0.1657
6.0,100.0,0.0,0.15,2.0,0.8068,-0.1681,0.1657
10.0,900.0,0.0,0.6,3.0,0.8893,-0.1755,0.177
8.0,600.0,0.0,0.4,2.0,0.9001,-0.1867,0.1657
4.0,60.0,0.0,0.15,2.0,0.7671,-0.1925,0.1657
8.0,900.0,0.0,0.15,2.0,0.8946,-0.207,0.1657
8.0,1200.0,0.0,0.6,2.0,0.9046,-0.3594,0.1657
4.0,200.0,0.0,0.6,2.0,0.8897,-0.3648,0.1657
6.0,300.0,0.0,0.4,2.0,0.8938,-0.3689,0.1657
