iter	Passed	Remaining
409	3843	1781
410	3854	1772
411	3863	1763
412	3870	1752
413	3882	1744
414	3890	1734
415	3897	1723
416	3907	1714
417	3920	1706
418	3928	1696
419	3937	1687
420	3945	1677
421	3952	1667
422	3963	1658
423	3969	1647
424	3977	1637
425	3989	1629
426	3998	1619
427	4005	1609
428	4012	1599
429	4017	1588
430	4023	1577
431	4029	1567
432	4036	1556
433	4043	1546
434	4049	1535
435	4057	1526
436	4069	1517
437	4076	1507
438	4085	1498
439	4090	1487
440	4101	1478
441	4115	1471
442	4122	1460
443	4132	1452
444	4140	1442
445	4146	1431
446	4153	1421
447	4159	1411
448	4168	1401
449	4177	1392
450	4189	1384
451	4195	1373
452	4201	1363
453	4211	1354
454	4222	1345
455	4231	1336
456	4242	1327
457	4255	1319
458	4261	1309
459	4265	1298
460	4270	1287
461	4280	1278
462	4284	1267
463	4294	1258
464	4299	1248
465	4306	1238
466	4313	1228
467	4319	1218
468	4332	1210
469	4336	1199
470	4342	1189
471	4350	1179
472	4358	1170
473	4369	1161
474	4380	1152
475	4386	1142
476	4398	1134
477	4406	1124
478	4414	1115
479	4425	1106
480	4429	1095
481	4444	1087
482	4453	1078
483	4461	1069
484	4468	1059
485	4474	1049
486	4479	1039
487	4487	1029
488	4492	1019
489	4497	1009
490	4504	999
491	4509	989
492	4516	980
493	4525	971
494	4533	961
495	4542	952
496	4548	942
497	4556	933
498	4562	923
499	4574	914
500	4579	904
501	4586	895
502	4594	886
503	4602	876
504	4611	867
505	4620	858
506	4623	848
507	4631	838
508	4637	829
509	4647	820
510	4659	811
511	4665	801
512	4671	792
513	4683	783
514	4692	774
515	4703	765
516	4713	756
517	4721	747
518	4728	738
519	4738	729
520	4746	719
521	4756	710
522	4761	700
523	4765	691
524	4775	682
525	4779	672
526	4785	662
527	4798	654
528	4802	644
529	4813	635
530	4818	626
531	4827	617
532	4834	607
533	4842	598
534	4851	589
535	4854	579
536	4860	570
537	4867	560
538	4876	551
539	4882	542
540	4890	533
541	4900	524
542	4910	515
543	4915	506
544	4928	497
545	4936	488
546	4944	479
547	4950	469
548	4953	460
549	4961	451
550	4966	441
551	4971	432
552	4982	423
553	4993	414
554	5000	405
555	5005	396
556	5011	386
557	5019	377
558	5030	368
559	5038	359
560	5046	350
561	5056	341
562	5063	332
563	5069	323
564	5074	314
565	5080	305
566	5091	296
567	5098	287
568	5107	278
569	5119	269
570	5130	260
571	5135	251
572	5140	242
573	5150	233
574	5155	224
575	5163	215
576	5171	206
577	5178	197
578	5183	188
579	5190	178
580	5202	170
581	5210	161
582	5219	152
583	5226	143
584	5234	134
585	5241	125
586	5246	116
587	5257	107
588	5269	98
589	5280	89
590	5283	80
591	5287	71
592	5296	62
593	5301	53
594	5308	44
595	5320	35
596	5328	26
597	5334	17
598	5338	8
599	5344	0
