leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,300,2,0.06,3,0.8921,0.6196,0.1791
6,700,2,0.02,3,0.8765,0.6105,0.1791
6,400,2,0.12,2,0.9141,0.3239,0.1483
6,300,2,0.14,3,0.9186,0.5792,0.1791
8,60,2,0.08,2,0.8034,0.2824,0.1483
10,60,2,0.1,2,0.8171,0.3148,0.1483
6,900,2,0.02,3,0.8911,0.6093,0.1791
6,700,2,0.8,3,0.933,0.471,0.1791
4,400,2,0.8,1,0.9263,0.3285,0.1393
6,700,2,0.14,3,0.9284,0.5836,0.1791
10,700,2,0.04,1,0.9024,0.5724,0.1393
8,400,2,0.1,3,0.9164,0.5886,0.1791
8,400,2,0.04,3,0.8834,0.6218,0.1791
4,60,2,0.8,1,0.9139,0.2829,0.1393
4,20,2,0.02,1,0.3277,0.206,0.1393
6,800,2,0.12,3,0.9284,0.5956,0.1791
10,100,2,0.14,2,0.8722,0.3572,0.1483
8,200,2,0.1,3,0.8973,0.5931,0.1791
6,200,2,0.04,2,0.8308,0.3209,0.1483
6,1200,2,0.14,1,0.9247,0.5671,0.1393
8,20,2,0.14,2,0.7573,0.263,0.1483
4,600,2,0.6,1,0.9263,0.406,0.1393
10,200,2,0.1,1,0.8915,0.5194,0.1393
10,1200,2,0.02,1,0.899,0.5642,0.1393
4,1200,2,0.4,1,0.9265,0.4912,0.1393
6,900,2,0.2,3,0.9313,0.5708,0.1791
4,900,2,0.1,2,0.922,0.3456,0.1483
6,900,2,0.8,1,0.9267,0.35,0.1393
4,300,2,0.08,2,0.8968,0.326,0.1483
4,800,2,0.8,2,0.9279,0.2637,0.1483
6,500,2,0.12,2,0.9174,0.3211,0.1483
4,100,2,0.06,3,0.8151,0.6168,0.1791
8,600,2,0.12,2,0.9198,0.2811,0.1483
4,1400,2,0.4,1,0.9266,0.4911,0.1393
6,60,2,0.4,1,0.8952,0.4807,0.1393
8,800,2,0.4,3,0.9324,0.5274,0.1791
4,1000,2,0.14,1,0.9242,0.5645,0.1393
10,500,2,0.14,3,0.9248,0.5634,0.1791
4,400,2,0.02,2,0.8307,0.3347,0.1483
6,60,2,0.6,2,0.9048,0.1096,0.1483
6,500,2,0.06,1,0.9066,0.5485,0.1393
4,1200,2,0.2,1,0.9259,0.5437,0.1393
8,200,2,0.06,1,0.8644,0.5402,0.1393
6,1000,2,0.1,2,0.9225,0.4096,0.1483
4,1200,2,0.08,1,0.9225,0.5887,0.1393
4,400,2,0.4,2,0.9258,0.1742,0.1483
8,60,2,0.12,3,0.8225,0.6386,0.1791
8,900,2,0.4,1,0.9261,0.4361,0.1393
10,900,2,0.6,3,0.9329,0.5179,0.1791
8,200,2,0.12,2,0.8976,0.2732,0.1483
8,1000,2,0.6,2,0.9277,0.3287,0.1483
4,600,2,0.2,1,0.9235,0.5398,0.1393
4,60,2,0.06,1,0.7851,0.5248,0.1393
4,100,2,0.06,1,0.8178,0.527,0.1393
6,400,2,0.1,2,0.9114,0.4097,0.1483
6,100,2,0.14,1,0.8729,0.5484,0.1393
6,20,2,0.06,1,0.6199,0.437,0.1393
10,400,2,0.04,1,0.8796,0.5529,0.1393
4,700,2,0.14,1,0.9224,0.5648,0.1393
10,300,2,0.08,1,0.898,0.5499,0.1393
6,20,2,0.06,3,0.5993,0.4771,0.1791
6,1400,2,0.6,2,0.9279,0.0831,0.1483
6,20,2,0.02,1,0.3304,0.1952,0.1393
8,500,2,0.08,3,0.9169,0.5506,0.1791
10,1400,2,0.08,2,0.9222,0.4102,0.1483
4,500,2,0.08,2,0.9114,0.3359,0.1483
6,700,2,0.04,3,0.9085,0.6239,0.1791
4,700,2,0.12,3,0.927,0.5644,0.1791
6,600,2,0.02,2,0.8629,0.3327,0.1483
6,1400,2,0.12,3,0.931,0.592,0.1791
4,1000,2,0.06,3,0.924,0.6052,0.1791
6,200,2,0.14,3,0.9084,0.5818,0.1791
8,60,2,0.4,1,0.8962,0.4107,0.1393
4,20,2,0.1,3,0.7017,0.5058,0.1791
6,60,2,0.4,2,0.892,0.2415,0.1483
4,20,2,0.2,3,0.7799,0.5648,0.1791
4,800,2,0.06,1,0.916,0.5958,0.1393
10,500,2,0.04,2,0.8895,0.3775,0.1483
8,20,2,0.6,1,0.8564,0.3779,0.1393
10,1200,2,0.2,1,0.9252,0.522,0.1393
4,100,2,0.6,1,0.9175,0.3986,0.1393
4,400,2,0.8,2,0.9274,0.2706,0.1483
