leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,200,2,0.8,1,0.8483,-0.0054,0.1744
10,1200,2,0.08,2,0.8666,0.5113,0.1832
6,400,2,0.6,2,0.8684,0.3868,0.1832
4,600,2,0.08,1,0.8451,0.1669,0.1744
8,100,2,0.02,1,0.6494,0.1253,0.1744
10,800,2,0.02,2,0.855,0.5381,0.1832
6,100,2,0.08,1,0.7985,0.2306,0.1744
8,400,2,0.14,1,0.845,0.0308,0.1744
4,800,2,0.6,2,0.8688,0.4118,0.1832
8,20,2,0.2,3,0.785,0.4413,0.2387
10,400,2,0.1,2,0.8635,0.5135,0.1832
10,800,2,0.12,2,0.8665,0.5019,0.1832
6,200,2,0.2,2,0.8637,0.4667,0.1832
6,1400,2,0.4,3,0.8864,0.3204,0.2387
8,800,2,0.06,1,0.8441,0.1192,0.1744
10,400,2,0.06,1,0.8383,0.1998,0.1744
6,300,2,0.06,1,0.8351,0.1351,0.1744
8,20,2,0.1,3,0.6918,0.3354,0.2387
4,600,2,0.4,2,0.8684,0.4421,0.1832
8,60,2,0.14,2,0.8297,0.5317,0.1832
6,600,2,0.12,1,0.8464,0.035,0.1744
10,500,2,0.04,1,0.8355,0.0959,0.1744
8,200,2,0.8,2,0.868,0.1486,0.1832
6,20,2,0.14,1,0.6999,0.2101,0.1744
4,600,2,0.06,1,0.8436,-0.0293,0.1744
4,600,2,0.02,1,0.8263,0.1507,0.1744
10,400,2,0.02,2,0.8248,0.5414,0.1832
4,60,2,0.6,3,0.8815,0.3709,0.2387
4,1400,2,0.1,1,0.8482,-0.0265,0.1744
8,20,2,0.08,2,0.6366,0.3579,0.1832
6,900,2,0.2,3,0.8857,0.3947,0.2387
10,300,2,0.08,1,0.8384,0.0717,0.1744
10,800,2,0.2,1,0.8477,0.1429,0.1744
4,300,2,0.2,3,0.8831,0.4477,0.2387
4,800,2,0.2,2,0.8681,0.4143,0.1832
8,1000,2,0.2,2,0.868,0.4632,0.1832
4,900,2,0.14,3,0.8856,0.3881,0.2387
6,200,2,0.6,3,0.8851,0.1664,0.2387
10,1400,2,0.1,3,0.885,0.4225,0.2387
6,1000,2,0.4,2,0.8687,0.5164,0.1832
10,300,2,0.6,1,0.8478,-0.3315,0.1744
4,900,2,0.12,2,0.8675,0.5096,0.1832
8,700,2,0.04,2,0.8617,0.5403,0.1832
4,300,2,0.14,1,0.8438,-0.0418,0.1744
10,800,2,0.04,2,0.8622,0.5196,0.1832
10,1000,2,0.8,2,0.8688,0.4719,0.1832
6,800,2,0.02,3,0.8723,0.4567,0.2387
4,1200,2,0.4,2,0.8688,0.4431,0.1832
4,100,2,0.14,3,0.8688,0.3937,0.2387
6,500,2,0.1,1,0.8449,-0.0228,0.1744
8,600,2,0.4,3,0.8859,0.3279,0.2387
10,60,2,0.08,1,0.7616,0.2008,0.1744
4,200,2,0.2,3,0.8811,0.451,0.2387
6,800,2,0.02,3,0.8723,0.4567,0.2387
4,800,2,0.4,2,0.8686,0.442,0.1832
8,600,2,0.1,1,0.8452,0.0161,0.1744
10,900,2,0.14,3,0.8847,0.4635,0.2387
4,1000,2,0.14,3,0.8857,0.3866,0.2387
10,100,2,0.02,1,0.6497,0.1059,0.1744
10,1000,2,0.14,3,0.885,0.4631,0.2387
10,600,2,0.04,1,0.838,0.0721,0.1744
4,800,2,0.12,3,0.885,0.4415,0.2387
6,700,2,0.12,1,0.8469,0.036,0.1744
4,20,2,0.14,1,0.7003,0.2166,0.1744
10,300,2,0.1,2,0.8621,0.5115,0.1832
10,300,2,0.2,2,0.8647,0.4642,0.1832
6,700,2,0.6,3,0.8864,0.1662,0.2387
10,1000,2,0.1,3,0.8843,0.4234,0.2387
6,600,2,0.1,3,0.8834,0.4554,0.2387
8,900,2,0.1,3,0.8845,0.4137,0.2387
6,300,2,0.14,1,0.8443,0.1629,0.1744
4,900,2,0.12,1,0.8479,0.0315,0.1744
4,700,2,0.06,1,0.8446,-0.0378,0.1744
4,400,2,0.08,2,0.8632,0.4932,0.1832
6,900,2,0.06,2,0.8657,0.4957,0.1832
8,1200,2,0.1,2,0.8674,0.5088,0.1832
4,800,2,0.04,2,0.8633,0.545,0.1832
8,1400,2,0.6,2,0.8688,0.3191,0.1832
