leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,600,2,0.1,2,0.9202,0.5154,0.2258
8,600,2,0.14,2,0.9246,0.5078,0.2258
8,300,2,0.08,3,0.9027,0.5198,0.2114
8,900,2,0.4,3,0.9313,0.5142,0.2114
8,500,2,0.04,2,0.8929,0.5047,0.2258
6,60,2,0.12,1,0.8292,0.4673,0.186
6,100,2,0.6,3,0.9228,0.402,0.2114
4,100,2,0.4,2,0.9143,0.3889,0.2258
10,200,2,0.08,2,0.8816,0.4469,0.2258
10,900,2,0.8,3,0.9318,0.4091,0.2114
8,200,2,0.8,3,0.9297,0.3684,0.2114
6,60,2,0.6,2,0.9102,0.3368,0.2258
4,600,2,0.02,2,0.8647,0.4836,0.2258
10,400,2,0.8,1,0.9271,0.4948,0.186
4,200,2,0.8,3,0.9299,0.3741,0.2114
4,300,2,0.14,2,0.9165,0.5451,0.2258
10,900,2,0.1,2,0.9242,0.5267,0.2258
10,60,2,0.08,3,0.8065,0.4306,0.2114
6,20,2,0.8,2,0.8612,0.3645,0.2258
4,20,2,0.06,3,0.615,0.3449,0.2114
6,200,2,0.8,2,0.9291,0.3963,0.2258
10,300,2,0.4,3,0.9274,0.4828,0.2114
6,1000,2,0.6,2,0.9315,0.3775,0.2258
6,900,2,0.2,2,0.9296,0.5277,0.2258
4,1000,2,0.14,3,0.9293,0.4648,0.2114
8,700,2,0.4,2,0.9307,0.3204,0.2258
4,1200,2,0.14,2,0.9296,0.5602,0.2258
6,60,2,0.8,3,0.92,0.4031,0.2114
6,1400,2,0.4,3,0.9318,0.4856,0.2114
6,60,2,0.6,1,0.909,0.4919,0.186
4,600,2,0.6,2,0.9312,0.5353,0.2258
10,1200,2,0.08,1,0.9217,0.5476,0.186
10,1200,2,0.6,3,0.9318,0.3952,0.2114
10,200,2,0.06,2,0.8655,0.47,0.2258
4,60,2,0.04,1,0.7364,0.4712,0.186
10,200,2,0.8,2,0.9284,0.1124,0.2258
8,900,2,0.02,2,0.8884,0.48,0.2258
4,800,2,0.4,3,0.9314,0.3108,0.2114
6,200,2,0.8,3,0.9302,0.4002,0.2114
10,700,2,0.12,3,0.9252,0.5644,0.2114
6,600,2,0.02,1,0.8639,0.4988,0.186
4,60,2,0.8,2,0.9158,0.2858,0.2258
10,800,2,0.08,2,0.921,0.4955,0.2258
10,100,2,0.6,3,0.9221,0.3854,0.2114
8,800,2,0.04,3,0.9105,0.4897,0.2114
10,20,2,0.08,3,0.6808,0.3482,0.2114
8,1000,2,0.8,3,0.9318,0.3684,0.2114
6,1200,2,0.02,1,0.8986,0.5151,0.186
6,100,2,0.12,2,0.8648,0.5082,0.2258
8,200,2,0.08,3,0.8858,0.5174,0.2114
4,800,2,0.06,3,0.9199,0.5043,0.2114
10,200,2,0.04,2,0.8339,0.4517,0.2258
4,400,2,0.4,1,0.9261,0.431,0.186
6,1000,2,0.4,3,0.9316,0.486,0.2114
4,100,2,0.14,1,0.8722,0.4796,0.186
8,60,2,0.6,3,0.9136,0.3809,0.2114
8,100,2,0.02,2,0.7057,0.3707,0.2258
6,1200,2,0.6,3,0.9318,0.412,0.2114
10,1000,2,0.04,2,0.9133,0.5167,0.2258
4,100,2,0.1,2,0.8489,0.4451,0.2258
10,1400,2,0.4,3,0.9316,0.482,0.2114
8,100,2,0.14,3,0.8784,0.513,0.2114
6,20,2,0.2,1,0.7807,0.4871,0.186
10,1200,2,0.14,3,0.9292,0.4573,0.2114
4,20,2,0.2,1,0.7893,0.5198,0.186
4,400,2,0.4,1,0.9261,0.431,0.186
8,700,2,0.8,3,0.9317,0.368,0.2114
4,100,2,0.04,2,0.7883,0.4589,0.2258
10,700,2,0.8,1,0.9278,0.494,0.186
4,600,2,0.02,3,0.8685,0.506,0.2114
10,20,2,0.04,3,0.5092,0.2546,0.2114
4,60,2,0.02,1,0.6013,0.3876,0.186
10,1200,2,0.1,3,0.9278,0.4973,0.2114
8,700,2,0.2,2,0.9283,0.4196,0.2258
8,800,2,0.14,3,0.9278,0.5228,0.2114
8,1400,2,0.06,3,0.9259,0.5056,0.2114
6,300,2,0.12,1,0.9095,0.5177,0.186
4,300,2,0.1,2,0.9077,0.5008,0.2258
10,1200,2,0.6,1,0.9279,0.416,0.186
4,600,2,0.04,1,0.8982,0.5168,0.186
10,600,2,0.4,1,0.9267,0.5592,0.186
10,1400,2,0.14,3,0.9297,0.4568,0.2114
6,400,3,0.12,1,0.8704,0.4694,0.186
10,60,3,0.2,1,0.7963,0.5139,0.186
8,300,3,0.12,3,0.8636,0.4769,0.2114
4,200,3,0.6,1,0.889,0.3543,0.186
6,100,3,0.08,1,0.7702,0.4953,0.186
10,100,3,0.2,1,0.8296,0.5045,0.186
10,300,3,0.6,3,0.8965,0.3571,0.2114
4,800,3,0.04,3,0.861,0.4645,0.2114
8,1000,3,0.04,1,0.8631,0.4699,0.186
6,100,3,0.06,2,0.7321,0.4933,0.2258
10,800,3,0.2,3,0.8933,0.3766,0.2114
4,1400,3,0.2,2,0.8823,0.4675,0.2258
6,60,3,0.08,1,0.7343,0.49,0.186
6,700,3,0.14,3,0.8898,0.4028,0.2114
8,700,3,0.2,3,0.8925,0.3821,0.2114
8,900,3,0.06,3,0.8774,0.4422,0.2114
10,900,3,0.14,2,0.8703,0.465,0.2258
10,200,3,0.02,1,0.7239,0.4899,0.186
10,1400,3,0.6,1,0.9039,0.2124,0.186
4,100,3,0.08,1,0.7721,0.4731,0.186
8,900,3,0.4,2,0.8847,0.4705,0.2258
6,500,3,0.14,2,0.864,0.5141,0.2258
4,400,3,0.2,1,0.882,0.4448,0.186
6,200,3,0.04,3,0.7753,0.4671,0.2114
6,1400,3,0.8,3,0.908,-0.0102,0.2114
6,600,3,0.2,1,0.8859,0.4381,0.186
10,800,3,0.8,2,0.8899,0.2941,0.2258
4,60,3,0.14,3,0.7738,0.4489,0.2114
8,1000,3,0.8,3,0.9069,0.0286,0.2114
10,60,3,0.6,2,0.8417,0.4743,0.2258
4,60,3,0.1,2,0.7305,0.449,0.2258
8,100,3,0.8,2,0.8646,0.4708,0.2258
4,1000,3,0.12,2,0.8725,0.5119,0.2258
4,100,3,0.8,1,0.8831,0.3004,0.186
6,200,3,0.8,2,0.8796,0.4977,0.2258
8,600,3,0.6,2,0.8859,0.3822,0.2258
8,700,3,0.1,1,0.8773,0.4454,0.186
4,400,3,0.1,3,0.8683,0.4767,0.2114
10,20,3,0.4,2,0.7479,0.545,0.2258
10,100,3,0.06,3,0.7544,0.4624,0.2114
8,20,3,0.1,1,0.6437,0.4344,0.186
8,900,3,0.4,2,0.8847,0.4705,0.2258
10,60,3,0.12,3,0.7632,0.4706,0.2114
4,400,3,0.12,1,0.8689,0.4828,0.186
10,1200,3,0.06,3,0.8824,0.4081,0.2114
10,1400,3,0.2,2,0.8792,0.4568,0.2258
10,1400,3,0.4,3,0.9047,0.2718,0.2114
6,500,3,0.2,3,0.8899,0.3978,0.2114
10,60,3,0.14,2,0.7548,0.418,0.2258
8,1200,3,0.4,3,0.9039,0.2704,0.2114
10,400,3,0.12,2,0.8514,0.5247,0.2258
8,400,3,0.08,2,0.8374,0.5566,0.2258
4,1200,3,0.8,1,0.9051,0.1146,0.186
10,200,3,0.14,1,0.8494,0.4624,0.186
4,100,3,0.14,1,0.808,0.4855,0.186
4,700,3,0.8,1,0.9035,0.1497,0.186
8,500,3,0.4,1,0.8928,0.3101,0.186
10,100,3,0.06,1,0.7535,0.4677,0.186
8,100,3,0.08,3,0.7734,0.4761,0.2114
6,800,3,0.8,2,0.8905,0.3978,0.2258
10,600,3,0.04,3,0.8472,0.4721,0.2114
8,100,3,0.06,2,0.7321,0.4967,0.2258
4,700,3,0.08,3,0.8787,0.4226,0.2114
10,700,3,0.8,2,0.8889,0.3097,0.2258
6,20,3,0.14,1,0.687,0.4528,0.186
6,300,3,0.02,2,0.731,0.473,0.2258
10,800,3,0.08,1,0.8744,0.4393,0.186
10,1000,3,0.8,2,0.8907,0.2755,0.2258
4,500,3,0.04,1,0.8329,0.4887,0.186
10,1000,3,0.04,3,0.8676,0.4526,0.2114
10,600,3,0.8,2,0.8881,0.331,0.2258
4,900,3,0.06,2,0.8566,0.5638,0.2258
6,1400,3,0.12,3,0.8959,0.3682,0.2114
4,100,3,0.14,3,0.8123,0.4583,0.2114
6,400,3,0.2,2,0.8658,0.5053,0.2258
4,400,3,0.1,3,0.8683,0.4767,0.2114
6,900,3,0.4,2,0.8842,0.4021,0.2258
4,300,3,0.2,3,0.8821,0.4332,0.2114
10,20,3,0.2,1,0.7252,0.4746,0.186
4,60,3,0.08,1,0.7378,0.4758,0.186
4,1200,3,0.08,2,0.8681,0.5333,0.2258
6,400,3,0.14,2,0.8594,0.5193,0.2258
4,100,3,0.4,3,0.8676,0.4474,0.2114
10,1000,3,0.08,3,0.8845,0.431,0.2114
6,1400,3,0.02,1,0.8496,0.4792,0.186
6,200,3,0.02,2,0.7026,0.4481,0.2258
6,300,3,0.1,2,0.8348,0.5274,0.2258
10,300,3,0.02,3,0.7571,0.4784,0.2114
6,200,3,0.1,2,0.8115,0.5224,0.2258
10,500,3,0.6,1,0.8968,0.313,0.186
4,1200,3,0.06,1,0.879,0.4422,0.186
8,700,3,0.12,3,0.8857,0.4397,0.2114
8,300,3,0.6,3,0.8975,0.344,0.2114
10,1000,3,0.02,3,0.837,0.4921,0.2114
10,200,3,0.14,1,0.8494,0.4624,0.186
10,200,3,0.08,1,0.8154,0.5068,0.186
4,500,3,0.14,2,0.8625,0.5467,0.2258
4,500,3,0.4,3,0.899,0.3585,0.2114
4,20,3,0.2,3,0.7178,0.4518,0.2114
4,500,3,0.4,2,0.8801,0.4639,0.2258
