leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,1200,2,0.02,1,0.8981,0.512,0.186
4,200,2,0.08,2,0.8824,0.4335,0.2258
6,700,2,0.6,2,0.9313,0.377,0.2258
4,600,2,0.02,1,0.8623,0.4816,0.186
4,100,2,0.08,2,0.833,0.4029,0.2258
6,500,2,0.02,3,0.8551,0.4812,0.2114
4,400,2,0.8,3,0.9315,0.3738,0.2114
6,600,2,0.4,3,0.9309,0.4888,0.2114
10,500,2,0.4,2,0.9296,0.4355,0.2258
10,900,2,0.14,1,0.9234,0.5184,0.186
8,900,2,0.6,2,0.9314,0.4231,0.2258
10,1000,2,0.02,2,0.8935,0.4798,0.2258
10,60,2,0.6,3,0.9149,0.3824,0.2114
8,1200,2,0.12,2,0.9282,0.5151,0.2258
10,500,2,0.04,1,0.8914,0.4953,0.186
8,1000,2,0.12,3,0.9281,0.4489,0.2114
8,100,2,0.2,1,0.8896,0.4944,0.186
8,500,2,0.08,1,0.9114,0.5532,0.186
8,100,2,0.02,1,0.7091,0.447,0.186
6,500,2,0.2,3,0.9279,0.4781,0.2114
8,400,2,0.8,2,0.931,0.2656,0.2258
10,300,2,0.6,3,0.9297,0.3904,0.2114
8,400,2,0.12,3,0.9197,0.458,0.2114
4,800,2,0.12,1,0.9231,0.5368,0.186
6,1000,2,0.04,1,0.9119,0.5403,0.186
4,800,2,0.04,2,0.9091,0.5263,0.2258
10,1200,2,0.6,3,0.9318,0.3952,0.2114
8,800,2,0.02,1,0.8813,0.4883,0.186
8,1400,2,0.2,3,0.931,0.452,0.2114
4,60,2,0.06,3,0.7855,0.4421,0.2114
4,300,2,0.8,2,0.9309,0.3249,0.2258
10,20,2,0.04,2,0.4929,0.2547,0.2258
8,200,2,0.6,3,0.9281,0.4087,0.2114
4,60,2,0.04,2,0.7345,0.4216,0.2258
10,900,2,0.2,1,0.9253,0.5167,0.186
6,400,2,0.2,2,0.9249,0.5204,0.2258
4,20,2,0.04,1,0.5027,0.3282,0.186
6,900,2,0.4,3,0.9315,0.4862,0.2114
10,700,2,0.02,1,0.8734,0.494,0.186
8,20,2,0.1,2,0.7025,0.3562,0.2258
4,20,2,0.4,3,0.8339,0.3447,0.2114
8,60,2,0.12,2,0.8249,0.4488,0.2258
8,1000,2,0.02,3,0.896,0.518,0.2114
4,200,2,0.12,3,0.9019,0.5207,0.2114
8,1000,2,0.2,1,0.9261,0.5302,0.186
4,1000,2,0.2,3,0.9306,0.4499,0.2114
8,1400,2,0.04,1,0.9169,0.518,0.186
10,800,2,0.2,1,0.9247,0.5154,0.186
6,800,2,0.2,1,0.9257,0.5087,0.186
10,200,2,0.08,1,0.8813,0.5119,0.186
4,300,2,0.02,3,0.8207,0.4732,0.2114
10,900,2,0.1,3,0.9261,0.4971,0.2114
6,500,2,0.04,2,0.8938,0.5023,0.2258
10,400,2,0.12,3,0.9194,0.5681,0.2114
4,900,2,0.04,2,0.9117,0.5289,0.2258
8,500,2,0.2,3,0.9274,0.4458,0.2114
4,600,2,0.1,1,0.9187,0.5266,0.186
8,1200,2,0.02,3,0.9027,0.5178,0.2114
4,100,2,0.6,1,0.9198,0.4532,0.186
10,1400,2,0.1,2,0.9275,0.5341,0.2258
6,1000,2,0.8,3,0.9319,0.3985,0.2114
4,400,2,0.02,1,0.8357,0.4765,0.186
8,1200,2,0.12,1,0.9247,0.5413,0.186
8,400,2,0.08,3,0.9119,0.5155,0.2114
4,900,2,0.1,2,0.9259,0.5307,0.2258
10,300,2,0.8,1,0.9266,0.4969,0.186
4,1200,2,0.04,3,0.921,0.4943,0.2114
6,700,2,0.08,2,0.9202,0.488,0.2258
6,1400,2,0.4,3,0.9318,0.4856,0.2114
10,400,2,0.6,3,0.9307,0.3938,0.2114
8,60,2,0.06,3,0.7851,0.413,0.2114
4,100,2,0.2,3,0.8951,0.4579,0.2114
10,400,2,0.12,2,0.9172,0.5182,0.2258
8,100,2,0.14,3,0.8784,0.513,0.2114
8,400,2,0.14,3,0.9223,0.5199,0.2114
10,900,2,0.06,1,0.9157,0.5422,0.186
4,900,2,0.14,2,0.9284,0.5579,0.2258
8,60,2,0.1,2,0.8142,0.4051,0.2258
10,1400,2,0.08,2,0.9263,0.5096,0.2258
6,700,2,0.4,2,0.931,0.5116,0.2258
4,700,2,0.1,3,0.9251,0.5256,0.2114
10,200,2,0.4,1,0.9207,0.5603,0.186
6,300,3,0.02,2,0.731,0.473,0.2258
4,500,3,0.06,1,0.8515,0.4747,0.186
10,20,3,0.08,3,0.6106,0.3667,0.2114
10,900,3,0.08,2,0.8597,0.5623,0.2258
6,500,3,0.8,1,0.9017,0.253,0.186
10,600,3,0.14,2,0.8644,0.4674,0.2258
10,400,3,0.08,2,0.8367,0.5627,0.2258
8,1200,3,0.1,2,0.8682,0.5177,0.2258
4,1000,3,0.4,3,0.9037,0.3108,0.2114
4,900,3,0.06,1,0.8721,0.4552,0.186
10,300,3,0.1,3,0.8571,0.4572,0.2114
10,400,3,0.14,1,0.8719,0.4173,0.186
8,800,3,0.1,2,0.863,0.5283,0.2258
8,500,3,0.08,1,0.8648,0.4619,0.186
4,20,3,0.06,3,0.5541,0.3214,0.2114
4,20,3,0.6,2,0.7754,0.4607,0.2258
4,400,3,0.2,3,0.8874,0.4268,0.2114
8,1400,3,0.8,2,0.892,0.2742,0.2258
8,900,3,0.2,3,0.895,0.3666,0.2114
6,1000,3,0.12,3,0.8929,0.3894,0.2114
6,200,3,0.1,2,0.8115,0.5224,0.2258
6,900,3,0.02,3,0.8316,0.4928,0.2114
6,400,3,0.14,1,0.8738,0.4994,0.186
10,60,3,0.2,3,0.7981,0.4601,0.2114
6,900,3,0.08,1,0.8799,0.4541,0.186
6,1000,3,0.1,3,0.8889,0.4134,0.2114
10,1000,3,0.1,1,0.8817,0.4063,0.186
10,700,3,0.4,2,0.8818,0.4398,0.2258
10,900,3,0.02,1,0.8255,0.5047,0.186
8,1200,3,0.06,1,0.8779,0.4667,0.186
4,1400,3,0.2,3,0.9002,0.3517,0.2114
10,400,3,0.1,3,0.8687,0.4414,0.2114
6,900,3,0.02,1,0.8279,0.488,0.186
6,60,3,0.2,2,0.7765,0.4908,0.2258
10,20,3,0.8,3,0.8177,0.2315,0.2114
6,800,3,0.04,1,0.8552,0.4556,0.186
6,400,3,0.02,2,0.7487,0.4864,0.2258
4,500,3,0.2,2,0.8698,0.5175,0.2258
6,600,3,0.1,1,0.8743,0.4531,0.186
4,700,3,0.8,2,0.8902,0.3092,0.2258
10,60,3,0.6,2,0.8417,0.4743,0.2258
6,300,3,0.06,1,0.8271,0.5118,0.186
8,1200,3,0.1,1,0.8851,0.4224,0.186
6,300,3,0.06,3,0.8294,0.4976,0.2114
6,1000,3,0.12,1,0.8867,0.4176,0.186
4,1200,3,0.14,3,0.8951,0.3556,0.2114
4,1400,3,0.2,3,0.9002,0.3517,0.2114
6,800,3,0.12,2,0.8677,0.5022,0.2258
10,100,3,0.08,2,0.7454,0.5192,0.2258
4,700,3,0.02,1,0.8078,0.5053,0.186
4,20,3,0.4,3,0.7672,0.5274,0.2114
6,300,3,0.02,3,0.7545,0.4714,0.2114
8,100,3,0.2,2,0.8156,0.5157,0.2258
8,200,3,0.8,2,0.8769,0.4527,0.2258
6,200,3,0.02,2,0.7026,0.4481,0.2258
