leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,1000,2,0.1,1,0.8466,0.1329,0.1744
8,60,2,0.12,1,0.791,0.2389,0.1744
4,1000,2,0.08,1,0.847,0.1613,0.1744
8,600,2,0.8,1,0.8491,0.1685,0.1744
10,100,2,0.02,3,0.6954,0.3388,0.2387
8,800,2,0.8,2,0.8688,0.1499,0.1832
10,1400,2,0.02,3,0.8782,0.4215,0.2387
6,800,2,0.8,1,0.8493,0.0126,0.1744
6,800,2,0.8,3,0.8865,0.1589,0.2387
4,600,2,0.12,1,0.847,0.0415,0.1744
4,60,2,0.06,3,0.7774,0.3815,0.2387
6,900,2,0.14,2,0.8676,0.428,0.1832
10,600,2,0.4,2,0.868,0.5007,0.1832
8,900,2,0.08,1,0.8462,-0.0176,0.1744
10,60,2,0.08,1,0.7616,0.2008,0.1744
4,800,2,0.08,2,0.8665,0.4876,0.1832
10,400,2,0.02,1,0.7986,0.1826,0.1744
10,100,2,0.2,2,0.8584,0.4705,0.1832
4,1200,2,0.8,1,0.8494,0.1494,0.1744
6,900,2,0.8,1,0.8494,0.0134,0.1744
8,1400,2,0.04,1,0.8451,0.038,0.1744
6,900,2,0.6,1,0.8492,0.1201,0.1744
8,700,2,0.02,2,0.8532,0.5177,0.1832
8,600,2,0.08,1,0.8444,-0.0098,0.1744
4,800,2,0.04,3,0.8805,0.4376,0.2387
10,1200,2,0.04,2,0.8645,0.5187,0.1832
6,1200,2,0.6,2,0.8688,0.3855,0.1832
6,600,2,0.04,2,0.8607,0.5316,0.1832
8,700,2,0.2,3,0.8851,0.4728,0.2387
6,900,2,0.2,2,0.8681,0.4755,0.1832
10,200,2,0.6,2,0.867,0.4316,0.1832
6,20,2,0.2,1,0.746,0.2129,0.1744
8,900,2,0.4,1,0.8489,0.0486,0.1744
8,1000,2,0.8,3,0.8865,0.205,0.2387
6,1200,2,0.12,1,0.8481,0.0267,0.1744
10,100,2,0.1,2,0.8392,0.5073,0.1832
10,500,2,0.2,3,0.8842,0.4409,0.2387
6,60,2,0.1,3,0.8212,0.4414,0.2387
10,600,2,0.4,1,0.8485,-0.2165,0.1744
4,1400,2,0.08,2,0.8677,0.4896,0.1832
6,100,2,0.4,1,0.8428,0.119,0.1744
4,1400,2,0.08,3,0.8853,0.3883,0.2387
