min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
3,0.2,removal,1,800,0.005,25,7,0.27,0.97,0.638809974066598,0.2597642789281014
3,0.0,replacement,2,800,0.005,7,8,0.89,0.33,0.5952768612982264,0.2903929067602582
0,0.0,removal,3,600,0.03,25,7,0.68,0.17,0.6804921622465794,0.20623150613723396
5,0.0,removal,2,800,0.03,7,6,0.52,0.26,0.816519725199222,0.2587839248558389
0,0.0,removal,4,800,0.01,10,10,0.47,0.7,0.6622165175772028,0.2564023913199863
0,0.25,removal,4,800,0.05,13,9,0.94,0.06,0.7309939127564195,0.2055143096827915
0,0.2,removal,1,800,0.005,4,10,0.34,0.66,0.580115185304235,0.27651987736562567
1,0.25,replacement,4,600,0.05,25,10,0.71,0.66,0.9275972987363839,0.15961516536149645
5,0.25,removal,2,600,0.03,10,9,0.27,0.45,0.8404804497533338,0.24129540198876975
5,0.0,replacement,5,600,0.03,4,10,0.06,0.3,0.7608657835403253,0.30892445779947586
5,0.2,removal,5,800,0.03,25,6,0.33,0.31,0.8280244110941211,0.29475518894269215
3,0.2,removal,5,1000,0.01,25,8,0.9,0.47,0.7322345256186378,0.32165704592856725
1,0.0,removal,1,1000,0.03,10,9,0.17,0.82,0.8452455223029066,0.25528132009248916
1,0.2,removal,3,600,0.03,7,10,0.2,0.45,0.7820461693579366,0.26741501397472933
0,0.2,replacement,4,1000,0.05,13,6,0.2,0.7,0.8498538152832761,0.20321252769143805
1,0.2,replacement,5,600,0.005,25,8,0.45,0.05,0.41194990494476236,0.08827059353108047
0,0.25,removal,4,1000,0.05,7,9,0.5,0.16,0.8374777965851765,0.22947063845102578
0,0.25,removal,4,1000,0.03,25,10,0.34,0.5,0.8444032109228575,0.21511808505639662
5,0.0,removal,2,1000,0.05,4,8,0.21,0.48,0.9181218610927813,0.2123075221887536
5,0.2,replacement,3,600,0.03,4,6,0.06,0.27,0.6603885242955461,0.19015683319673915
1,0.25,replacement,5,800,0.03,25,10,0.13,0.57,0.7474630942922684,0.14516431418876663
3,0.0,replacement,3,800,0.01,10,6,0.13,0.69,0.6423752790968009,0.37711804350255285
1,0.2,replacement,3,1000,0.01,4,10,0.64,0.77,0.7510539098892437,0.3064701661833553
5,0.25,replacement,3,1000,0.05,10,6,0.21,0.66,0.9118743261886968,0.1495471513229647
1,0.25,replacement,4,800,0.005,7,8,0.85,0.56,0.5740311582381867,0.2008729238623954
