leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
4,700,6,0.05,2,8,0.9,0.55,0.9391,0.4781,0.202
25,600,6,0.05,2,10,0.22,0.51,0.8619,0.4919,0.202
10,500,6,0.08,3,10,0.7,0.82,0.9593,0.5516,0.2169
13,700,6,0.11,3,8,0.51,0.77,0.9687,0.5381,0.2169
7,700,6,0.1,3,10,0.71,0.78,0.9812,0.5487,0.2169
4,600,6,0.05,2,6,0.47,0.55,0.8911,0.4798,0.202
4,600,6,0.1,1,8,0.58,0.58,0.9633,0.5289,0.1983
4,700,6,0.1,2,6,0.52,0.89,0.9621,0.4673,0.202
7,500,6,0.11,3,9,0.63,0.94,0.9716,0.5472,0.2169
7,700,6,0.05,2,6,0.23,0.45,0.8571,0.4971,0.202
7,500,6,0.1,2,7,0.46,0.68,0.9481,0.497,0.202
13,600,6,0.05,1,7,0.51,0.7,0.8973,0.5428,0.1983
13,500,6,0.05,3,8,0.38,0.91,0.8857,0.5634,0.2169
10,700,6,0.11,3,9,0.61,0.86,0.9799,0.5457,0.2169
13,700,6,0.1,3,8,0.72,0.69,0.9705,0.546,0.2169
4,600,6,0.1,1,9,0.43,0.68,0.9619,0.5148,0.1983
25,700,6,0.05,2,9,0.87,0.63,0.9349,0.4793,0.202
10,500,6,0.08,2,7,0.83,0.84,0.9323,0.4765,0.202
25,500,6,0.11,1,7,0.74,0.53,0.9356,0.5222,0.1983
4,500,6,0.05,1,7,0.86,0.57,0.889,0.546,0.1983
13,700,6,0.11,3,6,0.49,1.0,0.9454,0.5741,0.2169
4,500,6,0.11,3,6,0.77,0.65,0.9444,0.5592,0.2169
7,500,6,0.1,2,6,0.73,0.64,0.9395,0.4803,0.202
25,600,6,0.08,3,6,0.31,0.53,0.8562,0.5814,0.2169
4,500,6,0.11,1,10,0.79,0.8,0.9715,0.5448,0.1983
25,600,6,0.1,1,9,0.84,0.97,0.9651,0.5272,0.1983
13,700,6,0.1,2,10,0.37,0.49,0.9641,0.4658,0.202
10,500,6,0.05,1,7,0.71,0.45,0.8875,0.5459,0.1983
7,700,6,0.11,3,9,0.86,0.46,0.98,0.5473,0.2169
