leaves,trees,state,learn_rate,accuracy_train,accuracy_test
6.0,20.0,3.0,0.7,0.8278020271832126,0.448304224069605
15.0,900.0,1.0,0.6,0.8840979401982657,0.4479953691871399
6.0,60.0,3.0,0.4,0.8634288492381178,0.41774937090531483
6.0,40.0,2.0,0.7,0.8649673003159306,0.4174134767354205
15.0,100.0,1.0,0.5,0.8762182870772195,0.4127756348672509
8.0,80.0,1.0,0.5,0.8742943558633659,0.4115416902860579
8.0,20.0,3.0,0.07,0.594011474428794,0.40584460573508785
15.0,80.0,3.0,0.4,0.8697623492771133,0.4002789456238883
15.0,900.0,3.0,0.4,0.884039600124508,0.3998118908880979
4.0,250.0,1.0,0.5,0.8827307022492553,0.39168572902818977
8.0,600.0,2.0,0.6,0.884005934341866,0.39142728498953017
4.0,20.0,3.0,0.5,0.8134797174775374,0.3880092658912768
15.0,350.0,1.0,0.5,0.8835270829651765,0.3880022478410332
6.0,20.0,2.0,0.05,0.5199926162910999,0.37818783545686885
15.0,400.0,2.0,0.7,0.8838676474908835,0.3715215331221302
4.0,1000.0,2.0,0.7,0.8841073122608895,0.3660108376494666
8.0,40.0,3.0,0.8,0.8678433118819269,0.35111650486241874
10.0,60.0,3.0,0.8,0.8750394346266979,0.3275396818090677
4.0,60.0,3.0,0.8,0.8750394346266979,0.3275396818090677
15.0,80.0,2.0,0.01,0.460342047672635,0.317684201116206
4.0,1000.0,1.0,0.8,0.8841099833451767,0.27919780346102707
10.0,20.0,1.0,0.8,0.8504458103524856,0.2709183004114396
15.0,60.0,1.0,0.01,0.3946921931965969,0.2563090585954241
15.0,20.0,2.0,0.01,0.17248368019811833,0.0886512291944892
10.0,20.0,2.0,0.01,0.17248368019811833,0.0886512291944892
