min_CNLs,accuracy_train,accuracy_test
1,0.8649972043089383,-0.15969295262131822
2,0.8541057318539451,0.11375844411594349
3,0.856736517651764,-0.05910930213277288
4,0.8692805297809414,-0.04296722146369736
5,0.8421242111944911,0.07800271802168057
6,0.845527330257047,-0.4965511757506307
7,0.8412114045802948,0.1764772257708197
8,0.8810810332312888,-0.29097125744735286
9,0.8817775731884806,-0.5417034521839137
10,0.8639907818047444,0.0010280572294935064
11,0.858024962871695,0.08435078683689834
12,0.8647894652344861,0.37819792827653576
13,0.8615813269631494,-1.022724312536747
14,0.8440925698909278,-0.21787650433241912
15,0.8954386095427408,-0.2668984839355997
16,0.930699583418895,-0.3594746420580217
17,0.8403750720778206,0.6292484282131863
18,0.8461145899371944,0.35901493719024813
19,0.8464354368241578,0.3152112814351502
20,0.8306035295014511,-0.6311954593640783
25,0.7928996414311107,-3.67013379445099
30,0.7297441602748367,0.27405425417618356
