leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4.0,1000.0,10.0,0.15,3.0,0.8132,0.6019,0.1956
8.0,800.0,6.0,0.15,3.0,0.8132,0.5807,0.1956
10.0,700.0,15.0,0.13,3.0,0.809,0.5804,0.1956
10.0,800.0,6.0,0.6,3.0,0.8158,0.5777,0.1956
10.0,700.0,15.0,0.09,3.0,0.8051,0.5744,0.1956
6.0,400.0,10.0,0.03,3.0,0.7703,0.5743,0.1956
6.0,200.0,4.0,0.11,3.0,0.7939,0.5712,0.1956
4.0,500.0,2.0,0.09,3.0,0.8083,0.5711,0.1956
10.0,1000.0,2.0,0.13,3.0,0.8145,0.5671,0.1956
4.0,100.0,15.0,0.4,3.0,0.7983,0.5662,0.1956
10.0,60.0,10.0,0.4,3.0,0.792,0.5649,0.1956
8.0,800.0,2.0,0.11,3.0,0.8133,0.5637,0.1956
6.0,1200.0,4.0,0.13,3.0,0.8149,0.5606,0.1956
8.0,1000.0,6.0,0.4,3.0,0.8157,0.5529,0.1956
8.0,700.0,6.0,0.4,3.0,0.8153,0.5522,0.1956
6.0,300.0,6.0,0.01,3.0,0.7154,0.5317,0.1956
8.0,1200.0,4.0,0.8,3.0,0.816,0.5067,0.1956
10.0,20.0,10.0,0.11,3.0,0.6876,0.4995,0.1956
10.0,700.0,6.0,0.8,3.0,0.8158,0.494,0.1956
4.0,20.0,10.0,0.09,3.0,0.6593,0.4877,0.1956
6.0,1400.0,2.0,0.6,3.0,0.816,0.4609,0.1956
8.0,60.0,15.0,0.01,3.0,0.423,0.3206,0.1956
6.0,20.0,10.0,0.05,1.0,0.5625,0.2316,0.2727
4.0,20.0,2.0,0.03,1.0,0.4382,0.1783,0.2727
6.0,100.0,10.0,0.05,2.0,0.7394,0.1693,0.373
10.0,500.0,6.0,0.11,2.0,0.816,0.1588,0.373
8.0,200.0,6.0,0.05,2.0,0.7711,0.1512,0.373
4.0,900.0,15.0,0.13,2.0,0.8186,0.1247,0.373
8.0,300.0,15.0,0.03,2.0,0.7585,0.1047,0.373
6.0,400.0,6.0,0.11,2.0,0.8128,0.0822,0.373
10.0,60.0,10.0,0.03,1.0,0.6812,0.075,0.2727
10.0,200.0,4.0,0.01,2.0,0.6699,0.0748,0.373
10.0,20.0,4.0,0.11,2.0,0.6805,0.0563,0.373
8.0,60.0,6.0,0.4,2.0,0.796,0.0472,0.373
10.0,20.0,10.0,0.09,2.0,0.6549,0.0423,0.373
6.0,60.0,15.0,0.6,2.0,0.7993,0.0185,0.373
6.0,200.0,4.0,0.6,2.0,0.8237,-0.0335,0.373
10.0,400.0,15.0,0.8,2.0,0.825,-0.0782,0.373
6.0,1000.0,4.0,0.4,2.0,0.8266,-0.1771,0.373
4.0,600.0,15.0,0.03,1.0,0.8088,-0.4262,0.2727
8.0,800.0,6.0,0.8,2.0,0.8269,-0.4582,0.373
8.0,400.0,4.0,0.05,1.0,0.8201,-0.4597,0.2727
4.0,800.0,15.0,0.03,1.0,0.8161,-0.4856,0.2727
10.0,800.0,4.0,0.03,1.0,0.8248,-0.507,0.2727
8.0,900.0,4.0,0.03,1.0,0.8272,-0.5555,0.2727
10.0,900.0,10.0,0.13,1.0,0.8403,-0.65,0.2727
10.0,500.0,10.0,0.4,1.0,0.8431,-0.7103,0.2727
6.0,60.0,10.0,0.8,1.0,0.8335,-0.7133,0.2727
4.0,1000.0,6.0,0.6,1.0,0.8451,-0.7785,0.2727
4.0,700.0,15.0,0.6,1.0,0.8446,-0.8172,0.2727
