leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10.0,400.0,15.0,0.05,3.0,0.7827,0.3141,0.177
4.0,700.0,6.0,0.05,3.0,0.8259,0.306,0.177
6.0,600.0,6.0,0.05,3.0,0.8158,0.3015,0.177
10.0,200.0,6.0,0.13,3.0,0.8052,0.2884,0.177
6.0,1000.0,2.0,0.01,3.0,0.726,0.2839,0.177
4.0,500.0,2.0,0.09,3.0,0.8418,0.2838,0.177
8.0,200.0,2.0,0.15,3.0,0.8201,0.2819,0.177
10.0,600.0,10.0,0.01,3.0,0.7005,0.2648,0.177
10.0,1200.0,6.0,0.05,3.0,0.8504,0.2546,0.177
4.0,900.0,15.0,0.2,3.0,0.8745,0.2438,0.177
8.0,20.0,15.0,0.03,2.0,0.3597,0.232,0.1657
6.0,1200.0,2.0,0.11,2.0,0.8887,0.2283,0.1657
6.0,1200.0,2.0,0.11,2.0,0.8887,0.2283,0.1657
8.0,500.0,6.0,0.13,2.0,0.8698,0.2276,0.1657
10.0,100.0,4.0,0.05,2.0,0.7061,0.2204,0.1657
10.0,60.0,15.0,0.05,2.0,0.6543,0.2168,0.1657
4.0,20.0,10.0,0.09,3.0,0.5887,0.2165,0.177
8.0,60.0,6.0,0.03,3.0,0.5848,0.2047,0.177
8.0,20.0,15.0,0.11,3.0,0.6178,0.2004,0.177
4.0,200.0,10.0,0.03,1.0,0.6959,0.1906,0.3127
10.0,60.0,6.0,0.15,1.0,0.7157,0.1888,0.3127
8.0,100.0,10.0,0.05,1.0,0.6814,0.1829,0.3127
6.0,600.0,4.0,0.05,1.0,0.8199,0.1802,0.3127
8.0,60.0,4.0,0.2,1.0,0.7268,0.1742,0.3127
4.0,200.0,15.0,0.07,1.0,0.7511,0.1728,0.3127
10.0,1400.0,4.0,0.2,2.0,0.8973,0.1719,0.1657
4.0,900.0,10.0,0.2,2.0,0.8905,0.1658,0.1657
4.0,100.0,6.0,0.11,1.0,0.7351,0.1472,0.3127
8.0,900.0,10.0,0.03,2.0,0.8245,0.1439,0.1657
10.0,300.0,4.0,0.07,1.0,0.7937,0.1417,0.3127
10.0,60.0,4.0,0.4,1.0,0.8005,0.1344,0.3127
6.0,60.0,6.0,0.01,3.0,0.3595,0.133,0.177
4.0,100.0,10.0,0.8,1.0,0.8526,0.1323,0.3127
6.0,300.0,15.0,0.2,1.0,0.8537,0.1268,0.3127
4.0,1000.0,2.0,0.11,1.0,0.8756,0.1234,0.3127
6.0,500.0,2.0,0.4,1.0,0.8838,0.1157,0.3127
6.0,600.0,10.0,0.15,1.0,0.8684,0.115,0.3127
4.0,60.0,15.0,0.4,1.0,0.7945,0.1144,0.3127
8.0,1400.0,6.0,0.15,2.0,0.8931,0.1141,0.1657
8.0,20.0,10.0,0.01,2.0,0.1588,0.1089,0.1657
4.0,1200.0,4.0,0.13,1.0,0.8815,0.0966,0.3127
6.0,1400.0,2.0,0.13,1.0,0.8843,0.0884,0.3127
4.0,600.0,4.0,0.07,2.0,0.8524,0.0843,0.1657
10.0,60.0,2.0,0.2,2.0,0.7583,0.0815,0.1657
8.0,500.0,6.0,0.6,1.0,0.8867,0.063,0.3127
8.0,20.0,10.0,0.4,2.0,0.7169,0.0309,0.1657
8.0,1400.0,2.0,0.8,2.0,0.9038,0.03,0.1657
10.0,500.0,10.0,0.4,1.0,0.8815,0.0219,0.3127
6.0,1200.0,10.0,0.8,1.0,0.8947,-0.0935,0.3127
10.0,600.0,6.0,0.8,1.0,0.8904,-0.2368,0.3127
