leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
6.0,400.0,1.0,0.11,0.8528240016204085,0.840324894712764,0.1753
5.0,250.0,2.0,0.6,0.8599807581959644,0.8402178172762894,0.1846
6.0,200.0,2.0,0.6,0.860133396397801,0.8386117773961116,0.1809
6.0,600.0,1.0,0.04,0.8447161095856808,0.8379698070285766,0.183
10.0,400.0,1.0,0.15,0.8543968088142951,0.8378929955635048,0.1762
7.0,800.0,3.0,0.12,0.8600565164576531,0.8378868959613587,0.1781
8.0,1000.0,1.0,0.05,0.8541508736261717,0.8375634651548408,0.1805
7.0,1000.0,2.0,0.14,0.8607999528461681,0.8369145361989748,0.1791
5.0,500.0,2.0,0.06,0.8471075963950775,0.83595922367158,0.1813
5.0,600.0,1.0,0.4,0.8627925294432712,0.835874923146115,0.1676
6.0,600.0,1.0,0.8,0.863156158906939,0.8358598199433509,0.1842
9.0,500.0,1.0,0.09,0.8544977731780565,0.8355279124778802,0.1805
6.0,200.0,2.0,0.1,0.8407355304586316,0.8351912377733992,0.1804
9.0,150.0,1.0,0.15,0.8431604147406908,0.8351758974457855,0.1838
10.0,500.0,3.0,0.08,0.8527901417256982,0.8350814484841242,0.1738
7.0,400.0,1.0,0.1,0.8529547303539682,0.8345052756217639,0.1776
5.0,350.0,3.0,0.4,0.8624927593974254,0.8322937609443272,0.1792
10.0,40.0,3.0,0.5,0.8420020991963801,0.8316015509246173,0.1865
5.0,350.0,2.0,0.09,0.8507684818738378,0.8309416216887409,0.1802
5.0,250.0,3.0,0.8,0.8636171103565332,0.8306708992465303,0.1832
8.0,800.0,3.0,0.03,0.8448494537537115,0.8290954495247642,0.1848
5.0,200.0,3.0,0.6,0.8621875634384115,0.8286613692123481,0.1805
6.0,250.0,3.0,0.06,0.8351072987412016,0.8278535180556011,0.1777
7.0,80.0,1.0,0.3,0.8474528790803788,0.8276363247669523,0.1869
