min_CNLs,accuracy_train,accuracy_test,random_seed,tree,leaf,learn_rate
20,0.8119048214360955,-0.4674648084085662,3,100,8,0.15
20,0.8413833591780251,-0.20425089531461782,3,800,8,0.2
20,0.8308753825997628,0.4260973162483467,2,200,10,0.2
20,0.8397736162641363,-0.5112924065866338,3,400,6,0.2
20,0.6851002725211126,0.36718541314791975,2,100,6,0.05
20,0.8157502466286328,0.42120725214304855,2,100,6,0.2
20,0.8380631663438759,0.39349045489802126,2,800,6,0.15
20,0.7635924837619402,-0.26145773424232943,1,400,4,0.01
20,0.36091670678624865,0.05493810217478734,1,50,8,0.01
25,0.7323170628015019,-1.9601005217351188,3,600,6,0.01
25,0.5523908423293498,0.15711088153618302,1,50,6,0.05
25,0.7269069772315473,0.2331520222752257,1,1000,6,0.01
25,0.7963214855967975,0.02939041392731312,2,1200,4,0.05
25,0.7953120381638552,-5.709822340376244,3,600,8,0.1
25,0.652868290555499,0.2463789880416205,1,50,6,0.1
25,0.7829059406989517,0.22405279233640985,1,1200,6,0.05
25,0.46228365615389855,-0.749144529144397,3,100,6,0.01
25,0.7840572747196044,0.26048026450423856,1,1400,6,0.2
25,0.3971046960398368,-0.04390976464748797,2,100,4,0.01
30,0.7064940599925211,0.40941443442916736,2,600,10,0.2
30,0.3670783872952873,0.15194791373141614,2,100,10,0.01
30,0.7035057897909973,0.40871504620191956,2,600,4,0.05
30,0.724150648361449,0.24140989107905075,3,200,10,0.1
30,0.7319378712835347,0.22553986266732673,3,800,8,0.15
30,0.9250942075596629,-0.16548070961044337,1,1600,10,0.01
30,0.665387328026803,0.22655466849956862,3,600,6,0.01
30,0.7320227254612169,0.13915388759742342,3,1600,6,0.15
30,0.9397088985761456,-0.11283262121352466,1,800,4,0.2
30,0.9396901248222496,-0.4717153366038027,1,1400,6,0.1
