min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
3,0.0,removal,1,1000,0.1,7,6,0.43206549811472095,0.45444466966341435,0.9547312002339483,0.2476967381095505
0,0.1,removal,2,1000,0.1,25,9,0.13073709510184428,0.31549789344081236,0.8849262987809194,0.4202230842330493
0,0.2,removal,1,800,0.08,25,8,0.42709172122538375,0.7429335664784773,0.9259214668773211,0.1557320669590032
1,0.1,removal,3,600,0.05,10,6,0.5432717280195911,0.7980765215175847,0.854017267070798,0.2646266982358594
0,0.25,removal,3,800,0.05,10,7,0.40292688579359504,0.5640709945639575,0.8702477982584346,0.22779333049253292
3,0.1,replacement,1,800,0.05,4,6,0.39550594317755583,0.1286178088169032,0.8847276369381728,0.32130383384793426
2,0.2,replacement,2,1000,0.01,7,10,0.8724876846642526,0.1651034947743537,0.7258455133612511,0.32346381025395377
2,0.2,removal,3,600,0.08,25,7,0.5633747937646809,0.3865775168225716,0.9043785727631244,0.3493600537736462
1,0.0,removal,3,800,0.01,13,10,0.057851691114368275,0.15469972762926698,0.600946967677793,0.29677954418025665
0,0.25,removal,3,1000,0.01,7,4,0.9356285198400822,0.6124840492671677,0.5430900920892092,0.37338636141838266
1,0.1,removal,2,800,0.1,4,8,0.7752051000197306,0.7286807077398256,0.9521161894025854,0.333228610846103
3,0.0,replacement,2,1000,0.05,4,7,0.29486714637246414,0.35635590736033884,0.8992832885912708,0.4421937717667225
3,0.1,replacement,3,600,0.1,13,8,0.9102731408747942,0.16604963824304564,0.9659703225808927,0.3693459149739263
3,0.1,replacement,3,1000,0.05,7,10,0.18314775464733324,0.9842129418424761,0.9388291105434303,0.3593594194410916
1,0.25,replacement,1,600,0.01,13,10,0.5987498417964512,0.6269374576554017,0.6658607215609955,0.30376972792740664
1,0.2,replacement,1,1000,0.01,7,4,0.04626337896274357,0.4641247418724648,0.43932327039853447,0.2661064585219092
1,0.1,removal,3,1000,0.01,10,10,0.5629548016535386,0.37335501039723407,0.7277693723743461,0.28523535126308486
2,0.0,removal,2,600,0.01,10,6,0.7552762633364507,0.1565281250231616,0.5471624568145093,0.34306235982316113
3,0.0,removal,3,600,0.01,10,5,0.7131023687059299,0.6209774098123495,0.5964989802462812,0.370438914079364
1,0.0,removal,2,600,0.08,4,6,0.2224366557350621,0.4910628422594343,0.8599979055189186,0.36127180315226504
0,0.1,replacement,2,600,0.05,7,9,0.8024896113371642,0.0012897944250593874,0.1282010900367585,0.07296366119534758
3,0.2,replacement,1,1000,0.05,7,9,0.4767586176665968,0.08363235198528463,0.9268249345684146,0.31926132655366435
0,0.2,removal,3,1000,0.05,7,10,0.3359627497399231,0.2982735653536728,0.8833629250736094,0.25046170784376076
2,0.25,replacement,3,600,0.08,25,5,0.013076515431302838,0.1301344749472244,0.48396203867060017,0.35909357461465663
0,0.2,replacement,1,800,0.08,4,9,0.8222048605440013,0.3705161850378711,0.9670086537839616,0.17878110661920843
0,0.25,removal,2,800,0.08,13,5,0.7449735938470792,0.7163324806992921,0.8712630830368941,0.3915085480894428
1,0.25,replacement,3,600,0.05,25,8,0.42808955328454745,0.42689576577025723,0.8871821945824482,0.32998942335570547
3,0.1,removal,1,1000,0.01,4,6,0.48761441449677956,0.7543818117965257,0.723978400213533,0.2634650447502237
3,0.1,removal,3,800,0.01,13,5,0.7686856759006906,0.15192607298847483,0.5640427386552858,0.3772427942353761
2,0.0,removal,2,1000,0.01,13,4,0.6194005574834276,0.7289926810108776,0.5836863335932276,0.3777666325958713
2,0.2,replacement,2,800,0.05,25,8,0.7415567137705288,0.30308474814134256,0.9417423176175597,0.2903007582332199
3,0.2,replacement,3,1000,0.01,25,4,0.3818948368702013,0.9097977984924441,0.6055695182587406,0.36624408889060944
0,0.1,replacement,2,1000,0.08,4,6,0.068510835247104,0.12906044132065508,0.7677652418164387,0.36397965838895463
3,0.2,removal,3,600,0.1,13,6,0.4120675298627223,0.02669711064102187,0.7264930889500719,0.31364282307148206
0,0.2,replacement,3,800,0.05,25,4,0.8788413312203076,0.516338065552985,0.8046151964480857,0.339117993811196
3,0.25,removal,2,600,0.01,7,7,0.8749870389328183,0.2438793273226414,0.6231426529259416,0.4510069245917626
3,0.25,removal,3,1000,0.08,4,6,0.8330538023273919,0.7865538220101307,0.9567528728462427,0.3206376765192216
0,0.1,replacement,1,600,0.1,4,5,0.03269002636435059,0.40174050086726054,0.6889669998469732,0.2128811572157474
0,0.2,removal,2,600,0.1,25,7,0.2492211463477947,0.5976512166262467,0.8881589033099517,0.40602375998976004
1,0.1,removal,1,800,0.08,25,9,0.260780852026282,0.3025650739321639,0.9016587223901985,0.21487987846652945
0,0.1,removal,2,800,0.01,10,5,0.7784734429758566,0.7175780311733688,0.5635051779785072,0.42833130806691444
0,0.1,replacement,2,800,0.08,10,8,0.6303290414334248,0.31238039946365115,0.9514635065693378,0.37578800189485795
3,0.1,replacement,3,1000,0.05,4,8,0.9192406308897219,0.1644609815343696,0.9576812929090239,0.34657619679400686
3,0.2,replacement,3,800,0.1,7,5,0.03513849585872353,0.9088903550920846,0.7274402182346549,0.3675462084931963
0,0.0,replacement,3,800,0.1,7,9,0.2756001065163072,0.4004869867772374,0.9113491444945125,0.1819364173242587
1,0.1,removal,3,800,0.1,7,4,0.039365176325216966,0.6615711415361176,0.7489048432877128,0.2679149456759816
1,0.0,replacement,2,600,0.08,7,10,0.19974865950492782,0.5479802150593118,0.8962448426116271,0.37430224628263986
0,0.2,replacement,3,600,0.1,7,8,0.18121447369421406,0.35390391588945125,0.89580975924686,0.31225859968802994
0,0.25,replacement,1,600,0.1,10,9,0.46585451707675274,0.8602007172298822,0.9587066298475967,0.16427820732408693
1,0.25,replacement,3,800,0.05,4,9,0.8039687747780531,0.19440508118359312,0.9281371509461096,0.299422497757836
3,0.2,replacement,3,1000,0.1,25,8,0.8204675651567672,0.6432229228365238,0.991496997933387,0.35601758616986423
2,0.0,replacement,1,800,0.05,25,5,0.3466396315483553,0.2508914073446338,0.808133322933809,0.2615327559627828
1,0.0,removal,2,600,0.08,10,4,0.851263598815196,0.07109619748953544,0.636907970130101,0.29312124332095246
