min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.25,replacement,1,800,0.08,4,4,1.0,0.2,0.8408399063346039,0.23950110371461353
5,0.2,replacement,3,800,0.05,13,8,0.43,0.44,0.954999365746481,0.17226821976020756
3,0.25,removal,2,600,0.08,25,6,0.42,0.23,0.8815591954967006,0.16184787701747794
0,0.25,removal,3,1000,0.05,7,9,0.57,0.06,0.7488181296960806,0.24070786783452103
3,0.25,removal,1,600,0.08,13,5,0.23,0.77,0.8775620338283336,0.20290717122903323
0,0.0,replacement,2,600,0.01,13,8,0.28,0.55,0.5956342219727517,0.36145059043433003
5,0.2,replacement,3,800,0.01,13,9,0.05,0.44,0.5418910862182039,0.16162588976530068
0,0.2,removal,1,1000,0.05,25,5,0.23,0.38,0.7780441309597292,0.27731744893389465
5,0.0,removal,1,1000,0.05,13,4,0.87,0.7,0.8563523622108545,0.322615966927878
0,0.0,replacement,1,1000,0.1,25,8,0.06,0.78,0.8583792851622092,0.24970626632833393
0,0.25,replacement,3,1000,0.05,4,6,0.51,0.95,0.9258725994450232,0.19512090032350193
3,0.0,removal,1,1000,0.05,25,7,0.07,0.38,0.8426059067955665,0.16154011163156468
3,0.2,removal,1,600,0.05,25,6,0.6,0.58,0.867567765069797,0.20858266177805396
5,0.0,replacement,3,1000,0.01,25,4,0.73,0.17,0.5707610108228487,0.14233081675387305
0,0.0,removal,2,800,0.05,25,10,0.29,0.66,0.8707378350056048,0.31510154807097446
3,0.0,removal,2,800,0.1,4,8,0.47,0.42,0.9501991421854993,0.12515901058908296
0,0.0,replacement,2,1000,0.1,25,4,0.76,0.18,0.7771648403070186,0.30363665849251653
0,0.25,replacement,1,600,0.1,25,4,0.6,0.63,0.8356292900971788,0.24072168787489756
5,0.2,removal,2,1000,0.01,10,9,0.25,0.09,0.6702821085906847,0.2506636177834124
5,0.2,replacement,2,800,0.08,25,4,0.69,0.46,0.9025864736483192,0.23854420414252897
