leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,800,15,0.12,1,0.9547,0.3685,0.2082
14,1200,15,0.08,1,0.879,0.3549,0.2082
12,1200,15,0.15,3,0.9557,0.2668,0.2
10,500,15,0.1,2,0.8374,0.4602,0.2144
16,300,15,0.04,2,0.668,0.4274,0.2144
14,500,15,0.12,3,0.8479,0.3295,0.2
10,1200,15,0.06,2,0.8479,0.4512,0.2144
6,300,15,0.12,3,0.8664,0.3114,0.2
8,100,15,0.08,2,0.597,0.4053,0.2144
8,800,15,0.06,1,0.8977,0.353,0.2082
10,500,15,0.18,1,0.9442,0.3456,0.2082
6,500,15,0.15,2,0.8592,0.4583,0.2144
12,1600,15,0.12,3,0.9287,0.28,0.2
12,300,15,0.1,2,0.7479,0.453,0.2144
12,100,15,0.1,3,0.6394,0.1969,0.2
10,1200,15,0.02,1,0.7418,0.3571,0.2082
10,100,15,0.12,1,0.6744,0.327,0.2082
8,100,15,0.25,1,0.7767,0.3341,0.2082
10,300,15,0.08,2,0.7217,0.4505,0.2144
16,1200,15,0.04,2,0.8193,0.4665,0.2144
6,1200,15,0.15,2,0.9674,0.4447,0.2144
10,100,15,0.15,3,0.7243,0.2222,0.2
16,1400,15,0.04,3,0.817,0.2831,0.2
14,1200,15,0.1,3,0.9071,0.2901,0.2
12,300,15,0.08,3,0.8077,0.289,0.2
10,1600,15,0.02,2,0.808,0.4731,0.2144
10,100,15,0.15,1,0.7629,0.3594,0.2082
6,1400,15,0.12,2,0.9617,0.4454,0.2144
10,500,15,0.08,2,0.812,0.4576,0.2144
12,1000,15,0.06,3,0.9001,0.3092,0.2
12,1000,15,0.25,2,0.969,0.4199,0.2144
10,1200,15,0.06,3,0.8504,0.2817,0.2
8,100,15,0.1,2,0.6756,0.4126,0.2144
8,1600,15,0.25,1,0.9776,0.3271,0.2082
6,500,15,0.18,1,0.906,0.3401,0.2082
10,1400,15,0.12,3,0.9571,0.2747,0.2
