min_CNLs,consensus_thres,consensus_alg,removeminusones_df,random_seed,tree,leaf,learn_rate,accuracy_train,accuracy_test
1,0.0,removal,0,3,1300,10,0.2,0.7933426313142042,0.013944650174548268
1,0.0,removal,0,1,600,7,0.2,0.7696680293546736,0.16045831403509203
1,0.1,removal,0,2,1300,10,0.1,0.7882964917277464,0.1185552361836879
3,0.2,removal,0,1,400,13,0.01,0.5084155663462084,0.21351193991798378
1,0.2,replacement,0,3,600,40,0.15,0.7939412988813295,0.0997513517040376
3,0.25,removal,0,3,200,10,0.05,0.6094087629587354,0.19557455692364256
2,0.25,replacement,0,1,800,40,0.05,0.7389141100176944,0.3031366734815204
0,0.1,replacement,0,1,1600,10,0.1,0.8256420694266576,-0.07036374272733292
1,0.0,removal,0,2,1300,40,0.1,0.7859373124410439,0.18072730624853506
0,0.0,replacement,0,2,1600,7,0.15,0.811051539891074,-0.00599578905431275
3,0.1,removal,0,3,200,4,0.05,0.6070047172986208,0.2025615915842356
3,0.1,replacement,0,1,1300,40,0.1,0.8250590106263438,0.18044050251177124
3,0.0,replacement,0,1,400,13,0.15,0.7511637819774,0.20715948015287022
1,0.1,removal,0,2,1600,4,0.05,0.761742883145162,0.1685008022270854
0,0.25,replacement,0,1,800,40,0.05,0.7196570291404658,0.02579464909133644
2,0.1,removal,0,1,400,7,0.15,0.7422402186429027,0.27489045029006276
0,0.2,replacement,0,2,1300,40,0.2,0.8568807328529839,0.04796425792116432
3,0.2,replacement,0,2,1300,13,0.2,0.8627487343715807,0.09589591742469405
2,0.25,replacement,0,3,1600,40,0.15,0.8495195082802003,0.08724654734361181
3,0.1,replacement,0,1,1300,4,0.15,0.8459066239746882,0.22312961556586097
0,0.0,replacement,0,3,1600,4,0.15,0.7850006536313365,0.14928864323369528
0,0.0,replacement,0,2,1000,40,0.1,0.7772887934501788,0.056979598055524217
2,0.2,replacement,0,2,600,40,0.05,0.7180297678795071,0.08997835829169776
1,0.25,replacement,0,2,1300,7,0.15,0.8506583163569885,0.11135633606703244
3,0.1,replacement,0,2,1000,7,0.01,0.5965143857140496,0.23014366358339444
0,0.0,removal,0,1,1000,13,0.15,0.7742157749551013,-0.08171592948936102
1,0.2,replacement,0,3,600,40,0.1,0.764693532856313,0.13431399023530866
2,0.0,replacement,0,2,1600,4,0.05,0.7682236339084638,0.05224624715106252
2,0.1,replacement,0,2,400,7,0.05,0.6704661369272253,0.11528070480357144
2,0.0,replacement,0,3,800,4,0.15,0.7826591592558905,0.05283335005658962
2,0.25,removal,0,2,600,40,0.1,0.75399513878633,-0.002153654580846265
0,0.2,replacement,0,2,800,7,0.2,0.8449284523653332,0.05220090435407854
2,0.25,removal,0,3,1300,4,0.1,0.7872239721061968,0.023824476537144368
3,0.1,removal,0,1,1300,4,0.05,0.7565129176486791,0.23105645354004523
3,0.2,removal,0,1,1300,7,0.1,0.7903583480871259,0.18340570548223223
2,0.2,replacement,0,1,1000,40,0.2,0.8410052871730388,0.250086369388933
3,0.25,replacement,0,2,600,7,0.15,0.8220866491601337,0.15317123825999857
2,0.25,removal,0,1,600,13,0.01,0.5308958455302155,0.3252356842976737
1,0.2,removal,0,3,400,4,0.2,0.7467074093174392,0.02841203470745135
3,0.1,replacement,0,3,1600,13,0.15,0.8673335162198107,0.006016728210746947
1,0.2,removal,0,3,400,40,0.05,0.6444936354509241,0.12429017391804864
3,0.25,replacement,0,1,600,40,0.15,0.8080192622618073,0.17252476387229632
0,0.25,removal,0,3,1600,13,0.1,0.7720383083722859,0.16835769419717506
2,0.1,replacement,0,3,400,4,0.1,0.7482075546454863,0.07986208890961644
1,0.1,removal,0,3,600,10,0.15,0.751822740850135,0.052465458885566196
0,0.25,replacement,0,1,200,40,0.01,0.3824924708295223,0.1449087683878414
1,0.25,removal,0,1,400,10,0.05,0.630448093585724,0.302098470204312
3,0.0,replacement,0,2,400,7,0.01,0.49337477608114655,0.20046189979883822
2,0.1,removal,0,1,1300,40,0.15,0.797875376785385,0.2041649358596559
0,0.1,replacement,0,1,800,4,0.2,0.8259341666545981,-0.07410360070084443
1,0.0,removal,0,2,1300,40,0.15,0.8021907565531226,0.11729385976982132
3,0.1,replacement,0,3,400,4,0.2,0.821630972055222,0.026729589605421156
2,0.2,replacement,0,3,1600,40,0.05,0.7991472468509755,0.10190918888745859
1,0.1,removal,0,1,600,7,0.1,0.7289058637342132,0.24420594221774217
1,0.25,replacement,0,2,1600,13,0.2,0.8641009845154175,0.09742711781732438
0,0.2,replacement,0,1,1000,40,0.15,0.8178551110781995,-0.07218476189446976
0,0.1,removal,0,2,400,13,0.01,0.5043572837117816,0.1938475616640739
3,0.0,replacement,0,2,600,7,0.15,0.77095254320138,0.12067905618972308
2,0.25,removal,0,3,800,4,0.01,0.5672455035811066,0.12528275984833215
0,0.2,replacement,0,2,800,4,0.2,0.8461016622373172,0.08694109254002425
0,0.0,removal,0,3,800,4,0.01,0.5333589639965717,0.3655480211690576
3,0.0,removal,0,3,1000,13,0.01,0.6078857873228828,0.20994537789472967
1,0.0,removal,0,3,1000,40,0.05,0.7150124270290792,0.061713178888883724
0,0.2,removal,0,1,200,10,0.01,0.42538976078395263,0.1626214850512221
0,0.2,removal,0,3,1600,13,0.2,0.7927736638291478,0.12855299367738748
3,0.1,replacement,0,2,200,13,0.15,0.7298780657237695,0.2063040596454162
2,0.25,removal,0,1,800,7,0.05,0.7194225286711535,0.31698152796189527
3,0.0,removal,0,3,400,7,0.05,0.6827751422962776,0.20275950700777412
1,0.0,removal,0,2,1000,10,0.05,0.7279587212615644,0.23517764920153772
2,0.2,removal,0,2,600,40,0.01,0.5452900536844205,0.10750116954044431
0,0.2,removal,0,1,1000,4,0.15,0.7757545659972702,-0.06854630271801354
2,0.1,replacement,0,2,800,7,0.1,0.8055272561095824,0.030586233432503995
3,0.2,removal,0,3,200,7,0.05,0.6093790300119515,0.19097485305101625
2,0.2,removal,0,1,600,10,0.2,0.7816447543812941,0.18117552167888296
2,0.1,replacement,0,1,1300,40,0.15,0.8416917637478952,0.2515081879374852
2,0.2,replacement,0,2,1000,4,0.05,0.769965002438876,0.05727133256376482
2,0.2,removal,0,3,800,4,0.05,0.7162585441686387,0.038752927327193376
2,0.2,replacement,0,2,1000,13,0.15,0.8370774764846763,-0.016313567581166755
2,0.2,removal,0,1,200,13,0.01,0.41636420622435644,0.2678066685926016
3,0.1,removal,0,1,1600,10,0.01,0.6455980507985808,0.23883336376547037
0,0.25,removal,0,3,1000,13,0.05,0.7095169872877609,0.25921635434100665
3,0.0,replacement,0,1,800,13,0.2,0.7974249677809075,0.19587288779793854
1,0.1,replacement,0,2,1000,40,0.2,0.8466712118994228,0.13621464902776426
3,0.25,removal,0,2,400,10,0.05,0.6563830546336833,0.18726557539080457
0,0.25,removal,0,1,1300,7,0.15,0.7854700023070262,-0.15877198495675682
0,0.1,removal,0,1,200,13,0.01,0.4230671796665265,0.15641522997353108
3,0.25,replacement,0,1,800,4,0.05,0.7538040483446108,0.21032376874841185
3,0.25,removal,0,1,1000,10,0.2,0.8050105528032698,0.10658505633462778
0,0.0,replacement,0,1,600,40,0.05,0.6725830548681404,0.05214948002693032
3,0.2,removal,0,1,1300,7,0.2,0.8119345060041987,0.11288111891699137
0,0.25,removal,0,2,1000,10,0.05,0.7384248717910283,0.12137845065232578
1,0.2,removal,0,2,1300,13,0.15,0.8043938558992056,0.07234438636365792
2,0.2,replacement,0,3,200,13,0.15,0.7162003143892728,0.08958510685799026
1,0.2,removal,0,3,1000,7,0.05,0.718863624661896,0.045996598941949185
1,0.25,replacement,0,3,400,7,0.05,0.6556114957820207,0.18331968490697748
1,0.0,replacement,0,2,400,7,0.01,0.47821371426407955,0.30507684107716904
1,0.2,removal,0,1,1300,10,0.15,0.7916084043602581,0.11483118999836461
0,0.25,removal,0,2,1300,7,0.15,0.8046544443900412,-0.006832710507060691
2,0.1,replacement,0,1,1600,4,0.1,0.8386881938131405,0.25265008377757914
3,0.25,replacement,0,2,1600,7,0.05,0.8143488624958284,0.13974136432884077
3,0.1,replacement,0,3,400,10,0.15,0.8033853244774845,0.06758655791918655
1,0.1,replacement,0,3,200,10,0.05,0.5671485348502449,0.2066799229835986
1,0.0,removal,0,2,600,13,0.2,0.783495184772304,0.14482997521506524
3,0.25,replacement,0,2,200,7,0.15,0.7301159277652878,0.2039003641502034
3,0.0,removal,0,1,800,7,0.2,0.7965608720674276,0.1751476790741202
3,0.0,replacement,0,3,1000,13,0.01,0.6078857873228828,0.20994537789472967
0,0.2,removal,0,3,1600,40,0.1,0.7715036228640204,0.171235601244899
1,0.2,replacement,0,2,1000,40,0.05,0.7631513419132454,0.20903915681327667
3,0.0,removal,0,2,1000,40,0.2,0.8016006088259878,0.01839294010402215
2,0.0,replacement,0,2,800,10,0.2,0.7988826222275281,0.00013899069162071065
1,0.2,replacement,0,1,200,7,0.2,0.7276249923048252,0.18038704012115647
1,0.0,removal,0,3,200,10,0.01,0.42234984981765666,0.1820157649831491
0,0.25,replacement,0,2,1600,40,0.15,0.8540946232668979,0.06481628178826992
2,0.0,replacement,0,2,200,7,0.2,0.7186586402434474,0.00934221004953606
2,0.2,replacement,0,2,800,10,0.01,0.5553540873957058,0.11700828851428358
0,0.1,replacement,0,2,200,40,0.1,0.6694881018503708,0.1492199051343398
3,0.2,removal,0,2,1000,10,0.2,0.8043403201180301,0.11024980437250065
0,0.25,removal,0,2,1300,40,0.1,0.790097616095674,0.04257592255038967
0,0.0,replacement,0,1,1600,7,0.05,0.7427748310597975,-0.02022108207210427
0,0.0,replacement,0,2,1000,7,0.01,0.5831671738123325,0.2073194919953787
3,0.25,removal,0,3,1300,13,0.1,0.8119434281044347,0.03213891362835519
3,0.0,removal,0,1,1600,7,0.2,0.8161309562402392,0.15799336193287072
0,0.25,removal,0,3,400,4,0.2,0.7389718231601615,0.1747558140511054
0,0.1,removal,0,3,1300,4,0.2,0.7875044954025489,0.10946664029227104
1,0.0,replacement,0,2,1000,7,0.2,0.8033787893852884,0.14182580269312417
3,0.25,replacement,0,1,1000,40,0.05,0.7666539280443495,0.17781669594955374
2,0.2,replacement,0,3,800,40,0.2,0.834876186973556,0.09110572605116474
3,0.0,replacement,0,3,400,10,0.05,0.6804420306107244,0.20531231223244772
2,0.1,removal,0,3,1600,7,0.2,0.815157526382141,-0.021475358688389123
0,0.1,replacement,0,3,1600,7,0.15,0.8384059402226154,0.17841784631716462
1,0.25,replacement,0,2,1600,10,0.01,0.6364863370546223,0.28488478283754415
1,0.0,removal,0,3,600,4,0.05,0.6736823700421086,0.10432510241010651
2,0.2,removal,0,1,400,7,0.01,0.49096494832621496,0.3005667456933163
3,0.2,removal,0,2,1300,4,0.1,0.7899311538562082,0.1516768376736336
1,0.0,removal,0,1,1600,10,0.15,0.7954080438840567,0.1699507603631103
1,0.25,removal,0,2,1600,10,0.15,0.8127008629541287,0.10584633334916105
1,0.1,removal,0,1,1000,4,0.01,0.5526785919658843,0.318371938879891
3,0.2,removal,0,3,1600,40,0.15,0.8293131638757494,0.016882067916244692
2,0.1,removal,0,1,800,7,0.05,0.7148265620731762,0.285761625963906
3,0.2,replacement,0,2,1300,13,0.05,0.8004483962397952,0.15581115487190422
2,0.2,replacement,0,3,400,13,0.05,0.6732552069115288,0.09072107653809092
3,0.0,replacement,0,3,1000,4,0.1,0.7989161302092042,0.09351975847316951
0,0.2,replacement,0,3,1300,13,0.05,0.7674858302460479,0.2565414654091458
3,0.0,removal,0,1,200,7,0.2,0.7221711329885366,0.22595476428212846
1,0.2,replacement,0,1,1000,4,0.1,0.8088211442815151,0.15231926296579823
0,0.0,removal,0,1,1600,13,0.1,0.7765089962945639,-0.09752488597204723
3,0.25,removal,0,3,1300,10,0.1,0.8121582134009439,0.009181984866132531
3,0.25,replacement,0,1,400,40,0.15,0.7814874399621329,0.18459127913678708
1,0.2,replacement,0,3,600,4,0.15,0.7980027040784385,0.0982936987012264
2,0.25,replacement,0,3,1300,13,0.2,0.8559517082110911,0.04064262239488825
0,0.2,removal,0,3,800,10,0.15,0.7602471052458936,0.20745285434101157
1,0.1,replacement,0,2,800,4,0.01,0.5517075087772836,0.2870425201737449
3,0.1,replacement,0,3,1600,4,0.05,0.8218811939896139,0.08183586781497176
0,0.25,removal,0,3,1600,10,0.15,0.7846902263084898,0.14222286416472563
0,0.1,removal,0,2,200,40,0.15,0.6987114602868538,0.1579053368410993
0,0.2,replacement,0,2,200,10,0.1,0.6728464152813318,0.1614427057989608
0,0.0,replacement,0,3,1000,4,0.2,0.7790354756627005,0.1179217736984206
3,0.0,removal,0,2,600,4,0.05,0.6905000179759715,0.14041810239221697
2,0.2,replacement,0,3,400,13,0.05,0.6732552069115288,0.09072107653809092
0,0.0,replacement,0,1,200,40,0.01,0.4238772807215867,0.158486175989771
2,0.1,removal,0,2,600,40,0.1,0.7519990234401189,-0.00783352700254425
1,0.0,replacement,0,1,800,7,0.2,0.7823835964260025,0.13594467932993248
0,0.2,removal,0,3,1000,13,0.1,0.7514540322213163,0.2321710338213574
0,0.1,replacement,0,2,400,10,0.15,0.7847341715869869,0.12000395059203106
1,0.0,replacement,0,2,1600,13,0.05,0.7609320246350524,0.21423128471049768
3,0.0,replacement,0,2,1300,40,0.2,0.8087123937291336,0.004835109642891355
1,0.2,removal,0,1,1000,13,0.2,0.7926938798827707,0.0771106381613994
1,0.2,replacement,0,2,400,4,0.05,0.6665490922376518,0.2773520787064837
1,0.25,removal,0,3,1000,4,0.15,0.7777577996371003,0.0011096847758045314
1,0.1,replacement,0,2,1600,10,0.2,0.8643643626053121,0.07156677972983905
2,0.25,removal,0,3,400,4,0.05,0.6599140535577139,0.0600771788285176
3,0.2,removal,0,3,1300,40,0.2,0.8317903866861383,-0.0018411557229833786
3,0.2,replacement,0,2,200,7,0.1,0.6885435150057664,0.21104584958659345
1,0.0,removal,0,1,1600,40,0.05,0.7451456884699503,0.22967332800693485
1,0.2,replacement,0,2,600,13,0.2,0.8295296013604868,0.15259540889341983
1,0.1,removal,0,1,1000,40,0.2,0.790527126240884,0.15125612564464164
2,0.25,removal,0,2,1600,4,0.2,0.8196191184930149,-0.05214641873588044
2,0.0,removal,0,2,200,10,0.05,0.5855544196697096,0.066176531857144
2,0.1,replacement,0,1,1000,13,0.1,0.8168589958228898,0.2745768827137899
1,0.1,replacement,0,1,1300,7,0.2,0.8512912608301836,0.10682667623999342
0,0.1,replacement,0,2,1600,40,0.15,0.855197947436412,0.051524953123308626
0,0.0,replacement,0,2,200,10,0.01,0.43572614584406155,0.1929549970771981
3,0.25,removal,0,3,200,4,0.01,0.4376488739275767,0.21778281325765092
0,0.1,replacement,0,1,1000,4,0.2,0.8347114698400389,-0.10319446933731391
3,0.0,removal,0,3,1600,4,0.2,0.8369586726764724,-0.0059358877507114105
2,0.2,removal,0,2,200,40,0.15,0.7021194208740738,0.045600149771291454
0,0.1,replacement,0,3,400,13,0.01,0.4594618867650514,0.3005675576114858
2,0.1,replacement,0,1,600,4,0.01,0.5283064616464224,0.3052466887638534
2,0.1,removal,0,2,1600,10,0.2,0.8187718163007977,-0.11102758456913997
2,0.25,removal,0,1,600,13,0.05,0.6957356196328139,0.304822459689282
1,0.2,replacement,0,3,1000,13,0.1,0.8034435497199989,0.1279741261913392
2,0.0,removal,0,3,600,40,0.2,0.7811753371440702,0.049271519881126435
1,0.25,replacement,0,3,600,7,0.05,0.7007272943323144,0.1648392025549692
1,0.25,removal,0,1,200,40,0.1,0.6317430703287674,0.2915603750034358
1,0.25,removal,0,2,1000,7,0.05,0.736196832843681,0.170889942242605
0,0.0,removal,0,3,1600,40,0.1,0.7705270524147558,0.17438771450964452
3,0.0,removal,0,3,200,13,0.05,0.6074065398741677,0.18821049262234946
0,0.25,replacement,0,3,400,13,0.2,0.7797824308495267,0.24390362886768924
3,0.2,replacement,0,3,400,4,0.2,0.8213883866204343,-0.0029643019705472007
3,0.2,replacement,0,2,1000,7,0.2,0.855640651462669,0.15381413113689757
