min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.2,replacement,2,600,0.1,4,0.886274231528493,0.2295167681051633
1,0.0,replacement,3,1600,0.12,6,0.974597679284834,0.22821964644472637
0,0.25,removal,1,1600,0.12,6,0.9629201889366013,-0.06770856791921753
2,0.0,replacement,2,1000,0.05,4,0.8157321706417477,0.23728153236000016
1,0.25,removal,1,600,0.08,6,0.8958703761334457,0.2723285507806943
3,0.25,replacement,2,1300,0.05,4,0.9002620347476888,0.3690884866156834
2,0.0,removal,2,1300,0.1,8,0.9745864159008528,0.13121614183021402
0,0.1,removal,2,1000,0.1,10,0.947952910729704,0.3413179093219072
2,0.1,removal,1,1600,0.05,8,0.9547097738626463,0.2286090501102237
3,0.25,replacement,1,1000,0.05,6,0.9542325269462836,0.34042097781156433
1,0.25,removal,2,400,0.08,10,0.8930285882798997,0.295511474055012
1,0.25,replacement,2,1300,0.08,4,0.9191158322859017,0.29579204247096547
0,0.0,removal,3,1300,0.05,8,0.9248390337913619,0.06256243144148299
0,0.0,replacement,3,1000,0.08,6,0.9234064394441217,0.06086743384727167
0,0.0,removal,3,1600,0.15,4,0.9267822061111775,-0.11099652624257272
0,0.2,replacement,2,800,0.12,8,0.9829400071895334,0.2741665886294138
1,0.1,replacement,1,600,0.1,8,0.97117843094541,0.25213156021801264
2,0.0,replacement,1,800,0.12,4,0.8861734197408958,0.19941737514356916
0,0.1,replacement,2,1300,0.08,6,0.9792109697331653,0.29663891736010917
0,0.2,removal,1,1600,0.15,10,0.9760815067070825,-0.08887235587227349
2,0.0,removal,1,1300,0.15,8,0.9837404320548683,0.12718714290386846
0,0.1,removal,2,800,0.08,10,0.9219455803148634,0.3693011013990667
0,0.1,replacement,1,1600,0.15,6,0.9947489913231926,0.08166792128992695
0,0.1,removal,1,1000,0.08,6,0.9253219173790086,0.044820677791463814
2,0.0,replacement,2,1600,0.15,6,0.9841578518152136,0.07755888506060671
0,0.1,removal,3,600,0.1,10,0.9234524706096398,0.033286628302870325
1,0.1,replacement,3,800,0.1,10,0.9855763665986108,0.2877381282240725
3,0.0,removal,2,600,0.05,4,0.7367845098011478,0.4142071210296304
1,0.1,replacement,1,1300,0.05,8,0.9759333339119988,0.26454229051572253
3,0.2,replacement,2,600,0.1,4,0.8999909565773644,0.34316551068419476
2,0.2,replacement,2,1300,0.1,4,0.9540482934477235,0.20346598598216892
3,0.2,replacement,3,1300,0.05,6,0.9749139263313364,0.3380209762308167
2,0.2,removal,2,1300,0.08,8,0.969258788063858,0.0776938481747268
2,0.0,removal,3,1300,0.05,6,0.9305889424059949,0.2720000180176685
0,0.2,replacement,1,600,0.05,6,0.8839441353134263,0.19086355637773766
2,0.1,removal,2,1300,0.08,4,0.8978957877369429,0.19240771130518375
3,0.2,removal,1,1600,0.08,4,0.9159277552693957,0.2584228254698092
0,0.1,removal,3,1600,0.05,10,0.9398763238030574,0.03593466882927876
3,0.1,replacement,2,1300,0.12,10,0.9974510445222825,0.3048583895252518
2,0.25,removal,2,800,0.1,4,0.8785827569426159,0.21398006431218275
1,0.0,removal,3,1300,0.05,4,0.8250525237158586,0.3246442021948406
0,0.25,replacement,3,1300,0.08,10,0.9873453472679599,0.18421695812882088
2,0.25,replacement,1,400,0.15,4,0.875045497647632,0.2321521553471917
1,0.1,removal,2,600,0.1,8,0.9287930038494594,0.30843915375415776
