leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,1600,14,0.14,2,0.9931,0.4709,0.1964
6,500,14,0.12,2,0.9554,0.4867,0.1964
4,1200,14,0.04,2,0.9409,0.4869,0.1964
6,300,14,0.6,2,0.994,0.3154,0.1964
4,400,14,0.8,2,0.9972,0.3391,0.1964
6,300,14,0.06,1,0.8353,0.5135,0.2
8,1400,14,0.8,3,0.993,0.3747,0.2005
4,300,14,0.02,1,0.66,0.4758,0.2
4,200,14,0.8,2,0.994,0.3444,0.1964
8,800,14,0.12,1,0.9708,0.5025,0.2
4,400,14,0.8,3,0.9927,0.4155,0.2005
8,200,14,0.6,3,0.9805,0.4948,0.2005
10,1000,14,0.02,2,0.8299,0.4842,0.1964
10,300,14,0.2,3,0.944,0.6028,0.2005
10,1200,14,0.12,1,0.9819,0.5031,0.2
8,800,14,0.08,3,0.9491,0.5862,0.2005
6,1000,14,0.6,2,0.9974,0.3073,0.1964
4,1600,14,0.06,3,0.9736,0.5942,0.2005
4,200,14,0.02,2,0.6168,0.4403,0.1964
4,100,14,0.02,3,0.5183,0.5,0.2005
8,100,14,0.1,1,0.7385,0.4918,0.2
6,1200,14,0.08,2,0.9772,0.4733,0.1964
4,300,14,0.8,2,0.9966,0.3412,0.1964
8,500,14,0.04,1,0.8444,0.5144,0.2
8,200,14,0.1,1,0.8468,0.5189,0.2
6,1400,14,0.1,1,0.984,0.5049,0.2
8,1200,14,0.14,3,0.9851,0.5735,0.2005
8,600,14,0.8,3,0.9929,0.3768,0.2005
4,1200,14,0.2,3,0.9904,0.5787,0.2005
8,200,14,0.1,2,0.8363,0.4885,0.1964
6,500,14,0.06,3,0.8928,0.5983,0.2005
6,500,14,0.02,2,0.737,0.4727,0.1964
6,1000,14,0.04,2,0.9194,0.4898,0.1964
8,100,14,0.04,3,0.6051,0.5506,0.2005
8,400,14,0.08,2,0.8892,0.4759,0.1964
10,100,14,0.06,3,0.6542,0.5711,0.2005
10,600,14,0.14,1,0.9638,0.5019,0.2
6,200,14,0.12,2,0.8584,0.4848,0.1964
10,100,14,0.08,1,0.6989,0.4783,0.2
8,1600,14,0.6,2,0.9974,0.318,0.1964
4,800,14,0.2,3,0.9859,0.5877,0.2005
6,800,14,0.1,1,0.9654,0.5143,0.2
10,600,14,0.02,3,0.7632,0.6099,0.2005
8,100,14,0.14,3,0.7965,0.6015,0.2005
8,1000,14,0.04,2,0.9197,0.4991,0.1964
10,500,14,0.02,1,0.7404,0.5023,0.2
10,1400,14,0.04,3,0.9408,0.5985,0.2005
8,1200,14,0.4,1,0.993,0.4197,0.2
10,500,14,0.6,2,0.9965,0.3395,0.1964
6,600,14,0.04,3,0.8678,0.6217,0.2005
8,600,14,0.2,1,0.9801,0.5203,0.2
8,1200,14,0.6,1,0.9932,0.3706,0.2
6,800,14,0.06,3,0.9366,0.5892,0.2005
8,300,14,0.04,3,0.7705,0.6062,0.2005
10,100,14,0.1,3,0.728,0.5997,0.2005
8,800,14,0.06,2,0.9358,0.4918,0.1964
8,200,14,0.8,3,0.9879,0.389,0.2005
10,1400,14,0.1,2,0.9857,0.4741,0.1964
6,100,14,0.06,3,0.6577,0.5717,0.2005
6,500,14,0.6,2,0.9968,0.3103,0.1964
8,600,14,0.8,1,0.9931,0.3803,0.2
8,400,14,0.2,2,0.9669,0.4837,0.1964
10,1600,14,0.14,3,0.9883,0.5621,0.2005
10,800,14,0.14,2,0.9784,0.4827,0.1964
