min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.0,removal,2,600,0.05,8,0.9047722881676453,0.18363331167809216
1,0.2,removal,2,400,0.12,4,0.8151903650254007,0.31263670138947464
0,0.1,replacement,3,1000,0.05,10,0.9699948141596453,0.23833148107714097
3,0.1,removal,2,800,0.08,8,0.961868060480333,0.4003339198984799
0,0.0,removal,1,1000,0.08,4,0.878951350999939,0.15896919777047136
2,0.1,removal,3,400,0.05,8,0.8497345803445945,0.3470617633455909
0,0.2,removal,2,800,0.1,6,0.9497269489297131,0.3640271529484005
1,0.1,replacement,2,1000,0.08,10,0.9899753011401068,0.26643987752355613
2,0.0,removal,1,600,0.1,10,0.9577395589085599,0.14095525029330824
2,0.1,removal,1,800,0.1,4,0.8982062347315525,0.17805874847347114
2,0.0,removal,2,800,0.1,8,0.9691498989671172,0.1102984008306771
1,0.25,removal,2,800,0.12,4,0.9029402151147503,0.29388059859305926
1,0.25,replacement,1,400,0.12,10,0.9680490525674016,0.2527801765573304
2,0.0,replacement,2,800,0.05,4,0.8055014873343058,0.29785791047951615
0,0.25,replacement,3,1000,0.08,8,0.981499125814153,0.1768502831336054
1,0.0,replacement,3,800,0.12,6,0.9630776444281782,0.19752264873004144
0,0.25,removal,1,400,0.05,6,0.7992915963648968,0.19634819072603704
2,0.25,replacement,3,1000,0.12,10,0.9954855205560503,0.32516803785233916
3,0.1,removal,1,400,0.12,8,0.9499321864496924,0.2914169647784234
0,0.0,replacement,3,800,0.08,6,0.9354077180653959,0.001267329938352213
3,0.1,replacement,3,400,0.1,10,0.9737197550722017,0.35819091283598814
0,0.0,replacement,1,600,0.08,8,0.9400839783482893,0.10936229884272508
1,0.1,removal,1,800,0.05,10,0.9296447879325447,0.18648765275320467
0,0.1,removal,3,600,0.08,6,0.9118390119108495,0.07685108160714005
3,0.25,replacement,2,400,0.05,10,0.9098006737614436,0.3986039655764809
0,0.0,replacement,1,400,0.05,4,0.682433806057148,0.21120772054186776
1,0.25,replacement,1,400,0.12,8,0.9597772357579922,0.2524455491891494
1,0.1,replacement,2,800,0.08,4,0.8960693449089532,0.29606383937183867
0,0.25,replacement,3,600,0.05,10,0.9287874295210565,0.2494916457288746
2,0.1,replacement,3,400,0.12,4,0.8744890129723203,0.3435378413745347
3,0.25,replacement,3,800,0.12,8,0.9934085964313526,0.322199224239897
1,0.1,replacement,2,400,0.12,6,0.9481162465559255,0.29627423097708505
1,0.0,removal,3,800,0.1,10,0.9699890714289208,0.21977163547884382
1,0.25,removal,3,600,0.12,8,0.9640514761744943,0.18625705990808872
1,0.1,removal,3,400,0.05,8,0.850054975606273,0.2921627727525373
0,0.25,replacement,2,800,0.08,10,0.9766937724068576,0.3583487286387148
1,0.1,removal,3,400,0.05,8,0.850054975606273,0.2921627727525373
2,0.1,removal,1,400,0.1,6,0.9107844686988533,0.18604230109684639
3,0.1,removal,2,400,0.05,4,0.6861825767765379,0.4553642720251794
0,0.2,replacement,3,1000,0.12,8,0.9923688271185523,0.17556365626556114
1,0.0,replacement,2,600,0.12,10,0.9638747994019533,0.26129946349235367
1,0.2,replacement,3,1000,0.1,10,0.9924716737006112,0.30063309936853166
3,0.2,removal,3,1000,0.12,4,0.9332476039655399,0.3339305167586071
1,0.1,replacement,1,800,0.1,4,0.9194664492314232,0.24548006317138993
1,0.2,replacement,2,800,0.1,8,0.9870508064500705,0.26397374451472044
3,0.2,replacement,1,600,0.1,10,0.9845068431838029,0.3741736382127072
