min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.0,replacement,1,600,0.12,6,0.9534319551874104,0.09420193425523493
2,0.2,replacement,2,400,0.1,4,0.8499773355508045,0.33484767513979397
3,0.1,replacement,1,1000,0.12,8,0.9962069034745895,0.3095746762987456
2,0.1,replacement,2,400,0.05,10,0.9104490763123276,0.3391415782312528
1,0.25,replacement,3,400,0.12,4,0.8519418998001906,0.33688876425381264
2,0.0,replacement,1,600,0.1,10,0.9630087710865993,0.19967816629558888
0,0.25,replacement,3,800,0.05,10,0.9523208283163213,0.2595423056942203
0,0.2,removal,3,400,0.05,8,0.8399987300050336,0.28051404105292066
2,0.2,removal,1,400,0.1,8,0.9411502179613578,0.16560938271804215
3,0.0,removal,2,600,0.08,10,0.9538830137521573,0.41462860010151703
1,0.1,replacement,2,1000,0.08,4,0.9158934259588928,0.30327176580017146
2,0.25,removal,2,1000,0.05,4,0.8408505263498607,0.26415922478537457
2,0.1,replacement,1,400,0.12,10,0.9749923298297978,0.17070628283248201
3,0.0,replacement,3,400,0.1,10,0.9448844054905458,0.35109561256966815
0,0.1,replacement,1,600,0.05,8,0.930572942774009,0.20889989406964427
2,0.1,removal,2,600,0.05,8,0.907851397419699,0.23473012043770936
2,0.2,replacement,1,800,0.05,6,0.9368483484090215,0.19563898143082858
3,0.25,removal,1,400,0.12,8,0.958123754980976,0.22836718792503496
2,0.0,replacement,2,1000,0.08,6,0.9592898732381452,0.12492480110028437
0,0.0,replacement,3,1000,0.12,8,0.9788850814309044,-0.05181717615310322
1,0.25,replacement,2,800,0.12,4,0.9269990375947627,0.2933356609276835
1,0.0,removal,1,800,0.12,6,0.9643944610356718,0.06429542021368606
1,0.25,replacement,1,1000,0.1,4,0.9297321825787671,0.18713214993793592
3,0.1,replacement,2,1000,0.1,6,0.9902239443649937,0.3368640490193777
0,0.0,removal,2,600,0.08,10,0.9401396439382077,0.3766906474429548
2,0.2,replacement,3,800,0.05,4,0.8421236551750781,0.4177202470117477
2,0.25,removal,1,800,0.05,4,0.8189876931541842,0.20756085459652263
0,0.0,replacement,2,800,0.05,4,0.7750642554917468,0.4132430350115246
0,0.1,replacement,3,400,0.08,4,0.7907792833656551,0.3447378812815569
0,0.2,removal,2,800,0.05,8,0.9209467768919559,0.38344300571726864
0,0.0,removal,2,1000,0.05,8,0.9370363101748006,0.38609173966647126
