min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.25,replacement,1,1000,0.01,10,8,0.5,0.45,0.6943584410489905,0.2644421754981595
5,0.0,replacement,1,800,0.05,10,6,0.45,0.28,0.8787196022719819,0.3407877580672244
5,0.2,replacement,1,600,0.05,25,9,0.07,0.24,0.6994394476676311,0.3192188166919905
3,0.25,replacement,1,1000,0.01,7,4,1.0,0.3,0.6044389062646818,0.19427756531846563
5,0.2,removal,3,1000,0.08,25,10,1.0,0.51,0.9712908527144203,0.06200761204714056
0,0.2,replacement,2,600,0.01,25,10,0.98,0.22,0.5978198315768029,0.3147567692191727
0,0.0,removal,3,1000,0.01,13,9,0.22,0.72,0.6664687172398269,0.2802047540002962
3,0.0,removal,2,1000,0.01,13,7,0.79,0.82,0.7227323284075209,0.2969286674262507
0,0.2,replacement,3,1000,0.08,25,9,0.19,0.77,0.9026110426906611,0.23788418532409716
0,0.25,replacement,1,800,0.05,13,4,0.21,0.7,0.7047022234477684,0.2677663287760714
5,0.25,removal,1,800,0.05,25,5,0.29,0.42,0.8482840772494475,0.30581350384700745
3,0.2,replacement,3,800,0.01,13,7,0.05,0.79,0.5065844434892893,0.3118114946110825
3,0.25,removal,2,600,0.05,10,7,0.81,0.6,0.8887270601298183,0.2044244880105529
3,0.2,removal,2,1000,0.01,7,9,0.82,0.86,0.7661014098876961,0.27727899578933324
0,0.0,replacement,1,1000,0.08,4,5,0.08,0.07,0.6574813852977365,0.26133450697755467
3,0.0,removal,3,800,0.08,7,5,0.6,0.18,0.8523459590279792,0.2846137173534721
3,0.2,removal,1,600,0.1,25,4,0.44,0.48,0.8332658958229,0.16973878590473512
5,0.0,removal,1,1000,0.01,10,7,0.18,0.72,0.7192455882528899,0.32641163036720466
5,0.2,removal,1,1000,0.1,4,8,0.9,0.36,0.9727642971530501,0.2701044161677296
0,0.0,removal,2,600,0.1,4,10,0.16,0.8,0.8864109824110102,0.27422515038820783
0,0.25,replacement,1,600,0.01,7,8,0.62,0.81,0.6255542483206331,0.25363799147131605
3,0.0,removal,2,1000,0.01,10,10,0.07,0.12,0.6257787052537,0.30638160999568276
5,0.2,replacement,1,800,0.08,25,10,0.05,0.22,0.7528832842978603,0.3149578683101043
3,0.2,replacement,2,800,0.05,7,7,0.83,0.58,0.9563734957515286,0.2276109195721977
5,0.25,replacement,1,600,0.1,7,10,0.72,0.48,0.9839297019737098,0.29533194668070184
0,0.2,removal,1,1000,0.05,13,7,0.51,0.16,0.8096359496676282,0.25362264825155834
5,0.2,replacement,1,1000,0.1,25,10,0.54,0.97,0.9929369334424011,0.3115371245797217
5,0.25,replacement,2,1000,0.08,25,10,0.44,0.4,0.9810066564241049,0.24588359634772916
3,0.0,replacement,2,1000,0.01,7,6,0.17,0.89,0.6830829031460399,0.3014475868237533
3,0.0,replacement,2,800,0.08,7,7,0.48,0.71,0.9398103488520849,0.20158348304946694
5,0.25,replacement,3,600,0.1,25,4,0.42,0.64,0.8633880233054743,0.1714106573443911
5,0.25,removal,3,600,0.1,13,7,0.4,0.38,0.9405565572895255,0.051064428161477604
5,0.25,removal,1,1000,0.1,13,8,0.17,0.35,0.9497473012805414,0.2702273008331155
0,0.2,removal,2,600,0.08,4,5,0.06,0.73,0.7497476934459538,0.33203623260109294
3,0.2,removal,1,1000,0.1,10,4,0.12,0.66,0.8581693659487843,0.17739120542392917
