min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
3,0.2,replacement,2,400,0.05,4,0.7553915800598725,0.394703177859834
1,0.1,removal,1,800,0.12,10,0.9590308958030337,0.19009183671091423
3,0.1,removal,3,1600,0.12,6,0.9831282040822416,0.308025215613122
2,0.2,removal,1,1300,0.12,10,0.9828597009156871,0.11089152113851963
3,0.0,removal,2,1600,0.12,10,0.9867788123384718,0.3227056830691274
2,0.1,replacement,1,800,0.08,4,0.9040602235941667,0.23520486818696296
2,0.2,replacement,3,1300,0.05,6,0.9731633761404767,0.2976125503448044
1,0.2,replacement,2,1600,0.08,8,0.994228011501506,0.23535198182650063
0,0.1,removal,2,600,0.1,4,0.7951053169496961,0.3924950004150526
2,0.1,removal,1,400,0.05,6,0.8130290701047977,0.2635496879033239
0,0.1,replacement,3,800,0.1,4,0.910545953826823,0.2751261397168343
2,0.1,removal,3,1000,0.15,10,0.9794400957587103,0.2379269580033393
2,0.0,removal,3,600,0.15,10,0.9620821799269568,0.2831609821174831
2,0.2,replacement,3,600,0.1,6,0.9709160651092708,0.31054699976005273
1,0.2,removal,3,400,0.1,4,0.7806142665213005,0.2784216005082917
2,0.1,replacement,1,1600,0.1,6,0.9952868848294861,0.18165875410604704
1,0.0,replacement,3,800,0.1,8,0.9482637125582357,0.23080433278131318
3,0.25,removal,2,600,0.05,8,0.8983167497134125,0.44650782363088515
3,0.25,replacement,3,1600,0.15,8,0.9991963493955646,0.32463580112340906
2,0.0,removal,2,600,0.1,4,0.8441454054679727,0.2870268882971514
0,0.1,replacement,2,400,0.08,8,0.9250146276341932,0.35939605181838574
3,0.2,replacement,2,400,0.15,4,0.9062169976200873,0.3248106426167171
2,0.25,removal,2,800,0.05,4,0.796817229424438,0.29933373512191863
1,0.1,replacement,3,1600,0.12,10,0.9983078504979361,0.2457733810921785
1,0.25,removal,3,1600,0.12,8,0.9823020293309235,0.15491341678432258
0,0.0,removal,2,600,0.15,4,0.8408172617960872,0.38732616368064776
2,0.0,removal,1,1000,0.15,6,0.9741685447235583,0.17090256524923098
0,0.0,removal,3,1600,0.15,6,0.9682792684321928,-0.16346348977953018
