leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
10,500,6,0.1,1,8,0.45,0.7,0.9519,0.5335,0.1983
4,700,6,0.1,2,10,0.31,0.48,0.968,0.5284,0.202
7,600,6,0.08,2,8,0.32,0.68,0.9448,0.526,0.202
7,500,6,0.08,1,8,0.29,0.59,0.9199,0.5223,0.1983
25,500,6,0.11,3,7,0.21,0.51,0.855,0.6201,0.2169
4,600,6,0.1,3,7,0.88,0.64,0.9657,0.5917,0.2169
13,700,6,0.08,3,10,0.23,0.84,0.9338,0.6224,0.2169
4,600,6,0.05,2,6,0.26,0.66,0.8711,0.5169,0.202
10,700,6,0.1,3,10,0.29,0.81,0.9611,0.6139,0.2169
13,600,6,0.05,1,6,0.81,0.94,0.8854,0.5336,0.1983
13,600,6,0.05,3,9,0.3,0.56,0.8972,0.6151,0.2169
4,600,6,0.1,3,7,0.33,0.56,0.9464,0.6133,0.2169
7,500,6,0.11,1,7,0.23,0.56,0.9155,0.5374,0.1983
4,500,6,0.05,2,8,0.4,0.51,0.9104,0.5328,0.202
7,700,6,0.08,2,10,0.31,0.46,0.9571,0.5101,0.202
10,600,6,0.08,2,6,0.77,0.66,0.9356,0.5075,0.202
10,600,6,0.08,2,7,0.59,0.48,0.9505,0.5023,0.202
10,700,6,0.1,2,7,0.75,0.42,0.9695,0.5,0.202
13,700,6,0.11,2,8,0.89,0.77,0.9819,0.4871,0.202
7,600,6,0.05,3,8,0.24,0.68,0.8888,0.5997,0.2169
10,500,6,0.05,3,9,0.76,0.47,0.9214,0.6045,0.2169
10,700,6,0.05,2,7,0.43,0.81,0.9253,0.5246,0.202
10,700,6,0.05,1,8,0.85,0.79,0.9418,0.5394,0.1983
4,700,6,0.11,3,6,0.59,0.8,0.9632,0.6059,0.2169
13,700,6,0.11,1,9,0.33,0.64,0.9594,0.5452,0.1983
7,500,6,0.05,1,8,0.57,0.82,0.9206,0.5627,0.1983
13,600,6,0.1,3,7,0.37,0.57,0.9315,0.5977,0.2169
7,600,6,0.11,1,7,0.42,0.91,0.9577,0.552,0.1983
7,600,6,0.11,2,10,0.78,0.78,0.9853,0.4778,0.202
25,500,6,0.05,2,6,0.7,0.74,0.8634,0.5121,0.202
10,600,6,0.1,3,6,0.71,0.45,0.9449,0.5977,0.2169
4,700,6,0.08,1,10,0.89,0.86,0.9768,0.5198,0.1983
4,500,6,0.11,3,6,0.64,0.57,0.9457,0.5908,0.2169
10,500,6,0.08,1,7,0.48,0.96,0.9349,0.5347,0.1983
4,700,6,0.05,1,7,0.47,0.89,0.9319,0.5376,0.1983
7,600,6,0.08,1,9,0.68,0.41,0.9634,0.5473,0.1983
25,500,6,0.08,2,9,0.2,0.53,0.8722,0.5101,0.202
25,600,6,0.05,2,9,0.53,0.49,0.9208,0.5308,0.202
25,700,6,0.05,2,10,0.51,0.45,0.9371,0.5077,0.202
