leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
7,1000,6,0.1,1,4,0.13,0.67,0.8426,0.4905,0.1974
13,600,6,0.08,3,4,0.36,0.97,0.8322,0.5814,0.1985
7,1000,6,0.05,3,9,0.83,0.79,0.9675,0.6165,0.1985
13,1000,6,0.1,1,4,0.7,1.0,0.9239,0.5033,0.1974
4,1000,6,0.05,3,8,0.4,0.54,0.9495,0.6095,0.1985
10,600,6,0.01,1,7,0.6,0.05,0.6813,0.4631,0.1974
7,1000,6,0.05,1,7,0.74,0.71,0.9566,0.5293,0.1974
7,600,6,0.1,2,5,0.06,0.71,0.7898,0.4352,0.2072
25,600,6,0.1,3,6,0.67,0.88,0.9276,0.6192,0.1985
13,600,6,0.1,1,7,0.75,0.96,0.9613,0.5243,0.1974
4,1000,6,0.01,3,4,0.78,0.83,0.6967,0.5392,0.1985
7,600,6,0.01,1,10,0.46,0.26,0.7337,0.4846,0.1974
4,600,6,0.05,1,4,0.09,0.65,0.7316,0.4687,0.1974
4,600,6,0.1,2,9,0.71,0.97,0.9789,0.4029,0.2072
13,1000,6,0.05,2,9,0.56,0.68,0.9641,0.4209,0.2072
4,600,6,0.1,2,10,0.8,0.89,0.9805,0.3831,0.2072
4,800,6,0.05,1,7,0.87,0.53,0.9373,0.5166,0.1974
25,800,6,0.05,3,7,0.6,0.67,0.9131,0.6137,0.1985
7,600,6,0.1,3,4,0.83,0.88,0.8867,0.5812,0.1985
10,1000,6,0.08,2,6,0.23,0.71,0.9166,0.4587,0.2072
13,1000,6,0.08,2,7,0.53,0.53,0.9645,0.4536,0.2072
10,1000,6,0.08,1,8,0.82,0.11,0.9703,0.5077,0.1974
4,1000,6,0.01,2,5,0.71,0.2,0.7326,0.408,0.2072
7,600,6,0.1,2,8,0.37,0.39,0.9546,0.4554,0.2072
13,1000,6,0.1,3,5,0.4,0.55,0.925,0.596,0.1985
10,1000,6,0.1,1,8,0.49,0.97,0.9815,0.5291,0.1974
7,600,6,0.1,1,10,0.24,0.98,0.9519,0.5159,0.1974
7,1000,6,0.05,2,5,0.17,0.27,0.8303,0.4438,0.2072
10,1000,6,0.1,2,9,0.36,0.2,0.969,0.4358,0.2072
7,600,6,0.05,1,4,0.29,0.32,0.7807,0.4874,0.1974
13,800,6,0.01,1,6,0.51,0.41,0.7352,0.4849,0.1974
7,600,6,0.05,3,10,0.95,0.64,0.9423,0.6014,0.1985
