min_CNLs,consensus_thres,consensus_alg,removeminusones_df,random_seed,tree,leaf,learn_rate,accuracy_train,accuracy_test
2,0.0,removal,0,1,800,40,0.2,0.7898929045463008,0.1450688056986793
1,0.0,replacement,0,3,1300,10,0.15,0.7846450082932184,0.004464517572573712
0,0.2,replacement,0,3,800,7,0.1,0.7830801126919931,0.2663714923292657
2,0.1,replacement,0,1,1000,13,0.1,0.8168589958228898,0.2745768827137899
3,0.1,removal,0,3,1000,7,0.1,0.7997958474390842,0.0900519533936378
1,0.1,removal,0,3,600,4,0.2,0.7657670521893429,0.04577361007306113
1,0.25,removal,0,3,1300,7,0.2,0.7963491102963185,-0.08383988327494474
1,0.2,removal,0,3,1300,7,0.01,0.5991327435362204,0.1803205041308047
0,0.2,removal,0,2,1600,7,0.1,0.7987951317740407,0.042897235114758736
3,0.2,replacement,0,1,1000,40,0.01,0.5903921850371727,0.2212521164006218
2,0.25,removal,0,2,1600,4,0.2,0.8196191184930149,-0.05214641873588044
2,0.0,removal,0,1,1000,7,0.2,0.7991872106065943,0.1541742722058843
0,0.2,replacement,0,1,1300,40,0.05,0.7660342309113266,-0.00026647402710699986
3,0.0,removal,0,2,1300,13,0.1,0.7885187293498402,0.11554472024650697
1,0.0,replacement,0,3,1000,13,0.01,0.5684245756648656,0.16919242678565027
1,0.2,replacement,0,1,600,13,0.05,0.6984913707236693,0.2182175067188139
2,0.0,removal,0,3,800,7,0.15,0.7819585604303713,0.02020458732649466
3,0.1,removal,0,2,200,40,0.1,0.6532648403621704,0.13013836849973948
2,0.25,replacement,0,3,1600,40,0.2,0.8562241018662059,0.050846412779958716
3,0.2,removal,0,1,1000,13,0.05,0.7403928397806444,0.21838903282953082
0,0.25,removal,0,2,400,13,0.01,0.5072837883459093,0.19525664259346098
0,0.2,removal,0,3,800,7,0.15,0.7619975620107495,0.20463836920692047
2,0.2,removal,0,2,400,13,0.1,0.7235976415277855,0.009014704919008909
1,0.1,replacement,0,3,1300,10,0.1,0.8186287634284963,0.10232148259703788
1,0.2,replacement,0,2,1300,13,0.01,0.6112433633898235,0.28738267348275726
1,0.0,removal,0,2,400,40,0.1,0.7131142109144841,0.22363541063429437
0,0.25,replacement,0,2,600,10,0.2,0.8302646427322085,0.06848641223326113
1,0.2,replacement,0,1,800,10,0.01,0.533334192777591,0.267284165033733
1,0.1,replacement,0,2,400,10,0.15,0.7816257669279201,0.11756498725183973
3,0.25,replacement,0,1,1300,10,0.05,0.7928188278223007,0.17263765697545896
2,0.25,removal,0,2,1300,7,0.15,0.8076550769217505,-0.027359472527686668
2,0.2,removal,0,1,400,7,0.1,0.7155393453273406,0.2830076539629762
2,0.2,replacement,0,2,800,7,0.15,0.828693803202809,-0.0011846403470157085
0,0.2,removal,0,1,1000,4,0.1,0.7573876779005041,-0.038325927868707144
2,0.2,replacement,0,1,1000,4,0.1,0.8159969615550455,0.24349295473432808
2,0.0,replacement,0,1,800,10,0.01,0.5516572021243267,0.32749229349053854
3,0.1,replacement,0,2,200,13,0.01,0.4152368113026348,0.21954101306780516
1,0.25,replacement,0,1,200,13,0.05,0.5544318793238365,0.2596241954764881
2,0.25,removal,0,3,600,4,0.01,0.5425933199866895,0.1321857671913944
0,0.0,replacement,0,3,600,4,0.01,0.5068950778417822,0.3689936299671468
1,0.0,replacement,0,3,200,13,0.15,0.678749731239574,0.10671355573892671
3,0.2,removal,0,1,400,13,0.2,0.7671715007994269,0.2046905701486551
3,0.25,replacement,0,3,400,40,0.05,0.6957380633879051,0.16717127709392166
