min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
1,0.0,removal,1,600,0.01,13,7,0.45,0.56,0.6349434955965272,0.2739388426343471
3,0.2,removal,3,1000,0.01,25,8,0.51,0.53,0.7462678144545793,0.42054974449332105
0,0.2,removal,5,600,0.05,25,9,0.92,0.57,0.8924635253921369,0.1961092820361624
3,0.0,replacement,1,600,0.03,13,6,0.17,0.2,0.7356169885163062,0.24607910896623042
1,0.0,replacement,4,800,0.03,7,6,0.57,0.93,0.8504984146173374,0.26136732911031113
1,0.2,replacement,4,800,0.005,25,8,0.99,0.08,0.4629672791397521,0.17490410518760346
1,0.0,removal,3,1000,0.03,10,6,0.35,0.91,0.8549876872284677,0.2565129241452734
5,0.2,removal,5,600,0.005,7,6,0.26,0.28,0.5365752700961721,0.2675315050073932
0,0.25,replacement,2,600,0.01,25,7,0.8,0.84,0.6307067019375713,0.33178490043034603
5,0.0,replacement,1,1000,0.005,7,9,0.42,0.22,0.6459568320123579,0.34343658800507126
5,0.25,replacement,1,600,0.005,7,7,0.36,0.61,0.5467121870604797,0.2969096546909553
1,0.25,removal,5,800,0.03,10,10,0.81,0.21,0.8354854965570634,0.1371070767792708
3,0.0,replacement,1,600,0.03,7,7,0.9,0.4,0.8206851514032795,0.2323896923158918
3,0.2,replacement,5,1000,0.03,13,9,0.25,0.35,0.902874187094651,0.25658851884958334
1,0.25,removal,5,600,0.05,13,6,0.96,0.88,0.8689847750094032,0.01074233531359714
5,0.25,removal,3,800,0.03,13,6,0.08,0.94,0.8286100239707006,0.1776133305821186
3,0.2,replacement,3,1000,0.05,4,7,0.59,0.9,0.965497303081176,0.3598068699404253
1,0.25,removal,3,800,0.03,4,9,0.23,0.4,0.8359575055269699,0.2501178399175058
1,0.2,replacement,2,1000,0.01,25,10,0.78,0.89,0.789175398168648,0.21671706417146575
5,0.25,replacement,4,1000,0.005,7,10,0.4,0.33,0.6352070036281051,-0.02739094674094278
1,0.25,removal,4,800,0.03,4,7,0.67,0.93,0.8714988730293549,0.2575897878490643
5,0.0,removal,1,1000,0.01,10,10,0.73,0.98,0.8119717662197787,0.3320707858667342
