leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,800,2,0.12,2,0.9903,0.3973,0.1866
10,800,2,0.02,2,0.9034,0.4293,0.1866
4,200,2,0.4,2,0.9889,0.3135,0.1866
10,1000,2,0.6,1,0.9965,0.3689,0.1877
6,1200,2,0.02,1,0.9444,0.5367,0.1877
8,100,2,0.4,3,0.9705,0.415,0.1974
8,200,2,0.6,1,0.9945,0.4237,0.1877
10,1200,2,0.12,1,0.9948,0.5288,0.1877
10,600,2,0.1,3,0.9817,0.4546,0.1974
10,1200,2,0.14,3,0.9951,0.4314,0.1974
8,200,2,0.1,1,0.9305,0.5162,0.1877
4,800,2,0.6,3,0.9965,0.2984,0.1974
4,800,2,0.6,2,0.9956,0.2695,0.1866
10,800,2,0.4,2,0.9956,0.2265,0.1866
8,1600,2,0.14,2,0.9953,0.4126,0.1866
10,800,2,0.12,2,0.9903,0.3973,0.1866
4,1600,2,0.06,1,0.9922,0.5211,0.1877
6,200,2,0.08,2,0.9001,0.4101,0.1866
6,1400,2,0.12,1,0.9957,0.5079,0.1877
4,800,2,0.2,1,0.9956,0.5106,0.1877
6,1600,2,0.04,2,0.9844,0.4323,0.1866
4,1200,2,0.6,2,0.9956,0.2695,0.1866
10,400,2,0.02,3,0.7846,0.4444,0.1974
10,800,2,0.08,2,0.9834,0.4318,0.1866
6,100,2,0.1,3,0.8229,0.4399,0.1974
4,1600,2,0.4,1,0.9965,0.5131,0.1877
10,600,2,0.6,3,0.9964,0.2707,0.1974
6,400,2,0.6,1,0.9963,0.4323,0.1877
6,300,2,0.08,2,0.9418,0.4183,0.1866
10,200,2,0.4,2,0.9884,0.2432,0.1866
8,1600,2,0.1,3,0.9951,0.4195,0.1974
4,500,2,0.06,2,0.9558,0.4291,0.1866
8,300,2,0.06,2,0.9195,0.4076,0.1866
8,500,2,0.1,1,0.9794,0.5097,0.1877
8,1000,2,0.06,1,0.9846,0.5329,0.1877
8,1400,2,0.6,3,0.9965,0.3606,0.1974
4,1600,2,0.4,2,0.9956,0.3157,0.1866
10,1000,2,0.04,1,0.972,0.5325,0.1877
8,1200,2,0.08,3,0.9909,0.4239,0.1974
6,300,2,0.02,3,0.7257,0.4253,0.1974
6,1000,2,0.2,1,0.9961,0.4872,0.1877
6,1000,2,0.02,1,0.9292,0.5375,0.1877
8,1600,2,0.04,1,0.9859,0.5294,0.1877
8,500,2,0.4,3,0.996,0.3817,0.1974
10,1400,2,0.4,1,0.9965,0.4059,0.1877
4,600,2,0.08,1,0.9792,0.5238,0.1877
4,400,2,0.8,2,0.9956,0.2524,0.1866
8,400,2,0.02,1,0.7896,0.5031,0.1877
8,500,2,0.8,3,0.9965,0.3069,0.1974
4,100,2,0.02,3,0.5161,0.3228,0.1974
6,1600,2,0.06,2,0.9909,0.4223,0.1866
6,400,2,0.06,3,0.9409,0.4763,0.1974
8,1400,2,0.12,3,0.9953,0.4368,0.1974
6,500,2,0.08,2,0.9699,0.416,0.1866
8,200,2,0.06,2,0.8684,0.4094,0.1866
6,800,2,0.6,2,0.9956,0.1198,0.1866
4,1400,2,0.4,1,0.9965,0.5131,0.1877
10,1600,2,0.14,1,0.9961,0.5314,0.1877
6,100,2,0.2,3,0.9211,0.4491,0.1974
4,1000,2,0.8,1,0.9965,0.4524,0.1877
8,500,2,0.12,2,0.9826,0.3726,0.1866
6,1000,2,0.06,2,0.983,0.4221,0.1866
8,1200,2,0.12,2,0.994,0.3712,0.1866
6,1400,2,0.14,2,0.9952,0.39,0.1866
10,400,2,0.6,1,0.9963,0.3693,0.1877
4,500,2,0.12,3,0.9831,0.4366,0.1974
4,1200,2,0.12,3,0.9948,0.4234,0.1974
8,1200,2,0.8,1,0.9965,0.3803,0.1877
8,600,2,0.02,2,0.8667,0.4366,0.1866
6,1200,2,0.6,3,0.9965,0.3552,0.1974
6,400,2,0.8,2,0.9956,-0.0489,0.1866
8,1000,2,0.1,2,0.9909,0.4211,0.1866
6,300,2,0.06,3,0.9117,0.4749,0.1974
4,400,2,0.6,3,0.9963,0.3007,0.1974
6,1600,2,0.2,2,0.9956,0.3855,0.1866
10,1000,2,0.8,1,0.9965,0.2881,0.1877
6,400,2,0.2,3,0.9889,0.4177,0.1974
8,800,2,0.08,3,0.9843,0.4314,0.1974
10,500,2,0.14,3,0.9854,0.4495,0.1974
4,100,2,0.2,1,0.9283,0.522,0.1877
8,1600,2,0.06,1,0.9921,0.5284,0.1877
6,1200,2,0.08,3,0.991,0.4598,0.1974
4,1400,2,0.4,2,0.9956,0.3157,0.1866
4,1400,2,0.14,2,0.9952,0.3557,0.1866
4,200,3,0.4,2,0.8824,0.4113,0.1938
