min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
1,0.25,removal,1,1000,0.15,8,0.9781730223584262,0.07702358941520726
1,0.1,removal,2,600,0.1,10,0.9441198925619312,0.3308631013092883
3,0.2,replacement,3,1000,0.12,8,0.9959852365146863,0.32928664891851034
0,0.1,replacement,2,1000,0.1,10,0.98779350284772,0.3620549355366781
0,0.1,replacement,3,600,0.1,8,0.9713977425539292,0.3122056038597052
2,0.25,replacement,1,1000,0.15,4,0.9595411943606356,0.07549915568577648
2,0.2,removal,3,1600,0.08,10,0.978725174699499,0.25856362392548127
3,0.2,replacement,2,800,0.15,8,0.9956142018317381,0.35019091903729704
2,0.1,removal,3,400,0.15,4,0.8427558298890874,0.36938960118606656
1,0.1,replacement,3,1000,0.05,4,0.8688207341723334,0.31164262580098356
1,0.25,removal,3,1300,0.1,4,0.9138190054779666,0.14479280802152128
3,0.1,removal,1,800,0.12,8,0.9736451873105978,0.22287713439810408
1,0.0,removal,1,600,0.1,4,0.8328095550709221,0.2479694984105888
0,0.2,replacement,1,800,0.1,4,0.9088781210776761,0.1881812989793119
3,0.25,replacement,3,400,0.05,10,0.9086680553523709,0.3562393906329939
1,0.2,replacement,3,800,0.08,8,0.978095074325946,0.2736239481866133
1,0.0,removal,1,1300,0.08,4,0.8891696129681438,0.1272109362166971
3,0.1,removal,1,600,0.12,4,0.8875977221678772,0.2556591264078949
2,0.2,replacement,1,1300,0.05,8,0.9813251950497852,0.14720808068838354
0,0.25,replacement,3,1300,0.08,8,0.9852483476488961,0.23788757683210282
1,0.2,replacement,3,800,0.12,10,0.9901464315414131,0.2653204903642221
0,0.0,removal,1,1300,0.1,6,0.9544158222190057,0.09040583750595033
0,0.1,replacement,2,1000,0.1,4,0.920398116527669,0.36401608039872424
0,0.2,replacement,2,400,0.15,8,0.9677609749321296,0.3663803105134422
1,0.1,removal,2,1600,0.08,10,0.9737999369802238,0.34276990353270587
2,0.0,replacement,3,1000,0.05,4,0.8158334335048198,0.3935730164314277
