min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,max_depth,accuracy_train,accuracy_test
1,0.25,removal,3,200,40,0.01,2.0,7,0.42611907774822144,0.19351028355672628
2,0.1,replacement,3,1300,10,0.1,1.0,7,0.8372582036386843,0.11493673055135833
3,0.2,replacement,3,200,40,0.1,2.0,3,0.539746898626023,0.16029396379176108
0,0.25,replacement,1,1000,10,0.01,2.5,3,0.402592492779142,0.1356060202794216
0,0.2,removal,1,800,7,0.2,1.0,3,0.6755393767238072,0.020689706225023752
1,0.2,removal,1,1600,4,0.05,1.5,7,0.7549647842699045,0.16118351465574554
1,0.25,removal,1,1300,10,0.2,1.5,16,0.8058166773343997,0.12754264905228463
2,0.2,removal,1,200,40,0.05,2.0,12,0.6019250499044224,0.32391558488647465
0,0.2,replacement,2,600,40,0.2,1.0,7,0.8337216692674518,0.041782179707031464
0,0.2,replacement,3,400,7,0.2,1.5,12,0.7941487172850626,0.23830069270685084
3,0.0,removal,3,200,13,0.15,2.0,12,0.7300889213725497,0.15609594109740033
1,0.0,removal,2,1300,4,0.15,1.2,16,0.8102624610324408,0.16673507914329655
1,0.2,removal,3,1600,40,0.01,2.0,7,0.6194020310527413,0.1679720374452166
1,0.0,replacement,1,1600,10,0.1,2.5,16,0.7890653458664869,0.1830980193017978
3,0.1,removal,1,800,13,0.2,2.0,7,0.800168939800551,0.2107434912115751
3,0.0,replacement,2,400,4,0.05,2.0,12,0.6737967914749046,0.15784524849066306
0,0.25,replacement,1,400,40,0.05,1.5,12,0.6711373384577739,0.07329436754080898
2,0.25,replacement,1,800,13,0.1,1.5,12,0.8131717355069215,0.2845847559301431
1,0.2,removal,3,600,10,0.05,2.5,3,0.54603732175597,0.15893561799954425
2,0.25,replacement,3,1300,4,0.1,2.0,3,0.6945225660010212,0.029075604421187506
2,0.25,removal,1,600,7,0.01,2.0,16,0.5695162976944539,0.31572903176125877
2,0.25,removal,2,400,10,0.1,1.0,12,0.7425092928227568,0.01990414107509708
3,0.25,replacement,1,600,7,0.2,2.0,3,0.6965056471157341,0.17366016914793492
3,0.2,removal,2,400,40,0.05,1.0,3,0.5206089989222848,0.18126181860235946
0,0.0,removal,3,400,10,0.05,1.5,7,0.6393790054773044,0.306009184674506
3,0.25,removal,2,600,10,0.01,2.0,16,0.573976920716945,0.1781588034546936
3,0.1,replacement,2,200,40,0.15,2.0,12,0.744771936984904,0.1788169100496334
2,0.25,replacement,1,600,7,0.15,1.5,16,0.8196432825449987,0.28870411825077524
2,0.0,replacement,1,1000,13,0.15,1.5,16,0.7973944843099344,0.19463915834823342
0,0.2,removal,3,1000,40,0.2,2.0,16,0.7861461765847066,0.18204897737128511
