leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,800,6,0.08,2,5,0.39,0.37,0.8666,0.426,0.2072
10,800,6,0.01,1,5,0.28,0.51,0.6611,0.4947,0.1974
7,1000,6,0.1,2,9,0.39,0.49,0.9754,0.4338,0.2072
7,600,6,0.05,3,9,0.35,0.86,0.9129,0.589,0.1985
7,800,6,0.1,1,9,0.55,0.1,0.9587,0.5029,0.1974
13,800,6,0.08,3,9,0.05,0.91,0.7985,0.5714,0.1985
7,1000,6,0.01,3,4,0.35,0.7,0.6682,0.5098,0.1985
4,600,6,0.01,1,7,0.49,0.75,0.704,0.5115,0.1974
4,600,6,0.01,3,10,0.74,0.69,0.7252,0.5205,0.1985
13,600,6,0.08,1,8,0.09,0.31,0.8074,0.5068,0.1974
7,600,6,0.05,3,9,0.68,0.39,0.9275,0.5915,0.1985
13,1000,6,0.05,2,8,0.23,0.84,0.906,0.4414,0.2072
25,800,6,0.01,3,4,0.17,0.9,0.5916,0.471,0.1985
25,1000,6,0.05,2,7,0.42,0.39,0.9029,0.4335,0.2072
10,800,6,0.01,3,5,0.46,0.84,0.6906,0.5169,0.1985
4,1000,6,0.05,3,8,0.66,0.85,0.9605,0.5863,0.1985
7,800,6,0.1,3,6,0.09,0.87,0.8542,0.5889,0.1985
13,600,6,0.05,3,10,0.27,1.0,0.8944,0.5725,0.1985
10,1000,6,0.01,1,9,0.43,0.55,0.7955,0.5338,0.1974
25,1000,6,0.05,2,7,0.32,0.29,0.88,0.4382,0.2072
10,1000,6,0.01,3,4,0.62,0.52,0.676,0.5109,0.1985
7,600,6,0.05,3,10,0.79,0.66,0.9384,0.588,0.1985
10,600,6,0.01,1,4,0.5,0.47,0.6021,0.4746,0.1974
4,600,6,0.1,1,6,0.74,0.17,0.9367,0.5294,0.1974
7,1000,6,0.05,3,6,0.72,0.33,0.9252,0.5745,0.1985
25,800,6,0.01,1,7,0.33,0.83,0.7112,0.5018,0.1974
10,600,6,0.08,3,10,0.67,0.79,0.9621,0.5739,0.1985
7,1000,6,0.1,2,4,0.32,0.91,0.8944,0.4378,0.2072
7,800,6,0.1,1,4,0.08,0.34,0.7684,0.5038,0.1974
10,800,6,0.01,3,9,0.95,0.33,0.7538,0.5345,0.1985
10,800,6,0.01,2,6,0.41,0.7,0.7236,0.3892,0.2072
25,1000,6,0.1,1,4,0.36,0.9,0.8579,0.5347,0.1974
10,600,6,0.01,3,4,0.09,0.7,0.5436,0.4377,0.1985
13,600,6,0.01,1,9,0.22,0.96,0.6986,0.498,0.1974
25,600,6,0.1,3,4,0.1,0.25,0.6976,0.5201,0.1985
25,600,6,0.1,3,5,0.26,0.19,0.8106,0.5654,0.1985
13,800,6,0.08,1,6,0.49,0.53,0.9258,0.5302,0.1974
25,1000,6,0.05,3,8,0.92,0.36,0.9444,0.5786,0.1985
