leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
7,800,6,0.05,2,10,0.95,0.37,0.9565,0.4253,0.2072
7,600,6,0.01,2,9,0.14,0.49,0.6841,0.3802,0.2072
4,800,6,0.08,2,9,0.19,0.1,0.9109,0.4437,0.2072
4,1000,6,0.08,1,6,0.19,0.7,0.9133,0.49,0.1974
10,600,6,0.08,1,4,0.1,0.4,0.7299,0.4548,0.1974
4,1000,6,0.01,3,8,0.52,0.71,0.8022,0.557,0.1985
13,800,6,0.1,2,5,0.12,0.32,0.8054,0.4466,0.2072
10,600,6,0.08,1,9,0.88,0.4,0.9597,0.484,0.1974
13,600,6,0.01,3,5,1.0,0.76,0.6725,0.4928,0.1985
13,600,6,0.1,2,8,0.09,0.14,0.8227,0.4352,0.2072
7,600,6,0.1,2,6,0.38,0.7,0.9269,0.4534,0.2072
25,1000,6,0.05,3,4,0.1,0.62,0.704,0.527,0.1985
4,600,6,0.01,3,7,0.11,0.66,0.6491,0.4799,0.1985
25,600,6,0.08,1,7,0.48,0.79,0.9136,0.4944,0.1974
10,1000,6,0.01,1,9,0.43,0.66,0.8084,0.4933,0.1974
25,800,6,0.1,1,9,0.62,0.39,0.9681,0.4981,0.1974
7,600,6,0.08,1,7,0.74,0.31,0.9446,0.5141,0.1974
10,800,6,0.01,1,6,0.34,0.5,0.715,0.4571,0.1974
13,1000,6,0.08,3,8,0.58,0.93,0.9707,0.6044,0.1985
13,1000,6,0.01,1,4,0.41,0.09,0.6362,0.4251,0.1974
25,1000,6,0.01,2,5,0.94,0.38,0.7254,0.4354,0.2072
7,1000,6,0.01,2,6,0.32,0.18,0.7299,0.4052,0.2072
7,800,6,0.1,2,7,0.76,0.39,0.9736,0.4154,0.2072
7,600,6,0.05,2,6,0.5,0.53,0.8872,0.443,0.2072
13,1000,6,0.1,1,4,0.51,0.86,0.9001,0.4963,0.1974
25,1000,6,0.01,3,5,0.63,0.82,0.7221,0.534,0.1985
10,1000,6,0.1,3,8,0.82,0.09,0.971,0.5865,0.1985
13,800,6,0.08,1,8,0.39,0.56,0.9459,0.5142,0.1974
10,800,6,0.08,1,7,0.43,0.58,0.946,0.4959,0.1974
13,1000,6,0.08,2,9,0.87,0.12,0.9749,0.3989,0.2072
10,600,6,0.01,3,4,0.78,0.57,0.6169,0.4769,0.1985
7,1000,6,0.1,2,8,0.61,0.08,0.9685,0.4092,0.2072
13,1000,6,0.1,3,10,0.18,1.0,0.946,0.5897,0.1985
13,800,6,0.01,1,4,0.47,0.3,0.636,0.4341,0.1974
25,600,6,0.05,3,7,0.27,0.29,0.8187,0.5553,0.1985
13,800,6,0.08,1,7,0.66,0.39,0.9555,0.5086,0.1974
25,1000,6,0.08,2,10,0.05,0.59,0.7653,0.4274,0.2072
25,600,6,0.05,2,9,0.6,0.83,0.9154,0.4574,0.2072
13,1000,6,0.1,2,7,0.26,0.8,0.9363,0.4617,0.2072
25,600,6,0.1,3,7,0.8,0.65,0.9428,0.5962,0.1985
7,1000,6,0.08,1,5,0.18,0.82,0.8693,0.4723,0.1974
