leaves,trees,FP_type,state,accuracy_train,accuracy_test
8.0,50.0,5.0,1.0,0.6587541842004712,0.5687393267815162
8.0,50.0,5.0,1.0,0.658754184200471,0.568739326781516
6.0,700.0,8.0,1.0,0.6164884311552191,0.5686316041042587
6.0,400.0,8.0,1.0,0.6178682182121479,0.5682648207277461
6.0,50.0,5.0,3.0,0.7158245528422134,0.5673293065581397
6.0,600.0,8.0,1.0,0.6163189555658115,0.567122662062034
6.0,150.0,8.0,1.0,0.6246564426662162,0.5667262993387038
6.0,50.0,10.0,1.0,0.6695906743813942,0.5662867225568033
6.0,50.0,10.0,1.0,0.6695906743813941,0.5662867225568033
6.0,1000.0,8.0,1.0,0.6183430045962653,0.5655892458880845
6.0,1000.0,8.0,1.0,0.6183430045962653,0.5655892458880845
10.0,1000.0,12.0,1.0,0.6939998791467106,0.5602577524381529
10.0,100.0,12.0,1.0,0.6908248187565043,0.5593102026534957
10.0,100.0,12.0,1.0,0.6908248187565043,0.5593102026534957
8.0,400.0,11.0,1.0,0.5948324417279414,0.5527494317310784
8.0,250.0,11.0,1.0,0.5965567608750544,0.5525637830807627
8.0,250.0,11.0,1.0,0.5965567608750544,0.5525637830807626
6.0,1000.0,0.0,3.0,0.8374706454958591,0.5519390276293192
10.0,250.0,0.0,1.0,0.7555756495902656,0.5515485193195501
6.0,400.0,0.0,3.0,0.838997827914356,0.5511882698051517
6.0,250.0,5.0,3.0,0.7134315394430488,0.5510407520222202
8.0,150.0,10.0,1.0,0.597722309857267,0.5509255669164286
4.0,600.0,8.0,2.0,0.7287358676819178,0.550837792196398
6.0,250.0,0.0,3.0,0.8375106334445659,0.5507483256694159
6.0,250.0,0.0,3.0,0.8375106334445659,0.5507483256694158
6.0,600.0,5.0,3.0,0.7144285603901097,0.5503969193756124
6.0,200.0,0.0,3.0,0.8386252474615156,0.5494817336141951
6.0,200.0,0.0,3.0,0.8386252474615155,0.5494817336141951
10.0,1000.0,5.0,1.0,0.6127651429168586,0.5480808965267181
10.0,800.0,5.0,1.0,0.6134527462133817,0.5476801319125281
8.0,800.0,10.0,1.0,0.5955502481092243,0.5473370679778714
8.0,50.0,6.0,1.0,0.6334842427361531,0.5471175375627639
8.0,1000.0,10.0,1.0,0.5944453679046229,0.5454226371983848
8.0,1000.0,11.0,1.0,0.5944453679046229,0.5454226371983846
8.0,700.0,6.0,1.0,0.6326122499235014,0.5443460772289224
6.0,300.0,12.0,3.0,0.7867775053279168,0.5440699783916116
4.0,500.0,6.0,3.0,0.7779947035654183,0.5437620762710174
8.0,1000.0,6.0,1.0,0.631694182411112,0.5426135836131512
8.0,1000.0,6.0,1.0,0.6316941824111121,0.5426135836131512
10.0,300.0,5.0,1.0,0.6113560591583592,0.5415980639928817
4.0,150.0,6.0,3.0,0.776562605662644,0.5411538952748396
4.0,200.0,8.0,2.0,0.7247476375531767,0.5400193495798183
8.0,300.0,6.0,1.0,0.6289212969359055,0.53923626400484
4.0,150.0,8.0,2.0,0.7278807886841372,0.5351358320350421
6.0,500.0,12.0,3.0,0.7873001461820851,0.5348993122353736
4.0,50.0,9.0,1.0,0.7024232901943004,0.5348517812684315
10.0,50.0,5.0,1.0,0.6077039881346865,0.5348301252894485
4.0,100.0,8.0,2.0,0.7246594679194889,0.5344951116614804
8.0,50.0,11.0,1.0,0.5939773876924045,0.5340422033625676
8.0,900.0,8.0,1.0,0.5574136327991747,0.531550759695504
6.0,700.0,12.0,3.0,0.7872999722086979,0.5313234955556425
10.0,100.0,5.0,1.0,0.6120766215570312,0.5310900179311648
10.0,100.0,5.0,1.0,0.6120766215570314,0.5310900179311648
6.0,800.0,12.0,3.0,0.7878598572040003,0.5302560503390688
6.0,800.0,12.0,3.0,0.7878598572040003,0.5302560503390688
8.0,500.0,8.0,1.0,0.555509099795807,0.5297926354082148
8.0,500.0,8.0,1.0,0.555509099795807,0.5297926354082148
8.0,700.0,8.0,2.0,0.5827780168753964,0.5297409661400121
8.0,400.0,8.0,1.0,0.5558006498462774,0.5285945651273286
10.0,500.0,10.0,1.0,0.5494709397431963,0.5277879203377971
10.0,400.0,11.0,1.0,0.5475033865375168,0.5274248907711983
10.0,300.0,10.0,1.0,0.5475533623924467,0.5266710761926348
10.0,1000.0,8.0,2.0,0.5421019515562193,0.5264730133462885
10.0,600.0,11.0,1.0,0.5501846927528211,0.5254303541480798
10.0,800.0,8.0,2.0,0.5424449899188153,0.5252259251424014
10.0,200.0,10.0,1.0,0.5486191972262145,0.5250105452811806
10.0,200.0,11.0,1.0,0.5486191972262145,0.5250105452811806
10.0,250.0,11.0,1.0,0.5479479064616795,0.5248551355827682
10.0,250.0,11.0,1.0,0.5479479064616795,0.5248551355827682
10.0,900.0,8.0,2.0,0.5425534619852244,0.524800311021235
6.0,50.0,0.0,3.0,0.8265271472347792,0.5247486706778883
10.0,700.0,8.0,2.0,0.5421630011728837,0.5236032408707061
10.0,700.0,11.0,1.0,0.5488660217116386,0.5229671237132791
4.0,200.0,9.0,1.0,0.7071052364729626,0.5215120766469883
4.0,200.0,9.0,1.0,0.7071052364729626,0.5215120766469883
10.0,150.0,11.0,1.0,0.5482292108857436,0.5214894649780102
6.0,150.0,8.0,2.0,0.6459800877374531,0.5207942619104292
8.0,700.0,5.0,3.0,0.6616749609776764,0.5206698412346925
8.0,100.0,8.0,1.0,0.552893557056122,0.5190515813604194
8.0,100.0,8.0,1.0,0.552893557056122,0.5190515813604194
10.0,1000.0,10.0,1.0,0.5467861819167306,0.5187664992955009
6.0,200.0,8.0,2.0,0.6408742673882574,0.5186665649068265
6.0,200.0,8.0,2.0,0.6408742673882575,0.5186665649068264
10.0,150.0,8.0,2.0,0.5461032344872101,0.5175657048297138
8.0,400.0,5.0,3.0,0.6609629596922677,0.5156551018505142
4.0,300.0,10.0,3.0,0.7475580863447246,0.5150721999945396
4.0,600.0,9.0,1.0,0.7080658791108385,0.5134887503539195
8.0,200.0,0.0,3.0,0.7887406444047684,0.5108344011267587
8.0,600.0,0.0,3.0,0.7867675483223774,0.5101268424254478
4.0,100.0,11.0,3.0,0.7401974046907218,0.5084248280101995
4.0,100.0,11.0,3.0,0.7401974046907218,0.5084248280101995
