leaves,trees,state,accuracy_train,accuracy_test
10.0,500.0,1.0,0.8127958457826737,0.7736187490512497
10.0,300.0,1.0,0.8126245985833171,0.7733582945756825
10.0,100.0,1.0,0.8111668424730738,0.7713016675664406
8.0,300.0,3.0,0.822167455731704,0.7704388121205128
8.0,250.0,3.0,0.8221237095579337,0.7701617971522114
8.0,350.0,3.0,0.8222021102513905,0.7698846782719052
8.0,350.0,3.0,0.8222021102513905,0.7698846782719052
8.0,900.0,3.0,0.8223800401190043,0.7697928766842208
8.0,1000.0,3.0,0.8224362341081726,0.7697054667171921
8.0,800.0,3.0,0.8222409867338881,0.7696696145389834
8.0,150.0,3.0,0.8217387470621141,0.7683664005079482
10.0,800.0,3.0,0.8114753318908325,0.7645916646070513
10.0,700.0,3.0,0.8114839819961637,0.7645672592963461
10.0,600.0,3.0,0.8113793141320433,0.7645103386793091
10.0,1000.0,3.0,0.8115437170697508,0.7643318399601348
10.0,50.0,3.0,0.810654335072235,0.7639871231270658
10.0,300.0,3.0,0.8115459139719897,0.7639472703690496
10.0,300.0,3.0,0.8115459139719897,0.7639472703690496
10.0,400.0,3.0,0.8113976143124777,0.7638999091639309
10.0,400.0,3.0,0.8113976143124777,0.7638999091639309
10.0,200.0,3.0,0.8114186044702062,0.7636264831536246
10.0,100.0,3.0,0.811236330735044,0.762380738958064
