leaves,trees,FP_type,state,accuracy_train,accuracy_test
6.0,250.0,12.0,3.0,0.7925530993152347,0.6156501952277036
6.0,600.0,12.0,3.0,0.792026854288049,0.6147056711581405
4.0,250.0,5.0,2.0,0.7900091386117978,0.6132503443033053
6.0,150.0,12.0,3.0,0.7909161124734515,0.6099885901957629
4.0,1000.0,5.0,2.0,0.7895142658956298,0.6088771387535252
4.0,700.0,5.0,2.0,0.788812467214375,0.6077849792090952
6.0,100.0,12.0,3.0,0.7878818388546003,0.6065617987053534
4.0,1000.0,8.0,2.0,0.7536624426807568,0.6059314834675131
4.0,500.0,8.0,2.0,0.7540597587205858,0.6043223059364959
4.0,900.0,8.0,2.0,0.7534415956611284,0.6042875318663201
8.0,50.0,12.0,3.0,0.7421431780249776,0.6025305471728769
8.0,150.0,12.0,3.0,0.7447387657252638,0.5973655565477969
8.0,200.0,5.0,3.0,0.6489851752540376,0.5973001753682723
8.0,1000.0,5.0,3.0,0.6538756707754614,0.5946904320727577
8.0,1000.0,5.0,3.0,0.6538756707754614,0.5946904320727576
8.0,500.0,5.0,3.0,0.65249424793796,0.5946243613783522
6.0,400.0,5.0,2.0,0.7173517948496809,0.5915790917789132
6.0,400.0,5.0,2.0,0.717351794849681,0.5915790917789132
6.0,400.0,5.0,2.0,0.717351794849681,0.591579091778913
6.0,600.0,5.0,2.0,0.717372653316461,0.5912829932867907
6.0,200.0,5.0,2.0,0.7205312069692928,0.5911968411368198
6.0,200.0,5.0,2.0,0.7205312069692926,0.5911968411368198
4.0,50.0,8.0,2.0,0.7496080437952042,0.58422155425959
8.0,100.0,5.0,2.0,0.6653910226067556,0.5816205313999021
6.0,400.0,8.0,2.0,0.6776189876247992,0.5811206223278753
6.0,700.0,8.0,2.0,0.6770075506480413,0.5808966834918098
6.0,1000.0,8.0,2.0,0.6765740161473739,0.5804335324406064
6.0,1000.0,8.0,2.0,0.6765740161473739,0.580433532440606
6.0,900.0,8.0,2.0,0.6768007383086043,0.5802386691335621
8.0,400.0,5.0,2.0,0.6644155939091771,0.5781852836610571
10.0,50.0,12.0,3.0,0.7057600021412362,0.5750315894014733
4.0,100.0,0.0,1.0,0.9077481869530755,0.5747124392386245
10.0,700.0,5.0,3.0,0.6129561549592482,0.5734698246140939
10.0,500.0,5.0,3.0,0.6113039462236733,0.571948236478985
6.0,100.0,8.0,2.0,0.6782080953459586,0.5695041614498794
6.0,100.0,8.0,2.0,0.6782080953459586,0.5695041614498793
10.0,100.0,5.0,2.0,0.6210103505284409,0.5680002020989212
10.0,300.0,5.0,3.0,0.6096355473343428,0.5658742078686361
10.0,200.0,5.0,2.0,0.62440935066625,0.5652249287062181
10.0,400.0,5.0,2.0,0.6240753070800569,0.5650523093947
4.0,250.0,1.0,3.0,0.815571458052353,0.5635067655179516
4.0,150.0,1.0,3.0,0.8144977574549874,0.5626728642135875
4.0,800.0,1.0,3.0,0.8174493887776343,0.562657265256812
8.0,900.0,8.0,2.0,0.6283044442373675,0.5625605052002022
4.0,200.0,0.0,1.0,0.9078043525936444,0.5625373977882924
8.0,1000.0,8.0,2.0,0.6282154262168917,0.5622893487253282
8.0,100.0,8.0,2.0,0.6258960381222534,0.5622160694043412
8.0,150.0,8.0,2.0,0.6286572363837375,0.5587787525261079
6.0,400.0,0.0,1.0,0.8679960070514994,0.5568085854331112
4.0,250.0,8.0,3.0,0.7600125862217286,0.5559776957016478
4.0,400.0,8.0,3.0,0.7621685919513069,0.5557152820627999
8.0,50.0,0.0,1.0,0.8339806797049149,0.5554416779701852
4.0,1000.0,8.0,3.0,0.7635313973529315,0.5545630996427785
4.0,800.0,8.0,3.0,0.7631960914928343,0.5541449193225867
4.0,1000.0,12.0,1.0,0.8579614657739087,0.5513874306886914
6.0,50.0,0.0,1.0,0.8706966357293876,0.5492393923285666
6.0,1000.0,1.0,3.0,0.7431343060723647,0.548487270458277
6.0,800.0,1.0,3.0,0.7427041227783132,0.548101934488959
4.0,900.0,4.0,2.0,0.776392299956605,0.5480796665843972
4.0,800.0,4.0,2.0,0.7763266074427981,0.5478025201405025
4.0,50.0,1.0,3.0,0.8099290575835335,0.5476245001419521
4.0,1000.0,4.0,2.0,0.7758155926074699,0.5471958603787939
10.0,500.0,8.0,2.0,0.5948562166691698,0.5471720749019492
4.0,700.0,6.0,1.0,0.8382210416474625,0.5470118714815047
6.0,700.0,1.0,3.0,0.7426467997937517,0.5463978467350337
4.0,900.0,6.0,1.0,0.837035331325644,0.5463209543719059
10.0,800.0,8.0,2.0,0.5938683203587842,0.5462806140366638
4.0,700.0,12.0,1.0,0.8572181376957837,0.5461786449893956
6.0,50.0,8.0,3.0,0.6847743043485934,0.5461032037386477
8.0,250.0,0.0,1.0,0.8316470798031891,0.5457808619634447
4.0,500.0,12.0,1.0,0.8561666551226913,0.5455855295304326
4.0,100.0,4.0,2.0,0.776551559769646,0.5452550624937502
4.0,400.0,6.0,1.0,0.8379971867526758,0.5450439777870499
8.0,200.0,0.0,1.0,0.8314954083539133,0.5449973672642158
4.0,500.0,4.0,2.0,0.7765970391342241,0.5445558079185788
4.0,150.0,4.0,2.0,0.7780856572266629,0.5441035496069553
4.0,250.0,6.0,1.0,0.8381247717302523,0.5439137739364521
4.0,200.0,4.0,2.0,0.776394568695238,0.5429638747315004
4.0,400.0,12.0,1.0,0.8561301534521571,0.542794814264348
8.0,800.0,0.0,1.0,0.8331740579150537,0.5423637150693779
8.0,800.0,0.0,1.0,0.8331740579150538,0.5423637150693779
4.0,50.0,8.0,3.0,0.7619343212063578,0.5419446409405821
4.0,50.0,8.0,3.0,0.761934321206358,0.541944640940582
8.0,400.0,0.0,1.0,0.8317728460634974,0.5417121063013787
8.0,900.0,0.0,1.0,0.8331366978680785,0.5406448653440935
4.0,500.0,11.0,2.0,0.6784269614071503,0.5406095216645758
4.0,900.0,2.0,3.0,0.8258472481683714,0.5405815377195597
6.0,500.0,4.0,2.0,0.696152795997907,0.5405046311778905
4.0,1000.0,11.0,2.0,0.6793657710122307,0.5402371164808377
4.0,100.0,11.0,2.0,0.6762953241157964,0.5400733022429564
4.0,700.0,11.0,2.0,0.6788656210170048,0.5400585456404386
4.0,700.0,11.0,2.0,0.6788656210170048,0.5400585456404385
4.0,100.0,6.0,1.0,0.8376064779611545,0.5398850544415978
4.0,50.0,6.0,1.0,0.8388763158649349,0.5398142209667445
4.0,50.0,6.0,1.0,0.8388763158649348,0.5398142209667443
4.0,50.0,6.0,1.0,0.8388763158649349,0.5398142209667441
6.0,150.0,8.0,3.0,0.685360065043354,0.5398048752260112
4.0,250.0,11.0,2.0,0.678609185079228,0.5395614616753719
4.0,150.0,11.0,2.0,0.6768616231203877,0.5381550753225651
6.0,500.0,8.0,3.0,0.6891463653694354,0.5380226456060698
4.0,500.0,2.0,3.0,0.824209034999166,0.5380197490939478
6.0,900.0,12.0,1.0,0.8028816648620588,0.5377476736076625
6.0,900.0,12.0,1.0,0.8028816648620587,0.5377476736076622
4.0,800.0,2.0,3.0,0.8256023102314735,0.5376359772755965
4.0,250.0,2.0,3.0,0.8202594342360288,0.5373155557663645
4.0,250.0,2.0,3.0,0.8202594342360285,0.5373155557663645
4.0,250.0,2.0,3.0,0.8202594342360288,0.5373155557663644
6.0,900.0,4.0,2.0,0.6951815380707301,0.5367570958126202
6.0,400.0,8.0,3.0,0.6893804772368854,0.5365830652170913
4.0,50.0,11.0,2.0,0.6796764960212132,0.5350276724568788
6.0,250.0,12.0,1.0,0.8025526943103198,0.5326867662763106
8.0,800.0,4.0,2.0,0.6331556576098658,0.532236970354784
8.0,900.0,4.0,2.0,0.6333853404321808,0.5321498912637408
8.0,700.0,4.0,2.0,0.6334988761553983,0.5317626591385964
8.0,500.0,4.0,2.0,0.6342405177823325,0.5313176007882657
6.0,50.0,10.0,2.0,0.6802923574496005,0.5302815550267873
8.0,300.0,4.0,2.0,0.63487458732995,0.5286883971808137
10.0,800.0,0.0,1.0,0.8019514886577916,0.528281207402451
10.0,300.0,0.0,1.0,0.7998885784289701,0.5272696088385082
10.0,300.0,0.0,1.0,0.7998885784289702,0.527269608838508
10.0,700.0,0.0,1.0,0.801361509383584,0.5271971003201227
8.0,150.0,8.0,3.0,0.6396050778762448,0.5271125252602721
4.0,900.0,10.0,2.0,0.7629561718760781,0.5261833508811549
4.0,100.0,10.0,2.0,0.7649450169086074,0.5256745476698369
6.0,300.0,6.0,1.0,0.7768569587277236,0.5252959044444505
8.0,300.0,1.0,3.0,0.6785597291016254,0.5252113745924342
4.0,700.0,10.0,2.0,0.7631457387502617,0.5250487138958873
6.0,300.0,2.0,3.0,0.7488037880827864,0.5243566799568962
4.0,1000.0,10.0,3.0,0.7625722598035556,0.5236704890274804
6.0,250.0,6.0,1.0,0.7768429314029724,0.523640761963678
6.0,50.0,2.0,3.0,0.7385438268962254,0.5236291005472624
8.0,1000.0,12.0,1.0,0.7594003374405734,0.5235994162043717
8.0,1000.0,12.0,1.0,0.7594003374405734,0.5235994162043716
8.0,200.0,8.0,3.0,0.639621292293928,0.5235646748677099
4.0,600.0,10.0,2.0,0.7639703679195171,0.5234168559493116
8.0,900.0,12.0,1.0,0.7595468235265166,0.5220792952049685
10.0,500.0,4.0,2.0,0.5913374458051253,0.5218117334543406
10.0,500.0,4.0,2.0,0.5913374458051253,0.5218117334543405
