leaves,trees,state,accuracy_train,accuracy_test
4.0,300.0,2.0,0.8088688603919314,0.7706833288340162
4.0,300.0,2.0,0.8088688603919314,0.7706833288340162
4.0,1000.0,2.0,0.8089808152795359,0.7704767230926366
4.0,900.0,2.0,0.8089934534846783,0.7703514021526489
4.0,500.0,2.0,0.8093264188787876,0.7702320168375859
4.0,50.0,2.0,0.8073723121527288,0.7691601366667719
4.0,100.0,2.0,0.8080676127368432,0.769008034656233
4.0,250.0,2.0,0.8084853516777596,0.7687658134773182
4.0,200.0,2.0,0.8087238603326554,0.7670247732906126
4.0,200.0,2.0,0.8087238603326554,0.7670247732906126
6.0,1000.0,2.0,0.7873269982985824,0.7586737856442789
6.0,300.0,2.0,0.7870810178942031,0.7578277770462133
6.0,100.0,2.0,0.7867389644712834,0.7573664452400742
6.0,50.0,2.0,0.7872382624528002,0.7573389632482235
6.0,50.0,2.0,0.7872382624528002,0.7573389632482235
6.0,250.0,2.0,0.786817255145364,0.7558242348444648
6.0,250.0,2.0,0.786817255145364,0.7558242348444648
4.0,300.0,3.0,0.8043314723622218,0.7527100325909288
4.0,1000.0,3.0,0.805149150408925,0.752189206663311
4.0,350.0,3.0,0.8043922148452536,0.7520828187514912
4.0,250.0,3.0,0.803978048343991,0.7519687642247989
4.0,250.0,1.0,0.8121686327856266,0.7516130923133056
4.0,350.0,1.0,0.8119138139228906,0.7508670154352766
4.0,150.0,3.0,0.8034708063057112,0.7508457111721959
4.0,300.0,1.0,0.8119839667120045,0.7507710811314107
4.0,700.0,1.0,0.8123729288615256,0.7504711699444561
4.0,700.0,1.0,0.8123729288615256,0.7504711699444561
8.0,200.0,2.0,0.7667385800998185,0.7498759291877097
8.0,200.0,2.0,0.7667385800998185,0.7498759291877097
4.0,1000.0,1.0,0.812398917178759,0.749436929415412
8.0,300.0,2.0,0.7666429367292916,0.7483804167142065
8.0,250.0,2.0,0.76668682556742,0.7481435473304958
8.0,250.0,2.0,0.76668682556742,0.7481435473304958
8.0,50.0,2.0,0.767140606908927,0.7476227196912018
8.0,50.0,2.0,0.767140606908927,0.7476227196912018
8.0,800.0,2.0,0.7664761317618868,0.7475421124765236
4.0,50.0,3.0,0.8041245830922781,0.7473393527874825
4.0,50.0,3.0,0.8041245830922781,0.7473393527874825
4.0,50.0,3.0,0.8041245830922781,0.7473393527874825
8.0,600.0,2.0,0.7668120976825086,0.747315722971523
8.0,600.0,2.0,0.7668120976825086,0.747315722971523
8.0,500.0,2.0,0.7667531985884615,0.7472258445879145
8.0,700.0,2.0,0.7664023114822491,0.7470211608868993
6.0,50.0,1.0,0.7906581095980185,0.7455121915836371
6.0,50.0,1.0,0.7906581095980185,0.745512191583637
6.0,200.0,1.0,0.7899985161486043,0.7422647952580961
6.0,200.0,1.0,0.7899985161486042,0.7422647952580961
6.0,250.0,1.0,0.7900009060733433,0.7409815445276382
6.0,150.0,1.0,0.7906884553168995,0.7404370336904265
6.0,150.0,1.0,0.7906884553168995,0.7404370336904265
6.0,600.0,1.0,0.7903864292739735,0.739882600061006
6.0,600.0,1.0,0.7903864292739735,0.739882600061006
6.0,1000.0,1.0,0.7907327270452914,0.7389493902145043
10.0,600.0,2.0,0.744787858612801,0.7370075754618888
10.0,800.0,2.0,0.7453873960520923,0.7369153106155084
10.0,800.0,2.0,0.7453873960520923,0.7369153106155084
10.0,500.0,2.0,0.7450034158254263,0.7368025155437669
10.0,500.0,2.0,0.7450034158254263,0.7368025155437669
10.0,150.0,2.0,0.7437728426321917,0.7363636126617941
10.0,200.0,2.0,0.7445890540234531,0.7358885506154487
6.0,800.0,3.0,0.7842748647115608,0.7320528922111889
6.0,800.0,3.0,0.7842748647115608,0.7320528922111889
6.0,700.0,3.0,0.784107897851823,0.7314423186613488
8.0,900.0,1.0,0.7704234735455203,0.7284266850093433
8.0,350.0,1.0,0.7708747369760065,0.7283137783490997
8.0,350.0,1.0,0.7708747369760065,0.7283137783490997
8.0,700.0,1.0,0.7704640392181249,0.728217217551997
8.0,200.0,1.0,0.7709124638883169,0.7280988838044026
8.0,200.0,1.0,0.7709124638883169,0.7280988838044026
8.0,1000.0,1.0,0.7704241738967699,0.7277488480001022
8.0,150.0,1.0,0.7711572711408168,0.7275297574084283
8.0,100.0,1.0,0.7718164063072958,0.7267565206816304
6.0,50.0,3.0,0.7824325398246457,0.7202166819049951
6.0,50.0,3.0,0.7824325398246457,0.7202166819049951
10.0,250.0,1.0,0.7542240648908677,0.7184710171950238
10.0,300.0,1.0,0.7535054089711379,0.7184685168833971
10.0,400.0,1.0,0.7533745765536108,0.7175719359267468
10.0,350.0,1.0,0.7533754910295988,0.7174583397740374
10.0,600.0,1.0,0.7529723296471497,0.7171008970776708
10.0,600.0,1.0,0.7529723296471497,0.7171008970776707
10.0,800.0,1.0,0.7529653296183512,0.7168774517681904
8.0,1000.0,3.0,0.7654606523830185,0.7083952413443291
8.0,800.0,3.0,0.7652839808495471,0.7079502204597177
8.0,500.0,3.0,0.7649122983993151,0.7074858025932328
8.0,700.0,3.0,0.7648480988431505,0.7074083241715825
8.0,700.0,3.0,0.7648480988431505,0.7074083241715825
8.0,700.0,3.0,0.7648480988431505,0.7074083241715825
8.0,400.0,3.0,0.7648847481012448,0.7073714483198987
8.0,400.0,3.0,0.7648847481012448,0.7073714483198987
8.0,150.0,3.0,0.7657779000596857,0.7066838653394936
8.0,150.0,3.0,0.7657779000596857,0.7066838653394936
8.0,300.0,3.0,0.7649297169773845,0.7065348954798627
8.0,300.0,3.0,0.7649297169773845,0.7065348954798627
8.0,300.0,3.0,0.7649297169773845,0.7065348954798626
8.0,200.0,3.0,0.7655777603683478,0.7058741075214675
8.0,50.0,3.0,0.7645598637506497,0.6996129514728877
10.0,150.0,3.0,0.7489420084045205,0.6904262300393429
10.0,250.0,3.0,0.7475187215497342,0.6868382142463674
10.0,300.0,3.0,0.7470812194222161,0.6864447249165887
10.0,50.0,3.0,0.7455819822216181,0.6811376091680501
