INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,3.3848332450422274,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.150694318124159,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.277897755972914,train
GQHTUMJGOHRCHB-UHFFFAOYSA-N,2.7,4.24,4.2926068969404865,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7009277431294576,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.725670677152743,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6837559228096732,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6837559228096732,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6837559228096732,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6837559228096732,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6837559228096732,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.6931587215560824,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7018288880412547,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.817728152933351,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.817728152933351,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.822057176209355,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.822057176209355,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.822057176209355,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.822057176209355,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.822057176209355,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.850667747213528,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.7579688586720836,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.787762542090129,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.006196964705577,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,2.014318451124387,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9732991167335407,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9732991167335407,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9732991167335407,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9732991167335407,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9732991167335407,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9778879819123891,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.9199375607813414,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8827954228391117,train
