leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
5.0,60.0,3.0,0.07,0.7870141054395339,0.696526008155377,0.1388
7.0,60.0,3.0,0.09,0.7955530335250751,0.6946338074271883,0.1388
5.0,800.0,3.0,0.7,0.8422313307774986,0.6882289512524424,0.1388
4.0,100.0,3.0,0.03,0.7703979099599074,0.6841099214776678,0.1388
4.0,20.0,3.0,0.5,0.8122738983302019,0.6828655766454179,0.1388
6.0,60.0,1.0,0.05,0.7790928109580076,0.6770354818884561,0.1695
7.0,1000.0,3.0,0.6,0.8421871991991275,0.66759051284015,0.1388
6.0,250.0,3.0,0.01,0.7549409244203462,0.6647070798842103,0.1388
8.0,200.0,1.0,0.01,0.7369654147457922,0.6159611169260026,0.1695
5.0,40.0,3.0,0.04,0.7021863998676707,0.6081988069080075,0.1388
7.0,20.0,1.0,0.08,0.7126998376344269,0.5969394531638497,0.1695
6.0,150.0,1.0,0.01,0.6938951337174731,0.5678174857664998,0.1695
7.0,20.0,3.0,0.06,0.6509612265427478,0.5602252835021904,0.1388
10.0,20.0,3.0,0.02,0.37307198143395814,0.3321759322609056,0.1388
5.0,20.0,1.0,0.02,0.3714628593503524,0.23350741487743298,0.1695
9.0,1000.0,2.0,0.4,0.8950729964021209,0.10634118648346647,0.4545
4.0,20.0,2.0,0.12,0.795695220563591,-0.027995856758465054,0.4545
5.0,40.0,2.0,0.12,0.8424311402965718,-0.03065189579072003,0.4545
4.0,40.0,2.0,0.04,0.7493106833568552,-0.03781117830178338,0.4545
10.0,20.0,2.0,0.09,0.7716618375715226,-0.0567475731656899,0.4545
4.0,60.0,2.0,0.13,0.8577943504313776,-0.06644876549016754,0.4545
10.0,350.0,2.0,0.01,0.8259004852957128,-0.08493731765875645,0.4545
5.0,200.0,2.0,0.13,0.8853146792782838,-0.09836985979245871,0.4545
6.0,250.0,2.0,0.01,0.8015055034657791,-0.09898018219759575,0.4545
5.0,350.0,2.0,0.07,0.8847664312767877,-0.10211290674684581,0.4545
4.0,100.0,2.0,0.01,0.6545629242467232,-0.11027268731566764,0.4545
4.0,80.0,2.0,0.01,0.596950844070069,-0.13728095038770505,0.4545
8.0,60.0,2.0,0.06,0.8290413915847531,-0.13823720319795862,0.4545
8.0,400.0,2.0,0.12,0.8910512963449009,-0.14604001243165166,0.4545
7.0,700.0,2.0,0.09,0.892141541379245,-0.1567951372779628,0.4545
9.0,800.0,2.0,0.1,0.8931717569539068,-0.16879682065355062,0.4545
10.0,800.0,2.0,0.05,0.8882577040678302,-0.19865440591523553,0.4545
8.0,100.0,2.0,0.7,0.8932974529075893,-0.20074574979992676,0.4545
5.0,800.0,2.0,0.13,0.8938575428291413,-0.22877682989485182,0.4545
7.0,100.0,2.0,0.6,0.8917137240022511,-0.2560232617721856,0.4545
6.0,600.0,2.0,0.06,0.8883267765904178,-0.27782706323238093,0.4545
5.0,1000.0,2.0,0.1,0.8936493784017507,-0.28320084762026276,0.4545
7.0,900.0,2.0,0.08,0.8925897720768179,-0.30258557821091947,0.4545
5.0,900.0,2.0,0.3,0.8950009967780767,-0.402252913056137,0.4545
8.0,350.0,2.0,0.6,0.8946320830261607,-0.4030408424532499,0.4545
4.0,700.0,2.0,0.8,0.8952987322673669,-0.405204718703412,0.4545
5.0,400.0,2.0,0.7,0.8950200583516142,-0.6039690135058928,0.4545
5.0,500.0,2.0,0.7,0.8951730059008874,-0.6071379349679051,0.4545
10.0,900.0,2.0,0.6,0.8951283773390992,-0.6241267902410075,0.4545
