leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
6.0,350.0,3.0,0.5,0.8705176780785471,0.3974765019770783,0.1385
10.0,60.0,2.0,0.01,0.40872861638789537,0.39534990832047223,0.0965
8.0,700.0,3.0,0.5,0.8732891279533312,0.39141657042098266,0.1385
10.0,20.0,2.0,0.03,0.4101183294965587,0.3912377965025913,0.0965
4.0,100.0,3.0,0.5,0.8531323901691793,0.3706227998227202,0.1385
9.0,150.0,3.0,0.5,0.8605942107878681,0.34523061949295164,0.1385
10.0,900.0,2.0,0.5,0.8747563030915183,0.3439744884716611,0.0965
5.0,900.0,2.0,0.5,0.8747538316664893,0.3398641374064283,0.0965
7.0,300.0,3.0,0.5,0.86920072763616,0.3317288337711941,0.1385
10.0,700.0,3.0,0.6,0.8736954987955137,0.31617498020023316,0.1385
5.0,80.0,2.0,0.7,0.8530743557313403,0.30191283390402734,0.0965
5.0,700.0,3.0,0.2,0.8695594768354026,0.2938493747173865,0.1385
5.0,800.0,2.0,0.8,0.8750758119567301,0.2860738815902095,0.0965
7.0,1000.0,3.0,0.08,0.8627231701479936,0.2843082773271547,0.1385
5.0,600.0,3.0,0.2,0.8681682327979783,0.2838730197636192,0.1385
4.0,800.0,3.0,0.12,0.8647867720810705,0.281030746345715,0.1385
5.0,800.0,3.0,0.12,0.8649222796932896,0.2640109782157509,0.1385
8.0,600.0,3.0,0.12,0.8610923898407551,0.25203243763881455,0.1385
10.0,250.0,3.0,0.3,0.862038416533217,0.24586350908963106,0.1385
10.0,1000.0,3.0,0.12,0.8675552887260677,0.24472241493754188,0.1385
10.0,400.0,3.0,0.06,0.8269779948271357,0.2421185284277486,0.1385
6.0,900.0,3.0,0.07,0.8586657798174251,0.21395372819751735,0.1385
4.0,900.0,3.0,0.2,0.8709794463894799,0.2034302669078356,0.1385
9.0,600.0,3.0,0.12,0.8609358715914843,0.19357742259968846,0.1385
10.0,250.0,3.0,0.04,0.7727802534929292,0.17261147585595404,0.1385
10.0,200.0,3.0,0.04,0.7615525189200135,0.16774636469781656,0.1385
10.0,80.0,3.0,0.1,0.7562288753706149,0.1637741778987306,0.1385
6.0,900.0,3.0,0.02,0.809758120306074,0.16368094807013256,0.1385
5.0,600.0,1.0,0.12,0.862734776818316,0.1537629841771364,0.3169
9.0,400.0,3.0,0.09,0.8450756539077023,0.1502165171198654,0.1385
10.0,300.0,3.0,0.03,0.7683649862867373,0.14565484399546336,0.1385
10.0,40.0,3.0,0.12,0.739697959754025,0.14088683630233945,0.1385
9.0,300.0,3.0,0.15,0.8510013967416583,0.13658219684339334,0.1385
5.0,900.0,1.0,0.07,0.858650848322468,0.13579168911771688,0.3169
10.0,400.0,3.0,0.02,0.7632742596281259,0.1347074214870293,0.1385
8.0,150.0,3.0,0.13,0.8194449791825602,0.13038338189325538,0.1385
8.0,300.0,3.0,0.04,0.7863320375544027,0.1279084025426407,0.1385
8.0,20.0,1.0,0.11,0.6598974753835211,0.11853968791579517,0.3169
10.0,200.0,3.0,0.03,0.750332385746758,0.11691110880882039,0.1385
8.0,350.0,1.0,0.14,0.8560225554417603,0.11616336935849347,0.3169
8.0,400.0,3.0,0.02,0.7622633460143247,0.11492381260100504,0.1385
8.0,800.0,1.0,0.07,0.856443205603559,0.1142121834186669,0.3169
8.0,800.0,2.0,0.8,0.8750909419902188,0.11214938350188164,0.0965
5.0,1000.0,1.0,0.03,0.8321328086038402,0.11176821213530563,0.3169
9.0,400.0,1.0,0.06,0.8216863069961973,0.10690462044081916,0.3169
4.0,1000.0,1.0,0.6,0.8791085598755479,0.10242754578489266,0.3169
10.0,150.0,1.0,0.06,0.7548012513353536,0.10168309619248028,0.3169
7.0,350.0,1.0,0.1,0.8403540908425057,0.09964553152902467,0.3169
10.0,300.0,1.0,0.05,0.7908849007076582,0.09512024084003412,0.3169
5.0,60.0,1.0,0.02,0.5663068489397671,0.0934899668519178,0.3169
9.0,500.0,1.0,0.09,0.8514301798285516,0.09332494294675986,0.3169
5.0,900.0,1.0,0.2,0.8749287610197325,0.0920876285129355,0.3169
4.0,350.0,1.0,0.01,0.7019606440539188,0.09178633972352945,0.3169
7.0,350.0,1.0,0.13,0.8514612890090039,0.08592995442316664,0.3169
10.0,350.0,1.0,0.14,0.8548579225125142,0.08425090125357071,0.3169
7.0,150.0,3.0,0.05,0.7581158354044215,0.08424295631146017,0.1385
6.0,500.0,1.0,0.05,0.8262007948837977,0.08228301206516275,0.3169
